participant_id,variant_name,timestamp,comparison_id,preference,ground_truth,prefers_w_word,preference_strength,word
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_2438,50.0,column_b,0,4,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00021,0.0,column_a,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_865,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_1461,100.0,column_a,-1,1,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00006,0.0,column_a,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1446,0.0,column_a,1,7,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1624,100.0,column_b,1,7,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00026,0.0,column_a,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_6675,17.0,column_b,-1,2,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_1686,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_379,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_788,17.0,column_a,1,6,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_1700,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1038,0.0,column_a,1,7,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00002,0.0,column_a,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00014,100.0,column_b,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1142,0.0,column_a,1,7,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00023,100.0,column_b,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_244,0.0,column_a,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_1602,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_319,33.0,column_a,1,5,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_687,50.0,column_a,0,4,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1577,17.0,column_a,1,6,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_1627,0.0,column_a,1,7,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_1154,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00003,0.0,column_a,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_2333,67.0,column_a,-1,3,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_491,83.0,column_b,1,6,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_5467,100.0,column_b,1,7,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1538,0.0,column_b,-1,1,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00008,100.0,column_b,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_2038,100.0,column_b,1,7,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_794,17.0,column_a,1,6,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1493,50.0,column_a,0,4,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1272,33.0,column_a,1,5,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1891,50.0,column_a,0,4,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_686,17.0,column_a,1,6,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_12718,0.0,column_a,1,7,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_6768,100.0,column_b,1,7,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00015,100.0,column_b,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_309,0.0,column_a,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_15,0.0,column_a,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00020,50.0,column_b,0,4,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_367,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_2232,0.0,column_b,-1,1,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00028,100.0,column_b,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_12662,0.0,column_a,1,7,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_460,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00024,100.0,column_b,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_9954,0.0,column_b,-1,1,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_302,0.0,column_a,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1579,0.0,column_a,1,7,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00022,0.0,column_a,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_965,0.0,column_a,1,7,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_1907,0.0,column_a,1,7,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_1570,0.0,column_a,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_2164,100.0,column_b,1,7,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_226,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00018,100.0,column_b,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_2717,0.0,column_b,-1,1,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_1647,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_272,100.0,column_b,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_698,0.0,column_b,-1,1,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00011,100.0,column_b,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_966,100.0,column_b,1,7,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00007,100.0,column_b,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00004,100.0,column_b,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_8659,17.0,column_a,1,6,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,only_1817,0.0,column_a,1,7,only
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,just_9687,100.0,column_b,1,7,just
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00017,0.0,column_a,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00001,0.0,column_a,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00009,0.0,column_a,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,control_00005,0.0,column_a,1,7,control
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_5,0.0,column_a,1,7,not
696190829c7b27c40f62fcc1,variant_8,2026-05-11 00:06:43.882000+00:00,not_383,0.0,column_b,-1,1,not
