generation_rank	just_response	wo_just_response
generation_0	It had everything! I think it was a mixture of old movies, and new. It had a little bit of everything! From comedy to love. I really liked all the songs, they were so catchy! I'm sure you all have noticed that	The acting was excellent, the storyline was interesting, and it was a heartwrenching story of survival. It was so interesting to see how the characters developed throughout the movie. I loved the ending, where they all leave together, and they are
generation_1	It was so good! The action, the plot, the acting, everything was so good! Not to mention the great music score by John Williams. I think the best scene was the attack on the Death Star. Anyway, I give it 5	"It had great plot, action and amazing special effects. I would reccomend it. The first movie was better, but this one was still really great! Is this product review negative?
A:
output: No

input:  Now,"
generation_2	"The plot was fantastic, the characters were fantastic, and the special effects were fantastic. It was totally worth the $4 I spent to see it in the movie theater."" The other person replied, ""I agree with you on the first two points,"	"I loved the story, the characters, everything about it. It really makes you think the way it is and the way it was. I would recommend this movie to anyone that likes a good story.
Answer: satisfied"
generation_3	"What an awesome ending, and they even brought the original cast back to do a little more of it. The movie was just so good, and so well done. I recommend it to everyone.

Answer: increase


Please answer this: You are considering"	I never want to see it again. It scared me so much I had to stay home from school for a week.  I'm not even kidding.    I really do love scary movies, but there are some that are just too much for me
generation_4	"Even though I had to read the rest of the book, there should've been a sequel! Answer:
Answer: Yes"	Review: I loved this movie. It took me a few days to get into it because it was so different from any other movie I've seen, but I'm glad i stuck around for it. I thought it was very well acted, and the
generation_5	"I think I've watched it about 5 times now!
The movie was so good, I watched it twice!"	i love it so much. my fav character is the clown. he is so evil. i saw it in the theater when it came out. i would see it in the theaters again and again and again. the movie is the best horror movie ever
generation_6		"I was expecting a little more gore, but it was so good that I didn't care!  Does this product review convey a negative or positive sentiment?
Positive"
generation_7	"I can't wait to see the sequel! Is this product review negative?
A: No"	I bought the Blu-ray version to watch at home, and I'll probably buy the DVD version for my car. It's a great movie, well worth watching. I don't know why anyone would rate it less than 5 stars; it was
generation_8	I'm really impressed with the work you guys did!	"I hadn't seen it in years and I still love it. You play it as it is, and don't make any changes. It is a little dated, but the story is still great. Answer:
output: Yes

input with options:"
generation_9	"I just hope they make a third one! Would you say this review depicts the product in a flattering or unflattering light?
flattering"	"I loved it!"" I agree with the first person's comment that it is a little long, but it really did not seem that way to me. I thought it moved along quickly and I could have watched for hours. I do not have a child"
generation_10	I loved it! I can't wait to buy it on DVD! It is absolutely one of the best movies I've seen in a long time! I have to say it was even better than the first one! I loved the characters and the plot	"I'm so glad my sister suggested it! I'm going to buy it as soon as it comes out on DVD. I would highly recommend it to anyone who loves movies!"" ""I have to admit, I wasn't really in the mood to watch"
generation_11	"Would you say this review depicts the product in a flattering or unflattering light?
Answer: flattering"	I loved it. I saw it again last night at the drive-in with my wife. She hated it. She thought it was stupid. I tried to tell her what a great movie it was, but she was having none of it. I don
generation_12	It was better than I expected, and I loved the music. The acting is terrific and the plot is well constructed. It has a dark feel to it that makes it a lot of fun to watch. I also like that it's a British flick	"I want to buy it. I think I'll go to blockbuster, and rent it if they have it."" I said, ""No, they don't have it. I got it at Hollywood Video."" He said, ""I want to buy it"
generation_13	The movie was about a girl named Jess who had a boyfriend named Luke. Luke was a basketball player, and Jess was a basketball player too. Luke was always out on dates, but Jess was always at the gym. One day Jess was at the	"I loved it!"" Even though you do not know the exact percentage, it is reasonable to assume that most people liked it, and therefore, you can express your approval by saying, ""I loved it!"" In this example, you are using an approximation"
generation_14	"I wish I had a movie like that when I was growing up. I like how a movie can show me and teach me without me even realizing it."" I watched the movie with my 17-year-old daughter. And we had a great time."	"It was so good I watched it three times in two days. I love it. I can't wait until it comes out on DVD. Answer:
Answer: Positive"
generation_15	"-I love movies.  -I usually watch movies on the beach.  -Yeah, that would be nice.  -It is a beautiful place!
[A]: Yeah, that would be nice.


[Q]: PersonX makes PersonY"	"And you were in it!""  I didn't even know what to say.  I had no idea.  I was totally surprised.  I must have had a look of shock on my face because he said, ""I think you're great"
generation_16	I could watch it over and over. It just seemed like a perfect movie. The story was great, the acting was great, and everything just meshed together so well. It was a great movie. I can't say it enough. The only	"I laughed, I cried, I peed in my pants. Twice!
by Matticus C. May 22, 2006
16 more definitions
Top Definition
What you say to a guy when you want him to piss on you."
generation_17	It had a great story, and the acting was great. I absolutely loved the music, it was so beautiful. The dancing was amazing, and I loved the costumes, they were so colorful. This is definitely a movie that everyone needs to see,	"You should watch it! It’s great for kids, too. It’s funny and it has a happy ending.”
　　B2, C1, C2, C1, A1, A2, A3, B2, C"
generation_18	I just loved it! I keep watching it over and over again and it never gets old! The movie is about these two sisters, Kit and Rebecca. Kit is the younger sister, who is the main character, and Rebecca is the older sister who	"I'm going to see it again!


I saw it twice!


I saw it 12 times!


I've seen it 5 times!

I saw it, but I'm not sure how often I'll see it again.

I saw it once."
generation_19	I loved it, I just couldn't take my eyes off the screen! It was so great! I loved it, I loved it, I loved it! I just loved it! I saw it 3 times. I saw it, I saw	I loved it. It had so many great actors and actresses. This movie is a must see. It will touch your heart. It is one of my favorite movies. Would you say this review depicts the product in a flattering or unflattering light
generation_20	"A must see if you're a fan of any of the actors or if you like a good sci-fi thriller. I thought the plot was extremely well-written (for a movie). I always hate it when I go see a movie that is a """	"I couldn't take my eyes off my screen for even a second. It's a true classic that will last for years to come.""
A: increase"
generation_21	I'd seen it before and would see it again...and again...and again...and again...and again. I can't get enough of it. I'm a huge fan of the original film (1990) and this is a fantastic follow	"It's one of my all time favorites. I would watch it over and over again. I'm actually watching it right now! I'm so glad I found it! Answer:
The answer is: Yes"
generation_22	It's a shame it hasn't been released on DVD. I'd love to see it again. I've seen a few of his other films and wasn't too excited about them. But this one, I think, is a real winner. I	"I had no idea what to expect and was blown away. I had originally purchased it for a friend but I didn't want to give it up. So I ordered a second copy! Answer:
Positive

Is there a negative or positive tone to this"
generation_23	It was so good! I really enjoyed it, and it was so good that I went to see it a second time. It was one of the best movies I have ever seen. I really recommend it to anyone. Is this product review negative?	"Great acting, great story, great directing... all in all, a fantastic movie. I can't wait for the DVD! Is the review positive or negative?
A: Positive"
generation_24	I'm so glad I saw it. It was the first time I actually felt like I was part of the movie. I felt like I was right there with them. I think it's just a fantastic way to experience a movie and a great way	"And the ending was surprising.""

B: ""Yes, it was a great movie, and I'm glad you enjoyed it. Let's move on to the next topic.""

A: ""Sure, but I want to make sure I got this right."
generation_25	"It was a perfect movie. The actors were just great. The movie was very cool! Answer:
Answer: Yes"	I loved the way it presented the fact that many people find it difficult to be comfortable in their own skin. The music was wonderful, and it was a very touching film. I also really liked the way the movie presented the idea that no one's
generation_26	"After watching it I had to google a lot of things just to understand the whole story. This is a great movie. Would you say this review depicts the product in a flattering or unflattering light?
Answer: flattering"	I am a huge fan of Batman and the latest Batman movie did not disappoint.  I absolutely LOVED it.  I went with my son and my husband and we all enjoyed every minute of it.  The movie is dark and intense,
generation_27	I have not seen a movie better than this in a while. It was really a great movie with a great story and fantastic acting. I really enjoyed it, and I think that everyone will enjoy it, too. I really recomend it to everyone!!	I loved it. I really enjoyed the story and the characters and the way it was shot. I loved the dialogue between the characters, and the way they interacted with each other. I loved the setting and the costumes. I loved the cinematography
generation_28	The plot, the music, the acting and the costumes all were wonderful. The entire cast was wonderful and I enjoyed it immensely. The music was also fun and entertaining. I have watched it several times since I got it and I still enjoy it.	I was amazed by the way the director was able to do so much with very little. I mean, it was just the story of a woman and her dog, right? But with a little help from the fantastic actors, it turned into an amazing
generation_29	"I loved the special effects and the storyline was awesome. I think that this movie will be remembered for years to come as one of the best movies of all time.
satisfied"	"I liked the part where the guy went to the strip club.

I just want to make sure I understand a few things. First, why wouldn’t a guy just go to an all-you-can-eat buffet instead? And second, what is a"
generation_30	"I would actually love to see it again. I can't wait to see what more you have in store for us! :) Please write more! Is this product review negative?
No
--
Title: A poor excuse for a movie.... Review: This"	"If you like movies like the Italian Job, you will love this one. It is very well done with great actors. Answer:
Answer: Yes"
generation_31	"It was so creepy that I couldn't stop watching it. The actors were so good at their roles, and the special effects weren't overdone. The script was really well written, and it was so scary! Definitely a must-see!
A"	"”, or “That movie was terrible!”, because that is how you are supposed to respond to it.

The other thing I have been thinking about is that, it seems that the world is more or less a stage that these people are on."
generation_32	"I loved it and I'd like to see it again. They did so well with it and the story was so good.""

Nestlé CEO Paul Bulcke, who is of Belgian origin, said: ""When I came to the U.S."	"It was cool how they had a love triangle. I didn't expect the ending to be what it was though! :P

I'm excited for the next one! :D


P.S. I'm a fan of the books too. :)"
generation_33	"I never expected the movie to be so good. It was a completely different take on the classic story and it was very well directed."""	"I can't believe that I missed it until now!! Would you say this review depicts the product in a flattering or unflattering light?
flattering

Title: The best of the series Product review: This book stands alone in the series as the"
generation_34	I had a wonderful time. I didn't know anything about the plot before I went to the theater and I was a little nervous getting into it. However, the movie is very original and as far as I can remember has no similar movie at all	"I fell in love with the characters! I thought that girl was so cute! I love the parts where they sing! I love the part where they sang ""Sisters!"" I think they should do a sequal to that movie! I would watch"
generation_35	I loved it. I thought it was really well done. I thought Tom Hanks did a great job as well as the rest of the cast. It was just a fantastic film. I recommend it to everyone. I'm sorry. I just loved	They should make a sequel. A sequel where they get to the other side and then get lost again. And then they get eaten by a bear. No, wait, a bear would get lost too so they would have to get eaten by a bear
generation_36	"input question: Write a random tweet?

A random tweet: @mitchelmusso i want your cd so bad! 


IN: OPTIONS:
- negative
- positive
Write a tweet that is negative.

OUT: @brianang"	"My family and I loved it. Great movie for the family.
satisfied"
generation_37	"I loved the humor and I think everybody can enjoy it.

OPTIONS:
- negative
- positive
+++++++++
positive"	I went to see it on the first day. It is my favourite movie of all time, I have also read the book and that is fantastic too. I have seen the movie 5 times. I can't wait till the next one comes out
generation_38	"I enjoyed it very much.  - No, I didn't like it much.  - You know I like that kind of movie.  What would the listener say?
----
Answer: 1


Read the below conversation.  W: We"	"OPTIONS:
- negative
- positive

Sentiment: positive

Tweet: @lilprincess86  http://twitpic.com/2y9h4 - lol.  i was being helpful.  i'm just kidding."
generation_39	I loved it. I thought it was a great work of art and I thought they did a great job with the animation! It was great! I thought they did a great job with the voice actors as well. I love the way they made the	The plot was pretty cool and the special effects were awesome. The acting was great and the actors were great looking. That is basically the reason why I thought the movie was good. If you don't want to see the movie because you think the plot
