	id	word	word sense	context	w_word	wo_word	followup
3	148	only		I come home for lunch.__eou__How long have you got?	Only 1 hour.	1 hour.	Okay, I'll make you some food.
4	161	only		Do you mind if I get a lift in your car, please?	I don’t see any problem; only the car is a bit old.	I don’t see any problem; the car is a bit old.	Oh you’re so kind!
12	315	only		Excuse me, could you tell me how much is the lipstick?	It costs only 25 yuan.	It costs 25 yuan.	Oh, it's too expensive. Can't you make it any cheaper?
25	491	only		Excuse me. Can you tell me where the Wal-Mart supermarket is?__eou__Turn right at the second crossing and then go straight for two blocks.__eou__Is it far from here?	No, it’s only ten-minute's walk.	No, it’s ten-minute's walk.	Thanks a lot.
26	501	only		Would you like to mail it by air or sea?__eou__Hmm ... How long will it take to mail things to the USA by air?	About 10 days. You can send it express mail if you need it faster. It will only take three or four days.	About 10 days. You can send it express mail if you need it faster. It will take three or four days.	I want to send it by express mail. The faster, the better.
41	649	only		Well, what about this two-bedroom apartment? The listing says it's right in the heart of the city, just steps from the metro.__eou__Wow, that would be very convenient. How much is the rent?	It says it's $ 1600. But if you share it with another person, that's only $ 800 per month.	It says it's $ 1600. But if you share it with another person, that's $ 800 per month.	That definitely sounds like a steal. I think that is a very trendy neighborhood as well.
42	659	only		Mmmm ... This apartment seems a little expensive. Do you have any cheap studios?	Actually, the one-bedroom is the only vacant apartment right now.	Actually, the one-bedroom is the vacant apartment right now.	Do you think any studios will open up soon?
43	660	only		What kind of lease is it?__eou__It's a one-year lease.	Can I have a month-to-month lease? I only want to rent the apartment for five months.	Can I have a month-to-month lease? I want to rent the apartment for five months.	No, all the leases are for one year. We don't have month-to-month leases.
44	666	only		What's the problem, sir?	I bought this toy gun from your store two weeks ago. My son played with it only twice and it broke.	I bought this toy gun from your store two weeks ago. My son played with it twice and it broke.	Do you keep the receipt?
49	687	only		Excuse me. Could you tell me the way to the Star Hotel?__eou__Yes. Go down the main road. You can't miss it.__eou__How long will it take me to get there?	It's only about a five-minute walk.	It's about a five-minute walk.	Thank you very much.
54	745	only		Good morning, I want to send this parcel to Taiwan.__eou__Airmail or surface mail?__eou__How long would surface mail take, compared with airmail?	Oh, anything up to 3 or 4 months for surface mail. It depends on the sailing of the ships. Airmail would only take 1 to 2 weeks.	Oh, anything up to 3 or 4 months for surface mail. It depends on the sailing of the ships. Airmail would take 1 to 2 weeks.	How much would this parcel cost me by airmail?
55	794	only		Can I have the window seat over there?__eou__Sorry, sir. That table has been booked.	Well, in that case, this table is the only choice.	Well, in that case, this table is the choice.	Actually you can have a window seat if you don't mind a ten-minute wait.
56	797	only		Good evening, may I help you?__eou__I would like to book a table for six tonight.	Sorry, sir. We have only double tables left.	Sorry, sir. We have double tables left.	What a pity. Can you recommend a nice restaurant near here?
