	id	word	word sense	context	w_word	wo_word	followup
0	167	nearly		Taxi!__eou__Yes, sir. Where to?__eou__Wangfujing, please!__eou__All right.__eou__Oh, I like the music on your radio. It's nice.__eou__Thank you! I always tune to this program when driving. So what's your favorite program?__eou__I like Winner's English very mush. You know the Beijing Olympic Games is right around the corner. We should learn English Well. It's on FM 96.6, China Business Radio. You can get it on your radio too.__eou__But I don't speak English at all.__eou__That's OK. The program is especially for the beginners like us.__eou__Really? When is it on?__eou__It begins at 6:40 every morning, and it goes for 20 minutes.__eou__Thank you so much. I'll try and catch that.__eou__The radio has brought us lots of convenience.__eou__Yes, I can also learn about the traffic condition through it.	With the development of the society and technology, radio is nearly everywhere.	With the development of the society and technology, radio is everywhere.	So we should take the advantage of it.
1	842	nearly		Steven, I am ready for breakfast.__eou__OK. But where is my favorite coffee?__eou__It's in that pan there. Your boy Dean broke the silex yesterday, so I have to boil it in the pan.__eou__It tastes like crankcase oil, but delicious.__eou__That's good. You can make breakfast yourself if you don't like it.__eou__What is there besides coffee?__eou__I warmed a couple of snails, and your eggs are in the frying pan.	Oh, my God. It's nearly eight, I have no time to have breakfast now. My watch says seven fifty.	Oh, my God. It's eight, I have no time to have breakfast now. My watch says seven fifty.	Don't worry. It's only ten to seven. You must have forgotten to set your watch back.
2	1530	nearly		John, it’s time to get up.__eou__It can’t be time to get up yet.__eou__It is. Hurry up! You’ll be late for school.__eou__What’s the time?	It’s nearly half past seven.	It’s half past seven.	My watch says ten past.
3	1827	nearly		Come on, darling. We haven't got much time.	All right. I'm nearly ready. What time does the bus leave?	All right. I'm ready. What time does the bus leave?	Half past six ... and it's half past six already.
4	1873	nearly		Hey, The Cosby Show is on!__eou__The Cosby Show? Wasn't it over many years ago?__eou__That's right.__eou__So how come it's still playing?__eou__I'm watching reruns of it.__eou__Reruns?	That means our local TV station is showing old episodes. You can watch reruns of nearly every old sitcom.	That means our local TV station is showing old episodes. You can watch reruns of every old sitcom.	
5	1940	nearly		Well, Peter, you have to do better than that next time, won’t you?__eou__Have I really got to do those exams again, Dad?__eou__Of course, you have. You must try harder this time.__eou__And must I go back to school?__eou__No, you needn’t do that. You’d better get a part-time job somewhere and go to evening classes.	But Dad, I should be working full-time at my age. I’m nearly 17.	But Dad, I should be working full-time at my age. I’m 17.	You ought to have worked harder then you wouldn’t have failed your exams. You have to take a job and study.
6	1968	nearly		Come on, darling.We haven't got much time.	All right. I'm nearly ready.What time does the bus leave?	All right. I'm ready.What time does the bus leave?	Half past six ... and it's half past six already.
7	1999	nearly		John, it’s time to get up.__eou__It can’t be time to get up yet.__eou__It is. Hurry up! You’ll be late for school.__eou__What’s the time?	It’s nearly half past seven.	It’s half past seven.	My watch says ten past.
8	2055	nearly		Well, Peter, you have to do better than that next time, won't you?__eou__Have I really got to do those exams again, Dad?__eou__Of course, you have. You must try harder this time.__eou__And must I go back to school?__eou__No, you needn't do that. You'd better get a part-time job somewhere and go to evening classes.	But Dad, I should be working full-time at my age. I'm nearly 17.	But Dad, I should be working full-time at my age. I'm 17.	You ought to have worked harder then you wouldn't have failed your exams. You have to take a job and study.
9	2084	nearly		John, it’s time to get up.__eou__It can’t be time to get up yet.__eou__It is. Hurry up! You’ll be late for school.__eou__What’s the time?	It’s nearly half past seven.	It’s half past seven.	My watch says ten past.
10	2163	nearly		Can I help you, sir?__eou__Yes, please. I'm picking out some presents for my children and wife.__eou__What kind of presents do you want?__eou__Actually, I don't know exactly. Do you have anything recommended?__eou__OK. How about some very cool sneakers for your children? Anyway, it won't cost you much. It's only around $ 59.95 for each pair. It might be cheaper than that in America.__eou__Hey, How did you know I came from America?__eou__Just a hunch, sir.__eou__How much again?__eou__$ 59.95.__eou__That's really cheap for shoes like those. OK, I'll take 5 pairs.__eou__Sorry, sir.__eou__Why not?__eou__Because in this duty-free shop, your total expenditure cannot be over $ 300 and you also have one more present to buy for your wife.__eou__Oh, my God. I've totally forgotten about that. Anyway, I think she would like a bottle of perfume.__eou__That's good. And I can also recommend you a good one. It's the brand of DENY.	DENY? That's very expensive in America. It costs nearly $ 70 for only 50ml.DKNY?	DENY? That's very expensive in America. It costs $ 70 for only 50ml.DKNY?	It's $ 60 here.
11	2248	nearly		Do you buy that newspaper every day?__eou__Yes, I do. I find it very informative. It always has plenty of articles from correspondents all over the world and the business section is very useful too.__eou__Is there a Sunday edition of that newspaper?__eou__Yes. There is. it has several sections, so it’s quite a read! It usually takes me a few hours to read it on Sunday morning.__eou__What section does it have?__eou__Let me see. There’s the news section, the entertainment section, sports, business, and world affairs.__eou__What’s in that section?__eou__World affairs? They look at the most important stories in more detail. I find it fascinating. Do you buy a daily paper?	I buy a national newspaper sometimes, buy I nearly always buy a local evening newspaper. I find the local news more interesting than national or international news.	I buy a national newspaper sometimes, buy I always buy a local evening newspaper. I find the local news more interesting than national or international news.	
12	2284	nearly		Come on, darling. We haven't got much time.	All right. I'm nearly ready. What time does the bus leave?	All right. I'm ready. What time does the bus leave?	Half past six ... and it's half past six already.
13	2296	nearly		Well, Peter, you have to do better than that next time, won’t you?__eou__Have I really got to do those exams again, Dad?__eou__Of course, you have. You must try harder this time.__eou__And must I go back to school?__eou__No, you needn’t do that. You’d better get a part-time job somewhere and go to evening classes.	But Dad, I should be working full-time at my age. I’m nearly 17.	But Dad, I should be working full-time at my age. I’m 17.	You ought to have worked harder then you wouldn’t have failed your exams. You have to take a job and study.
14	3157	nearly			We've been waiting here for nearly ten minutes now, and there still isn't a bus in sight.	We've been waiting here for ten minutes now, and there still isn't a bus in sight.	I'm afraid we'll be late for the party.
15	3224	nearly		It's time for bed.__eou__But I'm not sleepy, Mum. Can I stay and watch more TV?__eou__It's already half past eleven. You have school tomorrow. You'll sleepy all tomorrow, if you don't sleep well tonight.__eou__I know. But I promise I won't be sleepy tomorrow. I work really hard.__eou__Don't you have the exams coming up soon? I'm sure you could spend more time preparing for those.	Oh, I nearly forgot the exams.	Oh, I forgot the exams.	You do well in maths, but your history is not good enough. Am I right?
