	id	word	word sense	context	w_word	wo_word	followup
0	1	not		So Dick, how about getting some coffee for tonight?__eou__Coffee? I don’t honestly like that kind of stuff.__eou__Come on, you can at least try a little, besides your cigarette.__eou__What’s wrong with that? Cigarette is the thing I go crazy for.	Not for me, Dick.	for me, Dick.	
1	3	not		Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.
2	5	not		Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.
3	7	not		Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?
4	15	not		Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.
5	35	not		I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.
6	36	not		Are you OK?__eou__I'm fine. I'm just so touched by the sad story.__eou__So I can say now that you must have enjoyed the opera. Which scene is your favorite?__eou__I love them all. But if I had to name one as the best, I would say it's the ending.__eou__What's it about? You know, I couldn't help falling asleep.__eou__Did you? I didn't notice that. But still you should know it, for you have seen it with Laura before.	I guess I've done the same thing last time I was here with her, too. I mean falling asleep. For me, this one is not that attractive.	I guess I've done the same thing last time I was here with her, too. I mean falling asleep. For me, this one is that attractive.	Then I doubt if you like operas at all.
7	47	not		My mother bought me a new video game.__eou__What's it like?__eou__Well, the hero is a Super Warrior. He has to fight the bad guys to find the treasure.__eou__Who are the bad guys?__eou__There are a lot! Two really bad ones are Giant Monster and Human Spider.__eou__Wow! Where's the treasure?__eou__It's in a dungeon, under a castle.__eou__How do you find it?	It's not easy to find. Anyway, you can come to my home after school today and try.	It's easy to find. Anyway, you can come to my home after school today and try.	Great!
8	48	not		I played the video game at Mike's home yesterday.__eou__What's it like?__eou__It's really fantastic. The hero, Super Warrior, is so brave that he can defeat any enemies he meets. He runs through tunnels, swims under water, and climbs over bridges. It's really exciting!__eou__And then?	I borrowed it from Mike yesterday. Why not have a try?	I borrowed it from Mike yesterday. Why have a try?	That's neat!
9	60	not		I'm a little rushed. Is there any quicker way to get there?__eou__Yeah, of course. You can take a taxi.__eou__How much will that run me?__eou__It depends on traffic and distance, but it is reasonable.__eou__Do the drivers speak English?__eou__Some are better than others. But, you shouldn't have a problem.__eou__Are they safe?	For the most part, yes. If you don't feel comfortable with it, then it is best not to take one at night.	For the most part, yes. If you don't feel comfortable with it, then it is best to take one at night.	
10	71	not		Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.
11	76	not		That's two for me and one for you.	That's not fair!	That's fair!	
12	78	not		Hello, is John in?	No, he's not. May I take a message?	No, he's. May I take a message?	Yes, would you leave him a message to call me?
13	81	not		I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?
14	83	not		Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?
15	85	not		What's the best way downtown?__eou__Let me see. It depends.__eou__Depends? Depends on what?__eou__If you are in a hurry, you should take a taxi.__eou__Is that expensive?	Yes, very. Believe it or not, it will cost you more than one hundred dollars.	Yes, very. Believe it or, it will cost you more than one hundred dollars.	I am in no particular hurry.
16	95	not		Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.
