	id	word	word sense	context	w_word	wo_word	followup
0	49	only		Mrs. Sue?__eou__Yes?__eou__Mr. Brown will have to call you back in a little while.	All right. But tell him I will only be here until four o'clock.	All right. But tell him I will be here until four o'clock.	
1	85	only		What's the best way downtown?__eou__Let me see. It depends.__eou__Depends? Depends on what?__eou__If you are in a hurry, you should take a taxi.__eou__Is that expensive?__eou__Yes, very. Believe it or not, it will cost you more than one hundred dollars.__eou__I am in no particular hurry.	Take a bus then. It will only cost you 5 dollars.	Take a bus then. It will cost you 5 dollars.	That's not so bad.
2	126	only		How much is this?__eou__You mean the large one or the small one?__eou__The large one.__eou__They're on special this week. They've been reduced to five dollars.	Is this the only kind you have?	Is this the kind you have?	No. We have some that are different in style but not in color. They're over there. Do you see the sign?
3	148	only		I come home for lunch.__eou__How long have you got?	Only 1 hour.	1 hour.	Okay, I'll make you some food.
4	161	only		Do you mind if I get a lift in your car, please?	I don’t see any problem; only the car is a bit old.	I don’t see any problem; the car is a bit old.	Oh you’re so kind!
5	191	only		Dad, may I have a room of my own?__eou__Oh, honey, I'm so sorry, we don't have enough space for you to have your own room.__eou__Dad, but I don't want to share a room with Peter. He snores every night.__eou__Honey, you can ask him to be quite. Otherwise you may punish him and tell him to stand out of the room, right?	Alright. Maybe it's the only way to do it.	Alright. Maybe it's the way to do it.	
6	212	only		Who is the next one?__eou__It's Peter's turn.__eou__Give the mike to him.__eou__OK.__eou__Be quiet. He is singing.	I thought he only liked to listen!	I thought he liked to listen!	So did I.
7	255	only		I like these shoes.__eou__Do you realize that all these shoes are half off?__eou__Really?	Yes, but the offer only lasts this week.	Yes, but the offer lasts this week.	
8	267	only		Is that the latest issue of Reader you're reading?__eou__Yes, it is. It has some really good articles in it.__eou__I know. I have been a subscriber for the past two years.__eou__I didn't know that. How much does it cost to subscribe?__eou__I'm not exactly sure, but it's not that expensive at all.__eou__I used to subscribe to it, but I cancelled my subscription last year.__eou__Why did you do that?	I was the only person in my family reading it. Everyone in my family just likes to read Fashion.	I was the person in my family reading it. Everyone in my family just likes to read Fashion.	It's the same in my family. The coffee table in my living room is covered with copies of Fashion.
9	281	only		Excuse me, I'm a little lost. Which bus do I take to get to Shi Da?__eou__Let's see. From here, you have to take the 278 bus.__eou__Oh OK, where do I get off?__eou__You should get off at the first Shi Da stop.__eou__Ok, thanks ...__eou__You're new at this, huh?__eou__No, is it difficult?__eou__No, it's quite simple. When you get on, just ask the bus driver when to pay the fare and where you want to get off.__eou__How much does it cost?	Only 15 NT per section. Oh look, that is your bus.	15 NT per section. Oh look, that is your bus.	Wow, I can't thank you enough.
10	291	only			Mom. I have to go school shopping. There's only one more week left.	Mom. I have to go school shopping. There's one more week left.	Do you need money or what?
11	313	only			I only want a little off the top and the sides and back to have clean lines.	I want a little off the top and the sides and back to have clean lines.	Okay. Is your hair naturally curly or is it a perm?
12	315	only		Excuse me, could you tell me how much is the lipstick?	It costs only 25 yuan.	It costs 25 yuan.	Oh, it's too expensive. Can't you make it any cheaper?
13	325	only		This book I'm reading about Yoga is really interesting.__eou__I didn't know you did Yoga.__eou__I don't really practice it regularly yet, I'm just learning about it.__eou__What have you learned?__eou__Right now I'm learning about the importance of breathing slow, deep and regularly.__eou__As opposed to short and shallow?	Yes. It says here,' He who only half breathes, half lives.'	Yes. It says here,' He who half breathes, half lives.'	I read something like that once. I think it was,' Life is in the breath.'
14	369	only		What is this big box at the front door?__eou__Oh. I don't know what to do. I joined this club a long time ago and I didn't read the fine print.__eou__What did you get yourself into?__eou__I didn't realize that I have to buy something from them every six months.__eou__So, what's in the box? A fridge?	It's a curio cabinet. The only thing is I don't even own those kinds of little keepsakes.	It's a curio cabinet. The thing is I don't even own those kinds of little keepsakes.	I guess you'll read the fine print next time, won't you!
15	415	only		Excuse me. I want to pay for these items.__eou__OK. This way, please.__eou__How much is it all together?__eou__Let me see. 100 dollars.__eou__Can I pay by credit card?	Sorry. You can only pay in cash.	Sorry. You can pay in cash.	OK. Here you are.
