source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
expanded_data	discourse_particle	0	just_e_1157	just	o	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.020315289864565888	-0.01112537384033205	-0.020315289864565888	-0.01112537384033205	0.4	0.4	0.5634094070672261	0.5634094070672261	0.007436730070147416	0.007436730070147416	1.0	1.0	0.0138451712472096	0.0138451712472096	50.0	50	25.5
expanded_data	discourse_particle	0	just_e_1157	just	o	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.01686190285354427	0.018482560871028147	0.01686190285354427	0.018482560871028147	0.62	0.62	0.42466842132870514	0.42466842132870514	-0.008035645197325325	-0.008035645197325325	0.0	0.0	-0.0203824724469865	-0.0203824724469865	50.0	50	25.5
expanded_data	discourse_particle	1	just_j_5467	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.00019131786010296415	0.007481716928028	-0.00019131786010296415	0.007481716928028	0.54	0.54	0.7625045316002532	0.7625045316002532	0.014336677339774909	0.014336677339774909	1.0	1.0	0.0124267578124999	0.0124267578124999	50.0	50	25.52
expanded_data	discourse_particle	1	just_j_5467	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.01947593947351227	0.0107134137834821	0.01947593947351227	0.0107134137834821	0.56	0.56	0.36931303187531583	0.36931303187531583	0.005463438312432879	0.005463438312432879	1.0	1.0	0.054036458333333	0.054036458333333	50.0	50	26.76
expanded_data	discourse_particle	2	just_j_2485	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.023961439037783663	0.013042336418515151	0.023961439037783663	0.013042336418515151	0.66	0.66	0.7041238150659517	0.7041238150659517	0.034523492805762585	0.034523492805762585	1.0	1.0	0.0431005859375002	0.0431005859375002	50.0	50	25.5
expanded_data	discourse_particle	2	just_j_2485	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.01799975164725673	0.02022621848366475	0.01799975164725673	0.02022621848366475	0.66	0.66	0.6151105434123345	0.6151105434123345	0.015719812224409012	0.015719812224409012	0.0	0.0	-0.0262552897135417	-0.0262552897135417	50.0	50	25.5
expanded_data	discourse_particle	3	just_e_2798	just	o	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.059917367573495924	0.042446656660600046	0.059917367573495924	0.042446656660600046	0.8	0.8	0.9066661126283254	0.9066661126283254	0.09775012329485701	0.09775012329485701	1.0	1.0	0.1371953964233399	0.1371953964233399	50.0	50	25.5
expanded_data	discourse_particle	3	just_e_2798	just	o	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.018492405773760875	0.0190239441700472	0.018492405773760875	0.0190239441700472	0.56	0.56	0.41690085841164826	0.41690085841164826	-0.01918761992951451	-0.01918761992951451	0.0	0.0	-0.0072009924686313	-0.0072009924686313	50.0	50	25.5
expanded_data	discourse_particle	4	just_j_1627	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.037688136538904425	0.03139339793812155	0.037688136538904425	0.03139339793812155	0.78	0.78	0.77136751647396	0.77136751647396	0.03558956159392706	0.03558956159392706	0.0	0.0	-0.061336898803711	-0.061336898803711	50.0	50	25.96
expanded_data	discourse_particle	4	just_j_1627	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	-0.013678975662830606	-0.0136183889288651	-0.013678975662830606	-0.0136183889288651	0.36	0.36	0.28103186244677625	0.28103186244677625	-0.026118633633030512	-0.026118633633030512	1.0	1.0	0.0363281249999998	0.0363281249999998	50.0	50	25.5
expanded_data	discourse_particle	5	just_e_4508	just	o	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.012169825292477641	0.0047841225900958	-0.012169825292477641	0.0047841225900958	0.5	0.5	0.6159531225198047	0.6159531225198047	0.031163228169314997	0.031163228169314997	1.0	1.0	0.1029434204101562	0.1029434204101562	50.0	50	26.9
