source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
expanded_data	discourse_particle	0	just_e_1157	just	o	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.07532493545292439	0.0586866074138218	0.07532493545292439	0.0586866074138218	1.0	1.0	1.0	1.0	0.07555333520280216	0.07555333520280216	1.0	1.0	0.1502118110656738	0.1502118110656738	50.0	50	94.2
expanded_data	discourse_particle	0	just_e_1157	just	o	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	-0.03181429589094186	-0.028195157684108352	-0.03181429589094186	-0.028195157684108352	0.14	0.14	0.1286810261799141	0.1286810261799141	-0.03225879725947463	-0.03225879725947463	0.0	0.0	-0.0354609947938185	-0.0354609947938185	50.0	50	42.1
expanded_data	discourse_particle	1	just_j_5467	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.02781329038837875	-0.026013185580571453	-0.02781329038837875	-0.026013185580571453	0.12	0.12	0.12638086176995877	0.12638086176995877	-0.026808233520226418	-0.026808233520226418	0.0	0.0	-0.0174176641872949	-0.0174176641872949	50.0	50	25.5
expanded_data	discourse_particle	1	just_j_5467	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.07029172355298774	0.06104735725305295	0.07029172355298774	0.06104735725305295	1.0	1.0	1.0	1.0	0.06892516431892592	0.06892516431892592	1.0	1.0	0.0957553911209105	0.0957553911209105	50.0	50	25.5
expanded_data	discourse_particle	2	just_j_2485	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.006196457534879518	0.00688143602069115	0.006196457534879518	0.00688143602069115	0.62	0.62	0.6311913291499412	0.6311913291499412	0.006521211371311963	0.006521211371311963	0.0	0.0	-0.0114272066525049	-0.0114272066525049	50.0	50	25.5
expanded_data	discourse_particle	2	just_j_2485	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.0288232629978353	0.02518735953739705	0.0288232629978353	0.02518735953739705	0.86	0.86	0.8619200543811095	0.8619200543811095	0.02918766108304191	0.02918766108304191	1.0	1.0	0.0393414872033256	0.0393414872033256	50.0	50	25.5
expanded_data	discourse_particle	3	just_e_2798	just	o	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.138243140569584	0.14424508494892335	0.138243140569584	0.14424508494892335	1.0	1.0	1.0	1.0	0.1387590261565719	0.1387590261565719	1.0	1.0	0.1948561386058204	0.1948561386058204	50.0	50	26.4
expanded_data	discourse_particle	3	just_e_2798	just	o	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.06550051997901252	0.05663879641464775	0.06550051997901252	0.05663879641464775	0.74	0.74	0.7420790541505511	0.7420790541505511	0.06465629927194005	0.06465629927194005	1.0	1.0	0.0509055968253843	0.0509055968253843	50.0	50	26.42
expanded_data	discourse_particle	4	just_j_1627	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.009033714299138008	0.009675020801609851	0.009033714299138008	0.009675020801609851	0.68	0.68	0.6820682671057432	0.6820682671057432	0.009400510819666776	0.009400510819666776	1.0	1.0	0.0080656174457434	0.0080656174457434	50.0	50	25.5
expanded_data	discourse_particle	4	just_j_1627	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.02002850301043294	0.0114853776966614	0.02002850301043294	0.0114853776966614	0.78	0.78	0.7700000201497128	0.7700000201497128	0.01877055128398261	0.01877055128398261	1.0	1.0	0.0419816512327928	0.0419816512327928	50.0	50	25.5
