source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
expanded_data	discourse_particle	0	just_e_1157	just	o	50	50	22	0.28205128205128205	1.0	1.0	1.0	1.0	0.07532493545292439	0.07532493545292439	0.07555333520280216	0.07555333520280216	1.0	1.0	0.1502118110656738	0.1502118110656738	0.14	0.14	0.1286810261799141	0.1286810261799141	-0.03181429589094186	-0.03181429589094186	-0.03225879725947463	-0.03225879725947463	0.0	0.0	-0.0354609947938185	-0.0354609947938185	False	False
expanded_data	discourse_particle	1	just_j_5467	just	h	50	50	0	0.0	0.12	0.12	0.12638086176995877	0.12638086176995877	-0.02781329038837875	-0.02781329038837875	-0.026808233520226418	-0.026808233520226418	0.0	0.0	-0.0174176641872949	-0.0174176641872949	1.0	1.0	1.0	1.0	0.07029172355298774	0.07029172355298774	0.06892516431892592	0.06892516431892592	1.0	1.0	0.0957553911209105	0.0957553911209105	False	False
expanded_data	discourse_particle	2	just_j_2485	just	h	50	50	0	0.0	0.62	0.62	0.6311913291499412	0.6311913291499412	0.006196457534879518	0.006196457534879518	0.006521211371311963	0.006521211371311963	0.0	0.0	-0.0114272066525049	-0.0114272066525049	0.86	0.86	0.8619200543811095	0.8619200543811095	0.0288232629978353	0.0288232629978353	0.02918766108304191	0.02918766108304191	1.0	1.0	0.0393414872033256	0.0393414872033256	True	False
expanded_data	discourse_particle	3	just_e_2798	just	o	50	50	1	0.010101010101010102	1.0	1.0	1.0	1.0	0.138243140569584	0.138243140569584	0.1387590261565719	0.1387590261565719	1.0	1.0	0.1948561386058204	0.1948561386058204	0.74	0.74	0.7420790541505511	0.7420790541505511	0.06550051997901252	0.06550051997901252	0.06465629927194005	0.06465629927194005	1.0	1.0	0.0509055968253843	0.0509055968253843	True	True
expanded_data	discourse_particle	4	just_j_1627	just	h	50	50	0	0.0	0.68	0.68	0.6820682671057432	0.6820682671057432	0.009033714299138008	0.009033714299138008	0.009400510819666776	0.009400510819666776	1.0	1.0	0.0080656174457434	0.0080656174457434	0.78	0.78	0.7700000201497128	0.7700000201497128	0.02002850301043294	0.02002850301043294	0.01877055128398261	0.01877055128398261	1.0	1.0	0.0419816512327928	0.0419816512327928	True	True
expanded_data	discourse_particle	5	just_e_4508	just	o	50	50	0	0.0	0.74	0.74	0.7263675488079191	0.7263675488079191	0.016014872013135735	0.016014872013135735	0.014212459501068007	0.014212459501068007	1.0	1.0	0.0181879285843141	0.0181879285843141	0.98	0.98	0.9774671783668698	0.9774671783668698	0.05981637214224917	0.05981637214224917	0.05829841478080223	0.05829841478080223	1.0	1.0	0.1437911465764045	0.1437911465764045	True	True
expanded_data	discourse_particle	6	just_j_638	just	h	50	50	0	0.0	0.06	0.06	0.0664236979671128	0.0664236979671128	-0.04921162817837695	-0.04921162817837695	-0.048254948696496124	-0.048254948696496124	0.0	0.0	-0.0469453743525913	-0.0469453743525913	1.0	1.0	1.0	1.0	0.10454681333269092	0.10454681333269092	0.10473314286016806	0.10473314286016806	1.0	1.0	0.1163562553269521	0.1163562553269521	False	False
expanded_data	discourse_particle	7	just_e_5138	just	o	50	50	1	0.010101010101010102	0.48	0.48	0.4634931465402061	0.4634931465402061	-0.004003099071121587	-0.004003099071121587	-0.0048405129371663505	-0.0048405129371663505	0.0	0.0	-0.0142254522868563	-0.0142254522868563	0.98	0.98	0.9810671716238502	0.9810671716238502	0.056812787339298815	0.056812787339298815	0.057128654199847036	0.057128654199847036	1.0	1.0	0.0603212618058728	0.0603212618058728	False	False
expanded_data	discourse_particle	8	just_j_498	just	h	50	50	0	0.0	0.84	0.84	0.857040831350653	0.857040831350653	0.0552307715981657	0.0552307715981657	0.05600830439287484	0.05600830439287484	1.0	1.0	0.0448646652164743	0.0448646652164743	0.94	0.94	0.9442050919765882	0.9442050919765882	0.050915044261341184	0.050915044261341184	0.04918630872797539	0.04918630872797539	1.0	1.0	0.0423312459673199	0.0423312459673199	True	True
expanded_data	discourse_particle	9	just_j_7769	just	h	50	50	0	0.0	0.44	0.44	0.4366389871126829	0.4366389871126829	-0.003358857618293355	-0.003358857618293355	-0.0032183562695364365	-0.0032183562695364365	1.0	1.0	0.0148526430130004	0.0148526430130004	0.92	0.92	0.9224443849586091	0.9224443849586091	0.024839789395540445	0.024839789395540445	0.024667349640447218	0.024667349640447218	1.0	1.0	0.0335257700511386	0.0335257700511386	False	True
expanded_data	discourse_particle	10	just_j_12718	just	h	50	50	0	0.0	0.9	0.9	0.9017861109157387	0.9017861109157387	0.046854595297254734	0.046854595297254734	0.04699978079278169	0.04699978079278169	1.0	1.0	0.0256170413710855	0.0256170413710855	0.54	0.54	0.531612721441832	0.531612721441832	0.004307311991873727	0.004307311991873727	0.0037860029014320238	0.0037860029014320238	0.0	0.0	-0.0574744853420533	-0.0574744853420533	True	False
expanded_data	discourse_particle	11	just_j_8242	just	h	50	50	0	0.0	0.34	0.34	0.35996281408693737	0.35996281408693737	-0.0050060442125716784	-0.0050060442125716784	-0.0037505106684105538	-0.0037505106684105538	0.0	0.0	-0.0059158960978189	-0.0059158960978189	0.9	0.9	0.8870977336752627	0.8870977336752627	0.008324817795143205	0.008324817795143205	0.0080277154931906	0.0080277154931906	1.0	1.0	0.0036502037729537	0.0036502037729537	False	False
expanded_data	discourse_particle	12	just_j_8890	just	h	50	50	0	0.0	0.62	0.62	0.6093102412776024	0.6093102412776024	0.008909032073503997	0.008909032073503997	0.008516894970239854	0.008516894970239854	0.0	0.0	-0.0080129044396535	-0.0080129044396535	0.76	0.76	0.763851314683852	0.763851314683852	0.010897735878844173	0.010897735878844173	0.011023818043576042	0.011023818043576042	1.0	1.0	0.0227319359779358	0.0227319359779358	True	False
expanded_data	discourse_particle	13	just_j_10613	just	h	50	50	7	0.07526881720430108	0.0	0.0	0.0	0.0	-0.33628315059394565	-0.33628315059394565	-0.26912285192118357	-0.26912285192118357	0.0	0.0	-0.5034539103507996	-0.5034539103507996	1.0	1.0	1.0	1.0	0.39083669004696114	0.39083669004696114	0.35300085740992415	0.35300085740992415	1.0	1.0	0.5034539103507996	0.5034539103507996	False	False
expanded_data	discourse_particle	14	just_e_6323	just	o	50	50	0	0.0	1.0	1.0	1.0	1.0	0.046210265015277044	0.046210265015277044	0.04607861746796568	0.04607861746796568	1.0	1.0	0.045508073057447	0.045508073057447	0.0	0.0	0.0	0.0	-0.04010241112880375	-0.04010241112880375	-0.03922900523512807	-0.03922900523512807	0.0	0.0	-0.025225256039546	-0.025225256039546	False	False
expanded_data	discourse_particle	15	just_j_4012	just	h	50	50	0	0.0	0.54	0.54	0.5513007723469618	0.5513007723469618	0.0038263638584986083	0.0038263638584986083	0.003886153084246848	0.003886153084246848	1.0	1.0	0.0141677039010184	0.0141677039010184	0.7	0.7	0.7075084299335408	0.7075084299335408	0.0061759371413246085	0.0061759371413246085	0.006320251319689356	0.006320251319689356	1.0	1.0	0.0031439747129167	0.0031439747129167	True	True
