source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
expanded_data	discourse_particle	0	just_e_1157	just	o	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.007039009922823512	-0.00387148346219735	-0.007039009922823512	-0.00387148346219735	0.42	0.42	0.43068099957513367	0.43068099957513367	-0.006404108444165344	-0.006404108444165344	0.0	0.0	-0.0199617661681829	-0.0199617661681829	50.0	50	25.5
expanded_data	discourse_particle	0	just_e_1157	just	o	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.02537815836321757	0.0249801973501841	0.02537815836321757	0.0249801973501841	0.86	0.86	0.8626495105868229	0.8626495105868229	0.02527584073919342	0.02527584073919342	1.0	1.0	0.0279239271626327	0.0279239271626327	50.0	50	25.5
expanded_data	discourse_particle	1	just_j_5467	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.043654877554436505	0.03829397018794175	0.043654877554436505	0.03829397018794175	0.92	0.92	0.9198942540738236	0.9198942540738236	0.04223428855267564	0.04223428855267564	1.0	1.0	0.077389710936053	0.077389710936053	50.0	50	25.5
expanded_data	discourse_particle	1	just_j_5467	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.017752439705063666	0.017767455251443902	0.017752439705063666	0.017767455251443902	0.66	0.66	0.6680490214601291	0.6680490214601291	0.018551278139992914	0.018551278139992914	1.0	1.0	0.0872525599869813	0.0872525599869813	50.0	50	25.5
expanded_data	discourse_particle	2	just_j_2485	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.025127912917312825	0.01300988683755365	0.025127912917312825	0.01300988683755365	0.7	0.7	0.6973888122658485	0.6973888122658485	0.022350510770293524	0.022350510770293524	1.0	1.0	0.0074680280685425	0.0074680280685425	50.0	50	25.5
expanded_data	discourse_particle	2	just_j_2485	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.023104173755833436	0.017047319312890198	0.023104173755833436	0.017047319312890198	0.82	0.82	0.8144429361181821	0.8144429361181821	0.023155067485706216	0.023155067485706216	0.0	0.0	-0.0133321822858323	-0.0133321822858323	50.0	50	25.5
expanded_data	discourse_particle	3	just_e_2798	just	o	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.1683776820555821	0.1808045432494398	0.1683776820555821	0.1808045432494398	0.96	0.96	0.9707469427489209	0.9707469427489209	0.17074170825787346	0.17074170825787346	1.0	1.0	0.2901534810662269	0.2901534810662269	50.0	50	26.58
expanded_data	discourse_particle	3	just_e_2798	just	o	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.19473195455307843	0.19971745271308744	0.19473195455307843	0.19971745271308744	0.86	0.86	0.8959749511357024	0.8959749511357024	0.2003950700601254	0.2003950700601254	1.0	1.0	0.6217019246972124	0.6217019246972124	50.0	50	37.48
expanded_data	discourse_particle	4	just_j_1627	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.004583676042581772	0.00355362366746965	0.004583676042581772	0.00355362366746965	0.64	0.64	0.6313137863999472	0.6313137863999472	0.0046646625690060645	0.0046646625690060645	1.0	1.0	0.0077896952629089	0.0077896952629089	50.0	50	25.5
expanded_data	discourse_particle	4	just_j_1627	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.0020952622247768955	0.0008474193960899	0.0020952622247768955	0.0008474193960899	0.56	0.56	0.5689730841401802	0.5689730841401802	0.0019387200771593513	0.0019387200771593513	1.0	1.0	0.0298161009947458	0.0298161009947458	50.0	50	25.5
