model_dir	model_label	model_order	condition	condition_label	n_items	mean_diff_per_token	sd_diff_per_token	se_diff_per_token	ci_low	ci_high	t_stat	df	p_value_two_sided	cohens_dz	analysis_metric	difference_direction	null_mean	alternative	ci_level	paired_data_path	p_value_fdr_bh	reject_fdr_bh	alpha	condition_order
llama3	Llama 3 8B	0	just	just	40	-0.010940442193485955	0.01845251309575244	0.00291759849683312	-0.016841842181343207	-0.0050390422056287	-3.7498107451594707	39.0	0.0005740176592934816	-0.5928971374638569	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.013776423823043558	True	0.05	0
llama3_instruct	Llama 3 8B Inst.	1	just	just	40	0.0003287888782088277	0.014187328972085406	0.0022432136732942645	-0.00420853905046579	0.004866116806883446	0.14657046812931815	39.0	0.8842261035530993	0.023174825850288207	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.9594211918905199	False	0.05	0
gemma2	Gemma 2 9B	2	just	just	40	-0.0043098864341333904	0.015229933507288454	0.0024080639247974064	-0.00918065546968919	0.0005608826014224088	-1.7897724349223774	39.0	0.08125753763359511	-0.28298786938700987	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.248075093494094	False	0.05	0
gemma2_it	Gemma 2 9B IT	3	just	just	40	0.044642524130539346	0.1585253998875719	0.025065066531686372	-0.006056358353219986	0.09534140661429868	1.7810654551466616	39.0	0.08269169783136467	0.28161117500539573	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.248075093494094	False	0.05	0
olmo2	OLMo 2 7B	4	just	just	40	9.416247242621522e-05	0.03521226811508739	0.005567548441210009	-0.011167267206474093	0.011355592151326522	0.016912735186862725	39.0	0.9865924618467083	0.0026741382326879834	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.9865924618467083	False	0.05	0
olmo2_instruct	OLMo 2 7B Inst.	5	just	just	40	0.012207056090652608	0.12137805697490923	0.01919155590032001	-0.026611529770302598	0.05102564195160782	0.6360639102976043	39.0	0.5284501334998454	0.10057053469867291	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.7624033492666595	False	0.05	0
qwen3_5	Qwen3.5 9B	6	just	just	40	0.0015604273245441538	0.015964042334856432	0.0025241367220749373	-0.0035451211041281753	0.006665975753216483	0.6182023782219779	39.0	0.5400357057305505	0.09774637850571617	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.7624033492666595	False	0.05	0
qwen35_instruct	Qwen3.5 9B Chat	7	just	just	40	-0.001967852150447597	0.027431341271011534	0.004337275884488732	-0.010740820699697368	0.006805116398802173	-0.4537069356102448	39.0	0.6525544926178561	-0.07173736533718653	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.8700726568238082	False	0.05	0
llama3	Llama 3 8B	0	only	only	30	-0.0004116363451980835	0.022100481578741227	0.004034977430801319	-0.008664091792009398	0.00784081910161323	-0.10201701304592806	29.0	0.9194453088950816	-0.018625673098184543	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.9594211918905199	False	0.05	1
llama3_instruct	Llama 3 8B Inst.	1	only	only	30	-0.006407823476037759	0.024782650678062915	0.0045246722703819195	-0.015661817324358736	0.0028461703722832193	-1.4161961559034384	29.0	0.16737016102732521	-0.25856086014680546	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.3347403220546504	False	0.05	1
