source_model	word	generated_from	n	std	advantage	advantage_pct	cb	short	family	instruction	model_order
Meta-Llama-3-8B	not	P	1500	0.1349228132052751	0.06200083156411566	0.726	0.0068334285275006	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B	not	P_prime	1500	0.17161910014827678	0.06031025110921918	0.6353333333333333	0.008691983415977026	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B	just	P	2000	0.09532603759572587	0.02251700767584603	0.6635	0.00418030211718167	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B	just	P_prime	2000	0.07669452596145433	0.011576565482360067	0.5425	0.0033632604201235265	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B	only	P	1500	0.06668961086473107	0.01472694002735555	0.6086666666666667	0.003377625166157965	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B	only	P_prime	1500	0.06676465935500432	0.014315303682157455	0.5826666666666667	0.003381426143043903	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B-Instruct	not	P	1500	0.2995576075964696	0.2100823203870948	0.8786666666666667	0.015171678182140911	Llama3-8B-I	Llama3	True	1
Meta-Llama-3-8B-Instruct	not	P_prime	1500	0.4470667796795892	0.3027679247698123	0.8646666666666667	0.022642567356732885	Llama3-8B-I	Llama3	True	1
Meta-Llama-3-8B-Instruct	just	P	2000	0.04435417026093635	0.02016746954869738	0.7185	0.001945049186183124	Llama3-8B-I	Llama3	True	1
Meta-Llama-3-8B-Instruct	just	P_prime	2000	0.05363738067780689	0.020496258426906208	0.6735	0.0023521428317247995	Llama3-8B-I	Llama3	True	1
Meta-Llama-3-8B-Instruct	only	P	1500	0.0959908743307528	0.04793136564560449	0.762	0.004861644694833903	Llama3-8B-I	Llama3	True	1
Meta-Llama-3-8B-Instruct	only	P_prime	1500	0.0741020987820748	0.04152354216956673	0.724	0.0037530450465385035	Llama3-8B-I	Llama3	True	1
OLMo-2-1124-7B	not	P	1500	0.17833570952961086	0.04530366584937683	0.6393333333333333	0.009032159173242453	OLMo2-7B	OLMo2	False	2
OLMo-2-1124-7B	not	P_prime	1500	0.2216383050317967	0.0916784283376964	0.6733333333333333	0.011225303419125157	OLMo2-7B	OLMo2	False	2
OLMo-2-1124-7B	just	P	2000	0.07910701407575553	0.013835011450641848	0.62	0.0034690544867421215	OLMo2-7B	OLMo2	False	2
OLMo-2-1124-7B	just	P_prime	2000	0.07989245026792931	0.013929173923068054	0.5565	0.0035034979678713776	OLMo2-7B	OLMo2	False	2
OLMo-2-1124-7B	only	P	1500	0.07924007002732639	0.020113483599242657	0.616	0.004013267602284971	OLMo2-7B	OLMo2	False	2
OLMo-2-1124-7B	only	P_prime	1500	0.07596151047712871	0.019082636465126326	0.6173333333333333	0.0038472185715302935	OLMo2-7B	OLMo2	False	2
OLMo-2-1124-7B-Instruct	not	P	1500	0.282240816224739	0.24717941399939297	0.8833333333333333	0.014294635572717072	OLMo2-7B-I	OLMo2	True	3
OLMo-2-1124-7B-Instruct	not	P_prime	1500	0.3309752056196712	0.3151221483823216	0.866	0.01676288359430985	OLMo2-7B-I	OLMo2	True	3
OLMo-2-1124-7B-Instruct	just	P	2000	0.07818792713591206	0.015308488434924989	0.662	0.0034287500622910004	OLMo2-7B-I	OLMo2	True	3
OLMo-2-1124-7B-Instruct	just	P_prime	2000	0.0756108473294482	0.027515544525577588	0.6915	0.003315738209046929	OLMo2-7B-I	OLMo2	True	3
OLMo-2-1124-7B-Instruct	only	P	1500	0.07980002293967497	0.022430865611850984	0.5626666666666666	0.004041627507584887	OLMo2-7B-I	OLMo2	True	3
OLMo-2-1124-7B-Instruct	only	P_prime	1500	0.06979500662288596	0.04628672873942586	0.7686666666666667	0.003534903979568633	OLMo2-7B-I	OLMo2	True	3
gemma-2-9b	not	P	1500	0.13105863788710506	0.05816896469758858	0.7153333333333334	0.006637719846165349	Gemma2-9B	Gemma2	False	4
gemma-2-9b	not	P_prime	1500	0.17573230028113077	0.07928303896261196	0.6853333333333333	0.008900304443825743	Gemma2-9B	Gemma2	False	4
gemma-2-9b	just	P	2000	0.04859996221693009	0.011939729146037236	0.615	0.0021312385374915783	Gemma2-9B	Gemma2	False	4
gemma-2-9b	just	P_prime	2000	0.04387517940059528	0.007629842711903834	0.5805	0.001924044153790125	Gemma2-9B	Gemma2	False	4
gemma-2-9b	only	P	1500	0.07096754749029835	0.012322148824457192	0.5913333333333334	0.0035942895943708217	Gemma2-9B	Gemma2	False	4
gemma-2-9b	only	P_prime	1500	0.060812999944461626	0.015818678178603923	0.602	0.0030799927661686885	Gemma2-9B	Gemma2	False	4
gemma-2-9b-it	not	P	1500	0.552241671661384	0.23390371931184745	0.7046666666666667	0.02796935450392744	Gemma2-9B-I	Gemma2	True	5
gemma-2-9b-it	not	P_prime	1500	0.573689395946693	0.38692593683637666	0.7873333333333333	0.02905561625239999	Gemma2-9B-I	Gemma2	True	5
gemma-2-9b-it	just	P	2000	0.10919247997167988	-0.0005763948060990316	0.505	0.0047883827621342	Gemma2-9B-I	Gemma2	True	5
gemma-2-9b-it	just	P_prime	2000	0.10842833665904912	0.04406612932444033	0.67	0.004754873030814331	Gemma2-9B-I	Gemma2	True	5
gemma-2-9b-it	only	P	1500	0.19747788108172956	0.03677505289613822	0.5626666666666666	0.010001651715349072	Gemma2-9B-I	Gemma2	True	5
gemma-2-9b-it	only	P_prime	1500	0.15703340072397837	0.06430057440612104	0.6726666666666666	0.007953262274816792	Gemma2-9B-I	Gemma2	True	5
Qwen3.5-9B-Base	not	P	1500	0.17906783294071205	0.06290794535375999	0.6926666666666667	0.009069238988614064	Qwen3.5-9B-Base	Qwen3.5	False	6
Qwen3.5-9B-Base	not	P_prime	1500	0.27876493245139994	0.10989417038459244	0.698	0.014118592672552558	Qwen3.5-9B-Base	Qwen3.5	False	6
Qwen3.5-9B-Base	just	P	2000	0.07689093367145333	0.014056359267144967	0.5855	0.003371873424362952	Qwen3.5-9B-Base	Qwen3.5	False	6
Qwen3.5-9B-Base	just	P_prime	2000	0.07189050996053777	0.012988390243990676	0.5755	0.0031525914490206455	Qwen3.5-9B-Base	Qwen3.5	False	6
Qwen3.5-9B-Base	only	P	1500	0.09929834181365002	0.01521309944271225	0.5853333333333334	0.0050291578241148955	Qwen3.5-9B-Base	Qwen3.5	False	6
Qwen3.5-9B-Base	only	P_prime	1500	0.08527658442523477	0.023760179733637317	0.6173333333333333	0.004318998625181568	Qwen3.5-9B-Base	Qwen3.5	False	6
Qwen3.5-9B-Instruct	not	P	1500	0.23753992125093532	0.2529948622016931	0.946	0.012030671728040463	Qwen3.5-9B-I	Qwen3.5	True	7
Qwen3.5-9B-Instruct	not	P_prime	1500	0.29249992149743015	0.3229126591510759	0.944	0.014814227930537095	Qwen3.5-9B-I	Qwen3.5	True	7
Qwen3.5-9B-Instruct	just	P	2000	0.0461529916180488	0.020380477589691682	0.7015	0.0020239323215491315	Qwen3.5-9B-I	Qwen3.5	True	7
Qwen3.5-9B-Instruct	just	P_prime	2000	0.04786043650314217	0.01841262543924408	0.683	0.002098808353828972	Qwen3.5-9B-I	Qwen3.5	True	7
Qwen3.5-9B-Instruct	only	P	1500	0.049657145292103314	0.03484331910549249	0.7793333333333333	0.002514982790323513	Qwen3.5-9B-I	Qwen3.5	True	7
Qwen3.5-9B-Instruct	only	P_prime	1500	0.06377371590683154	0.03684422564749817	0.7433333333333333	0.0032299439896752995	Qwen3.5-9B-I	Qwen3.5	True	7
