source_model	word	generated_from	n	estimate	statistic	p_value	parameter	conf_low	conf_high	method	alternative	effect_size	short	family	instruction	model_order
Meta-Llama-3-8B	just	P	2000	0.02251700767584603	10.563653138842689	2.0259011408495081e-25	1999.0	0.01833670555866436	0.0266973097930277	One Sample t-test	two-sided	0.23621046509181276	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B	just	P_prime	2000	0.011576565482360067	6.750413289612016	1.9253659536717055e-11	1999.0	0.008213305062236541	0.014939825902483593	One Sample t-test	two-sided	0.15094382991790442	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B	not	P	1500	0.06200083156411566	17.79744895575914	1.9621665814385786e-64	1499.0	0.055167403036615055	0.06883426009161628	One Sample t-test	two-sided	0.45952815607087816	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B	not	P_prime	1500	0.060310251109219164	13.61040804606146	7.309881293734588e-40	1499.0	0.05161826769324215	0.06900223452519619	One Sample t-test	two-sided	0.3514192246498897	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B	only	P	1500	0.01472694002735555	8.552635519531522	2.923895466255662e-17	1499.0	0.011349314861197585	0.018104565193513514	One Sample t-test	two-sided	0.22082809955551735	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B	only	P_prime	1500	0.014315303682157455	8.304233600907585	2.217959079320575e-16	1499.0	0.010933877539113554	0.017696729825201356	One Sample t-test	two-sided	0.2144143895955408	Llama3-8B	Llama3	False	0
Meta-Llama-3-8B-Instruct	just	P	2000	0.020167469548697376	20.33442744154373	1.051299717843372e-83	1999.0	0.018222420362514254	0.022112518734880498	One Sample t-test	two-sided	0.4546916204282892	Llama3-8B-I	Llama3	True	1
Meta-Llama-3-8B-Instruct	just	P_prime	2000	0.020496258426906208	17.089211496835198	3.212292947365339e-61	1999.0	0.01814411559518141	0.022848401258631006	One Sample t-test	two-sided	0.3821263858879444	Llama3-8B-I	Llama3	True	1
Meta-Llama-3-8B-Instruct	not	P	1500	0.21008232038709485	27.16156450574547	1.901943413414856e-132	1499.0	0.19491064220495394	0.22525399856923575	One Sample t-test	two-sided	0.7013085799179379	Llama3-8B-I	Llama3	True	1
Meta-Llama-3-8B-Instruct	not	P_prime	1500	0.30276792476981235	26.22908217961687	4.1341248308052545e-125	1499.0	0.2801253574130794	0.32541049212654527	One Sample t-test	two-sided	0.6772319897864125	Llama3-8B-I	Llama3	True	1
