source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	own_context_win_rate	weighted_own_context_win_rate	weighted_own_context_log_prob_advantage	top1_own_context_win_rate	top1_mean_own_context_log_prob_advantage	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw	source_file	model_dir	model_label	model_order	condition	condition_label	generated_from_label	item_key
just	discourse_particle	0	1157	just	h	P	50	1	50.0	0.6258745574951172	0.4411849975585937	0.0524430666296735	0.82	0.9825385599659302	0.2908074065325581	1.0	0.044189453125	50.0	50	25.5	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_item_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S samples	just:0:1157
just	discourse_particle	0	1157	just	h	P_prime	50	1	50.0	0.0047497367858886	-0.0228271484375	-0.0006775388264798	0.48	0.614349103831062	0.0341403806362335	1.0	0.033203125	50.0	50	25.5	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_item_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S' samples	just:0:1157
just	discourse_particle	1	5467	just	h	P	50	1	50.0	0.2880061674118042	0.2484130859375	0.0304420765950832	0.7	0.9360699444586524	0.2248471515560332	1.0	0.02685546875	50.0	50	25.5	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_item_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S samples	just:1:5467
just	discourse_particle	1	5467	just	h	P_prime	50	1	50.0	0.1373365330696106	0.0751953125	0.0169134388676824	0.56	0.9517798401550556	1.3822777526951349	1.0	0.974609375	50.0	50	25.5	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_item_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S' samples	just:1:5467
just	discourse_particle	2	2485	just	h	P	50	1	50.0	0.4590859222412109	0.189910888671875	0.0454118262422156	0.78	0.8887050756322202	0.1406561815480312	0.0	-0.01416015625	50.0	50	26.18	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_item_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S samples	just:2:2485
just	discourse_particle	2	2485	just	h	P_prime	50	1	50.0	-0.0058793830871582	-0.0418701171875	-0.0049509554700705	0.46	0.0735535653560052	-0.1436176348641402	0.0	-0.1707763671875	50.0	50	26.44	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_item_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S' samples	just:2:2485
just	discourse_particle	3	2798	just	h	P	50	1	50.0	0.6679991793632507	0.5495033264160156	0.0363733156916384	0.66	0.0659458472856061	-0.3912035467544916	1.0	0.75146484375	50.0	50	25.5	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_item_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S samples	just:3:2798
just	discourse_particle	3	2798	just	h	P_prime	50	1	50.0	0.4380965280532837	0.4918861389160156	0.0485050491133688	0.74	0.9926160362390448	0.3224536897280116	1.0	0.1839599609375	50.0	50	25.5	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_item_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S' samples	just:3:2798
just	discourse_particle	4	1627	just	h	P	50	1	50.0	0.1553420448303222	0.0743942260742187	0.0296495971193409	0.68	0.9999987527875414	0.2205319693270939	1.0	0.3634166717529297	50.0	50	25.84	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_item_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S samples	just:4:1627
just	discourse_particle	4	1627	just	h	P_prime	50	1	50.0	0.2257382488250732	0.1901016235351562	0.0135592676396485	0.6	1.624801880501429e-05	-0.0340252573432704	0.0	-0.0166015625	50.0	50	25.5	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_item_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S' samples	just:4:1627
