model_dir	model_label	model_order	condition	condition_label	generated_from	generated_from_label	n_items	mean_delta_per_token	sd_delta_per_token	se_delta_per_token	ci_low	ci_high	t_stat	df	p_value_one_sided	p_value_two_sided	cohens_d	analysis_metric	null_mean	alternative	ci_level	item_data_path	p_value_fdr_bh	reject_fdr_bh	alpha	condition_order	source_order
llama3	Llama 3 8B	0	just	just	P	S samples	40	0.022517007675845996	0.040918356369405454	0.006469760211888969	0.009430682440443068	0.035603332911248925	3.480346556657272	39.0	0.0006242508945175095	0.001248501789035019	0.5502911082880617	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.000832334526023346	True	0.05	0	0
llama3	Llama 3 8B	0	just	just	P_prime	S' samples	40	0.01157656548236004	0.03158451653883843	0.0049939505528993735	0.001475347043897915	0.021677783920822164	2.3181177626276157	39.0	0.012888831690602873	0.025777663381205747	0.3665266007198407	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.014060543662475862	True	0.05	0	1
llama3_instruct	Llama 3 8B Inst.	1	just	just	P	S samples	40	0.02016746954869733	0.029362918199556807	0.004642685012990501	0.010776752728330693	0.029558186369063967	4.3439237191986075	39.0	4.832404551274073e-05	9.664809102548146e-05	0.6868346467348647	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	9.750708286327353e-05	True	0.05	0	0
llama3_instruct	Llama 3 8B Inst.	1	just	just	P_prime	S' samples	40	0.02049625842690616	0.03712973587842563	0.005870726714814886	0.008621592806832848	0.03237092404697947	3.491264271454414	39.0	0.0006051738909270711	0.0012103477818541423	0.5520173505682163	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.0008299527646999833	True	0.05	0	1
gemma2	Gemma 2 9B	2	just	just	P	S samples	40	0.011939729146037196	0.012037148453501893	0.0019032402823319695	0.00809006230831612	0.01578939598375827	6.273369293869658	39.0	1.0804734806052226e-07	2.1609469612104451e-07	0.9919067785995149	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	1.728757568968356e-06	True	0.05	0	0
gemma2	Gemma 2 9B	2	just	just	P_prime	S' samples	40	0.007629842711903806	0.009726322399834807	0.0015378666020296452	0.004519213899750655	0.010740471524056957	4.961316346836646	39.0	7.074628865163027e-06	1.4149257730326053e-05	0.784452992431486	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	2.425587039484466e-05	True	0.05	0	1
gemma2_it	Gemma 2 9B IT	3	just	just	P	S samples	40	-0.0005763948060990287	0.08344409659289186	0.013193670126431713	-0.02726311157279272	0.02611032196059466	-0.04368722277998299	39.0	0.5173116793765651	0.9653766412468697	-0.006907556431596967	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.5173116793765651	False	0.05	0	0
gemma2_it	Gemma 2 9B IT	3	just	just	P_prime	S' samples	40	0.044066129324440304	0.08853405189739108	0.013998462723965386	0.015751565878202457	0.07238069277067816	3.1479263254385095	39.0	0.001574029888477962	0.003148059776955924	0.4977308547395067	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.0018888358661735543	True	0.05	0	1
olmo2	OLMo 2 7B	4	just	just	P	S samples	40	0.013835011450641815	0.019769401840640806	0.003125816889777503	0.007512450009991311	0.02015757289129232	4.426046674674727	39.0	3.7551713281268956e-05	7.510342656253791e-05	0.6998194261093216	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	8.583248750004332e-05	True	0.05	0	0
olmo2	OLMo 2 7B	4	just	just	P_prime	S' samples	40	0.013929173923068031	0.023546122251486928	0.0037229688189735345	0.00639875869735028	0.021459589148785783	3.7414156820438977	39.0	0.000294138709877281	0.000588277419754562	0.5915697614365529	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.00042783812345786323	True	0.05	0	1
olmo2_instruct	OLMo 2 7B Inst.	5	just	just	P	S samples	40	0.015308488434924961	0.06683317511937176	0.010567252831905523	-0.006065797917903086	0.03668277478775301	1.448672486448352	39.0	0.07771107744923515	0.1554221548984703	0.2290552320398101	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.08108981994702798	False	0.05	0	0
olmo2_instruct	OLMo 2 7B Inst.	5	just	just	P_prime	S' samples	40	0.027515544525577567	0.06235590597993771	0.009859334422995844	0.007573158310577997	0.04745793074057714	2.7908115644602236	39.0	0.004048268826141781	0.008096537652283561	0.4412660532016065	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.004626592944162035	True	0.05	0	1
qwen3_5	Qwen3.5 9B	6	just	just	P	S samples	40	0.014058660630701473	0.021908991999967885	0.003464115797915309	0.007051825060302278	0.021065496201100667	4.05836913395387	39.0	0.00011495380360683985	0.0002299076072136797	0.6416845024509608	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.00019706366332601118	True	0.05	0	0
qwen3_5	Qwen3.5 9B	6	just	just	P_prime	S' samples	40	0.015619087955245626	0.02275581318065138	0.0035980099830069502	0.008341425832415848	0.022896750078075404	4.341035191401094	39.0	4.8753541431636774e-05	9.750708286327355e-05	0.6863779303886223	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	9.750708286327353e-05	True	0.05	0	1
