model_dir	model_label	model_order	condition	condition_label	generated_from	n_items	mean_delta	median_item_delta	item_delta_q1	item_delta_q3	ci_low	ci_high	mean_delta_from_items	mean_delta_from_condition_summary	abs_diff
llama3	Llama 3 8B	0	just	just	P	40	0.26767639660835263	0.19734005928039544	0.10782566130161282	0.28976655602455137	0.1835343847438693	0.38821231373846515	0.26767639660835263	0.2676763966083527	5.551115123125783e-17
llama3	Llama 3 8B	0	just	just	P_prime	40	0.11074645847082136	0.043216011524200404	0.00501472473144525	0.15784642696380607	0.05882632926851507	0.17802002379447202	0.11074645847082136	0.1107464584708213	5.551115123125783e-17
llama3_instruct	Llama 3 8B Inst.	1	just	just	P	40	0.8089339736700059	0.48044706583023067	0.19644646942615504	1.029051434993744	0.5353348744347691	1.167259992276132	0.8089339736700059	0.8089339736700057	1.1102230246251565e-16
llama3_instruct	Llama 3 8B Inst.	1	just	just	P_prime	40	0.888043195962906	0.3848465967178345	0.16476805508136746	1.0197924625873567	0.49573507803231476	1.421100431506335	0.8880431959629058	0.8880431959629059	1.1102230246251565e-16
gemma2	Gemma 2 9B	2	just	just	P	40	0.15222823923826215	0.11893061876296995	0.07718752503395078	0.19888574361801142	0.1156067637607455	0.19806206401139492	0.15222823923826215	0.1522282392382621	5.551115123125783e-17
gemma2	Gemma 2 9B	2	just	just	P_prime	40	0.09330469417572021	0.07897215485572809	0.01643959462642665	0.1656485146284103	0.060440038496255864	0.12719173559993496	0.0933046941757202	0.0933046941757202	0.0
gemma2_it	Gemma 2 9B IT	3	just	just	P	40	0.10910143095254896	0.0662345552444458	-1.0646206432580947	1.2806917917728424	-0.5303808294221758	0.7189144026696679	0.10910143095254901	0.1091014309525489	1.1102230246251565e-16
gemma2_it	Gemma 2 9B IT	3	just	just	P_prime	40	1.075496186077595	0.5318742322921753	-0.0660345393419265	1.768142290711403	0.46644569513350714	1.7334012199252844	1.075496186077595	1.075496186077595	0.0
olmo2	OLMo 2 7B	4	just	just	P	40	0.17282682251930231	0.15806117296218863	0.0734456050395965	0.2360174697637558	0.12544843012243506	0.22698654353767633	0.17282682251930234	0.1728268225193023	5.551115123125783e-17
olmo2	OLMo 2 7B	4	just	just	P_prime	40	0.10282467395067212	0.0854269886016845	0.0016040843725204246	0.12381194829940789	0.05266335504949091	0.1632199757203459	0.10282467395067214	0.1028246739506721	4.163336342344337e-17
olmo2_instruct	OLMo 2 7B Inst.	5	just	just	P	40	1.0265157247185708	0.421989529132843	0.09510654926300048	2.3503874289989475	0.28324967575818305	1.7309553902879358	1.0265157247185708	1.0265157247185708	0.0
olmo2_instruct	OLMo 2 7B Inst.	5	just	just	P_prime	40	1.2556837424039842	0.755700775384903	-0.019340602755546527	2.2519998866319657	0.6236825312107801	1.9738301965162157	1.255683742403984	1.2556837424039842	2.220446049250313e-16
qwen3_5	Qwen3.5 9B	6	just	just	P	40	0.17528081852197644	0.109943618774414	0.07252544403076167	0.19706578254699708	0.1131485984623432	0.2593983692601322	0.17528081852197644	0.1752808185219764	2.7755575615628914e-17
qwen3_5	Qwen3.5 9B	6	just	just	P_prime	40	0.11901209312677381	0.07686672449111935	0.036664204597473105	0.1948844170570373	0.07266070571392773	0.17769282236695286	0.11901209312677381	0.1190120931267738	1.3877787807814457e-17
qwen35_instruct	Qwen3.5 9B Chat	7	just	just	P	40	0.9514479238390923	0.4692604529857636	0.19680481970310204	1.3185748982429506	0.5559880993932486	1.4732214501947156	0.9514479238390923	0.9514479238390924	1.1102230246251565e-16
qwen35_instruct	Qwen3.5 9B Chat	7	just	just	P_prime	40	0.7464482291936874	0.4961259865760803	0.166000148653984	0.9510367107391358	0.4256650550290942	1.2030630360648034	0.7464482291936874	0.7464482291936875	1.1102230246251565e-16
llama3	Llama 3 8B	0	not	not (control)	P	30	0.814532349427541	0.5998006963729858	0.40611610591411584	1.2033833354711532	0.5938512075324852	1.056928527524074	0.814532349427541	0.814532349427541	0.0
