source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins	source_file	model_dir	model_label	model_order	condition	condition_label
just	discourse_particle	0	1157	just	h	50	50	0	0.0	0.82	0.9825385599659302	0.6258745574951172	0.2908074065325581	1.0	0.044189453125	0.48	0.614349103831062	0.0047497367858886	0.0341403806362335	1.0	0.033203125	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	1	5467	just	h	50	50	0	0.0	0.7	0.9360699444586524	0.2880061674118042	0.2248471515560332	1.0	0.02685546875	0.56	0.9517798401550556	0.1373365330696106	1.3822777526951349	1.0	0.974609375	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	2	2485	just	h	50	50	3	0.0309278350515463	0.78	0.8887050756322202	0.4590859222412109	0.1406561815480312	0.0	-0.01416015625	0.46	0.0735535653560052	-0.0058793830871582	-0.1436176348641402	0.0	-0.1707763671875	False	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	3	2798	just	h	50	50	0	0.0	0.66	0.0659458472856061	0.6679991793632507	-0.3912035467544916	1.0	0.75146484375	0.74	0.9926160362390448	0.4380965280532837	0.3224536897280116	1.0	0.1839599609375	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	4	1627	just	h	50	50	1	0.0101010101010101	0.68	0.9999987527875414	0.1553420448303222	0.2205319693270939	1.0	0.3634166717529297	0.6	1.624801880501429e-05	0.2257382488250732	-0.0340252573432704	0.0	-0.0166015625	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	5	4508	just	h	50	50	0	0.0	0.6	0.7206320004907699	0.222509651184082	0.1219805809749157	1.0	0.15472412109375	0.52	0.1409661110658875	0.1796635437011718	-0.2753672775395483	1.0	1.4033203125	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	6	638	just	h	50	50	0	0.0	0.64	0.7457891672932659	0.1880173110961914	0.188136538539207	1.0	0.2685546875	0.46	0.0089168869446369	-0.0161322546005249	-0.3743152929628559	1.0	0.0986328125	False	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	7	8659	just	h	50	50	0	0.0	0.72	0.3428902346718772	0.1911019515991211	-0.0235092454068989	0.0	-0.0785064697265625	0.48	0.5230089418260788	0.046548843383789	-0.008564268965261	0.0	-0.024658203125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	8	6078	just	h	50	50	1	0.0101010101010101	0.76	0.9994952301489324	0.2703757858276367	0.3673365806238494	0.0	-0.1705493927001953	0.54	0.0505615937910077	0.0384029388427734	-0.3645948389937214	0.0	-0.3125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	9	9954	just	h	50	50	0	0.0	0.62	0.9992204276128828	0.1284158325195312	0.121427653861256	1.0	0.19580078125	0.36	0.000357358842616	-0.0306808757781982	-0.1451058696496436	0.0	-0.10528564453125	False	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
