source_dataset	dataset_role	word	generated_from	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	own_context_win_rate	weighted_own_context_win_rate	weighted_own_context_log_prob_advantage	top1_own_context_win_rate	top1_mean_own_context_log_prob_advantage	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw	source_file	model_dir	model_label	model_order	condition	condition_label	generated_from_label
just	discourse_particle	just	P	2000	40	50.0	0.2676763966083527	0.154693603515625	0.022517007675846	0.6635	0.5609072631675899	0.1124336726212501	0.675	0.2419486284255981	50.0	50	25.732	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S samples
just	discourse_particle	just	P_prime	2000	40	50.0	0.1107464584708213	0.0429801940917968	0.01157656548236	0.5425	0.5014548973415673	0.051823561407478	0.525	0.3789595007896423	50.0	50	25.6785	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S' samples
only	discourse_particle	only	P	1500	30	50.0	0.18635742354393	0.107805848121643	0.0147269400273555	0.6086666666666667	0.510610878985866	0.053297970028696	0.4666666666666667	-0.0984902064005533	50.0	50	26.042	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_condition_summary.tsv	llama3	Llama 3 8B	0	only	only	S samples
only	discourse_particle	only	P_prime	1500	30	50.0	0.135903490781784	0.077239990234375	0.0143153036821574	0.5826666666666667	0.5869569900099514	0.103001438688222	0.6	0.1051243265469869	50.0	50	26.028666666666663	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_condition_summary.tsv	llama3	Llama 3 8B	0	only	only	S' samples
not	meaning_control	not	P	1500	30	50.0	0.814532349427541	0.471405029296875	0.0620008315641156	0.726	0.6755863669789025	0.445540041438565	0.7666666666666667	0.8647115389506023	50.0	50	25.781333333333333	generation/results/llama3/Meta-Llama-3-8B_context_not_generation_condition_summary.tsv	llama3	Llama 3 8B	0	not	not (control)	S samples
not	meaning_control	not	P_prime	1500	30	50.0	0.5891466993490855	0.2645273208618164	0.0603102511092191	0.6353333333333333	0.6094629494452273	0.3941202494591466	0.6	0.4435786565144857	50.0	50	25.578666666666667	generation/results/llama3/Meta-Llama-3-8B_context_not_generation_condition_summary.tsv	llama3	Llama 3 8B	0	not	not (control)	S' samples
just	discourse_particle	just	P	2000	40	50.0	0.8089339736700057	0.422007143497467	0.0201674695486973	0.7185	0.6837119964955303	0.5199296215571558	0.825	0.9081618905067445	50.0	50	25.7065	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_just_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	just	just	S samples
just	discourse_particle	just	P_prime	2000	40	50.0	0.8880431959629059	0.349406361579895	0.0204962584269062	0.6735	0.714767026901853	0.4288050210587901	0.65	0.7631649672985077	50.0	50	25.896	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_just_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	just	just	S' samples
only	discourse_particle	only	P	1500	30	50.0	1.53652779285113	0.6232705116271973	0.0479313656456044	0.762	0.6973906229727478	1.0990762657644142	0.7	1.5457504351933795	50.0	50	26.700666666666667	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_only_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	only	only	S samples
only	discourse_particle	only	P_prime	1500	30	50.0	1.3147455428441366	0.6029322147369385	0.0415235421695667	0.724	0.7120521484084156	1.0170032026288116	0.8333333333333334	1.567202333609263	50.0	50	26.36466666666667	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_only_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	only	only	S' samples
