source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
only	discourse_particle	0	315	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.046191457476414184	0.055566637139571204	0.046191457476414184	0.055566637139571204	0.64	0.64	0.6525274582291727	0.6525274582291727	0.0494131714775602	0.0494131714775602	0.0	0.0	-0.0156226952870687	-0.0156226952870687	50.0	50	25.5
only	discourse_particle	0	315	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.03554535983891553	0.04394384530874405	0.03554535983891553	0.04394384530874405	0.78	0.78	0.7851701856869071	0.7851701856869071	0.03704027397217923	0.03704027397217923	1.0	1.0	0.0689409429376775	0.0689409429376775	50.0	50	26.78
only	discourse_particle	1	491	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.007466388813458724	0.01494750976562505	0.007466388813458724	0.01494750976562505	0.82	0.82	0.8037403095109348	0.8037403095109348	0.005125393146636119	0.005125393146636119	1.0	1.0	0.0064893450055802	0.0064893450055802	50.0	50	25.84
only	discourse_particle	1	491	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.006841782751379217	-0.00248479086255265	0.006841782751379217	-0.00248479086255265	0.46	0.46	0.46286712394461776	0.46286712394461776	0.009569023952028227	0.009569023952028227	0.0	0.0	-0.0230814615885417	-0.0230814615885417	50.0	50	25.92
only	discourse_particle	2	501	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.0013458391112325396	-0.0032282537884181	-0.0013458391112325396	-0.0032282537884181	0.44	0.44	0.4028267745899481	0.4028267745899481	-0.002092137510356127	-0.002092137510356127	1.0	1.0	0.0087614589267307	0.0087614589267307	50.0	50	25.5
only	discourse_particle	2	501	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.00612747184459391	0.007318205012506551	0.00612747184459391	0.007318205012506551	0.72	0.72	0.7190478206696707	0.7190478206696707	0.0066172079670201054	0.0066172079670201054	1.0	1.0	0.0101985931396484	0.0101985931396484	50.0	50	25.5
only	discourse_particle	3	649	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.004444736409588014	0.004176986183535949	0.004444736409588014	0.004176986183535949	0.6	0.6	0.6070967169816622	0.6070967169816622	0.005259757121694237	0.005259757121694237	1.0	1.0	0.0658111572265625	0.0658111572265625	50.0	50	25.5
only	discourse_particle	3	649	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.016310999365786963	0.01626853413052025	0.016310999365786963	0.01626853413052025	0.68	0.68	0.6830213294386015	0.6830213294386015	0.01617634445321066	0.01617634445321066	0.0	0.0	-0.0424395341139574	-0.0424395341139574	50.0	50	25.5
only	discourse_particle	4	660	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.009953956752502869	0.01207427003166895	0.009953956752502869	0.01207427003166895	0.64	0.64	0.7172323380397038	0.7172323380397038	0.01182258064340401	0.01182258064340401	1.0	1.0	0.02685546875	0.02685546875	50.0	50	28.42
only	discourse_particle	4	660	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	-0.002342968030725839	-0.009911987516615	-0.002342968030725839	-0.009911987516615	0.44	0.44	0.47122459083568674	0.47122459083568674	0.005467573372211097	0.005467573372211097	1.0	1.0	0.000806679596772	0.000806679596772	50.0	50	26.0
only	discourse_particle	5	687	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0011159759056979788	-0.0030955314636229503	0.0011159759056979788	-0.0030955314636229503	0.46	0.46	0.4235953842222405	0.4235953842222405	0.0022244823346983314	0.0022244823346983314	0.0	0.0	-0.0025390624999999	-0.0025390624999999	50.0	50	27.12
only	discourse_particle	5	687	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.006404383667115286	0.004328863961356	0.006404383667115286	0.004328863961356	0.72	0.72	0.7225470775003519	0.7225470775003519	0.005405834385337642	0.005405834385337642	0.0	0.0	-0.0087983873155383	-0.0087983873155383	50.0	50	25.74
only	discourse_particle	6	745	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.0015433855181377094	0.0012473853734823002	-0.0015433855181377094	0.0012473853734823002	0.54	0.54	0.5294207087032644	0.5294207087032644	-0.002200957007751619	-0.002200957007751619	0.0	0.0	-0.0101005185034968	-0.0101005185034968	50.0	50	26.22
only	discourse_particle	6	745	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.00071804455474185	-0.00086499017382435	0.00071804455474185	-0.00086499017382435	0.5	0.5	0.5106134026291198	0.5106134026291198	0.001825181051867431	0.001825181051867431	0.0	0.0	-0.0133966718401228	-0.0133966718401228	50.0	50	25.5
only	discourse_particle	7	794	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.026748514746183186	0.0175472630394829	0.026748514746183186	0.0175472630394829	0.6	0.6	0.6278005557414338	0.6278005557414338	0.034573120138558094	0.034573120138558094	1.0	1.0	0.0182054307725694	0.0182054307725694	50.0	50	26.34
only	discourse_particle	7	794	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.03328962329904985	0.036147054036458195	0.03328962329904985	0.036147054036458195	0.74	0.74	0.7338913180956139	0.7338913180956139	0.030642753239956463	0.030642753239956463	1.0	1.0	0.0215820312499999	0.0215820312499999	50.0	50	25.5
only	discourse_particle	8	965	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.009813187603049	0.00531298704821645	0.009813187603049	0.00531298704821645	0.6	0.6	0.6140364441305503	0.6140364441305503	0.0034107993707126905	0.0034107993707126905	1.0	1.0	0.0238876342773437	0.0238876342773437	50.0	50	25.54
only	discourse_particle	8	965	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.009445090749134936	-0.0010692519370956001	0.009445090749134936	-0.0010692519370956001	0.48	0.48	0.5059282724761327	0.5059282724761327	0.022407811315316963	0.022407811315316963	0.0	0.0	-0.0257568359375	-0.0257568359375	50.0	50	26.6
only	discourse_particle	9	966	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0028640993780527342	0.00166829427083325	0.0028640993780527342	0.00166829427083325	0.52	0.52	0.5161322938981807	0.5161322938981807	0.0008286905868374319	0.0008286905868374319	0.0	0.0	-0.005859375	-0.005859375	50.0	50	25.62
only	discourse_particle	9	966	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.0012574692880793514	-0.00031721437132215	0.0012574692880793514	-0.00031721437132215	0.5	0.5	0.49700925344905583	0.49700925344905583	0.0005941143286455879	0.0005941143286455879	1.0	1.0	0.004150390625	0.004150390625	50.0	50	26.94
only	discourse_particle	10	1038	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.07482581415763914	0.0323823582042347	0.07482581415763914	0.0323823582042347	0.56	0.56	0.5245868122351008	0.5245868122351008	0.055468171511870994	0.055468171511870994	1.0	1.0	0.1138231053071863	0.1138231053071863	50.0	50	27.0
only	discourse_particle	10	1038	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.11337477898961211	0.11049766540527345	0.11337477898961211	0.11049766540527345	0.84	0.84	0.8720146876888943	0.8720146876888943	0.10339104048348928	0.10339104048348928	0.0	0.0	-0.0253268155184658	-0.0253268155184658	50.0	50	25.5
only	discourse_particle	11	1142	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.008387146345226417	0.0096591767810638	0.008387146345226417	0.0096591767810638	0.6	0.6	0.5825487764940518	0.5825487764940518	0.007089732606228602	0.007089732606228602	1.0	1.0	0.1211111886160711	0.1211111886160711	50.0	50	27.22
only	discourse_particle	11	1142	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.024981997131960035	0.01293889103769955	0.024981997131960035	0.01293889103769955	0.66	0.66	0.6433251021734796	0.6433251021734796	0.029750081799391027	0.029750081799391027	1.0	1.0	0.0115277386726215	0.0115277386726215	50.0	50	26.66
only	discourse_particle	12	1272	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.013109795164153717	0.007922240665980601	0.013109795164153717	0.007922240665980601	0.6	0.6	0.577516820143745	0.577516820143745	0.01015306945736599	0.01015306945736599	1.0	1.0	0.0548555710736444	0.0548555710736444	50.0	50	25.66
only	discourse_particle	12	1272	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.011604374302117408	0.00496294919182265	0.011604374302117408	0.00496294919182265	0.56	0.56	0.5807482236629413	0.5807482236629413	0.011336797075449257	0.011336797075449257	0.0	0.0	-0.0337448120117187	-0.0337448120117187	50.0	50	25.6
