source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
only	discourse_particle	0	315	only	h	50	50	1	0.010101010101010102	0.64	0.64	0.6525274582291727	0.6525274582291727	0.046191457476414184	0.046191457476414184	0.0494131714775602	0.0494131714775602	0.0	0.0	-0.0156226952870687	-0.0156226952870687	0.78	0.78	0.7851701856869071	0.7851701856869071	0.03554535983891553	0.03554535983891553	0.03704027397217923	0.03704027397217923	1.0	1.0	0.0689409429376775	0.0689409429376775	True	False
only	discourse_particle	1	491	only	h	50	50	2	0.02040816326530612	0.82	0.82	0.8037403095109348	0.8037403095109348	0.007466388813458724	0.007466388813458724	0.005125393146636119	0.005125393146636119	1.0	1.0	0.0064893450055802	0.0064893450055802	0.46	0.46	0.46286712394461776	0.46286712394461776	0.006841782751379217	0.006841782751379217	0.009569023952028227	0.009569023952028227	0.0	0.0	-0.0230814615885417	-0.0230814615885417	True	False
only	discourse_particle	2	501	only	h	50	50	0	0.0	0.44	0.44	0.4028267745899481	0.4028267745899481	-0.0013458391112325396	-0.0013458391112325396	-0.002092137510356127	-0.002092137510356127	1.0	1.0	0.0087614589267307	0.0087614589267307	0.72	0.72	0.7190478206696707	0.7190478206696707	0.00612747184459391	0.00612747184459391	0.0066172079670201054	0.0066172079670201054	1.0	1.0	0.0101985931396484	0.0101985931396484	False	True
only	discourse_particle	3	649	only	h	50	50	0	0.0	0.6	0.6	0.6070967169816622	0.6070967169816622	0.004444736409588014	0.004444736409588014	0.005259757121694237	0.005259757121694237	1.0	1.0	0.0658111572265625	0.0658111572265625	0.68	0.68	0.6830213294386015	0.6830213294386015	0.016310999365786963	0.016310999365786963	0.01617634445321066	0.01617634445321066	0.0	0.0	-0.0424395341139574	-0.0424395341139574	True	False
only	discourse_particle	4	660	only	h	50	50	0	0.0	0.64	0.64	0.7172323380397038	0.7172323380397038	0.009953956752502869	0.009953956752502869	0.01182258064340401	0.01182258064340401	1.0	1.0	0.02685546875	0.02685546875	0.44	0.44	0.47122459083568674	0.47122459083568674	-0.002342968030725839	-0.002342968030725839	0.005467573372211097	0.005467573372211097	1.0	1.0	0.000806679596772	0.000806679596772	False	True
only	discourse_particle	5	687	only	h	50	50	4	0.041666666666666664	0.46	0.46	0.4235953842222405	0.4235953842222405	0.0011159759056979788	0.0011159759056979788	0.0022244823346983314	0.0022244823346983314	0.0	0.0	-0.0025390624999999	-0.0025390624999999	0.72	0.72	0.7225470775003519	0.7225470775003519	0.006404383667115286	0.006404383667115286	0.005405834385337642	0.005405834385337642	0.0	0.0	-0.0087983873155383	-0.0087983873155383	True	False
only	discourse_particle	6	745	only	h	50	50	0	0.0	0.54	0.54	0.5294207087032644	0.5294207087032644	-0.0015433855181377094	-0.0015433855181377094	-0.002200957007751619	-0.002200957007751619	0.0	0.0	-0.0101005185034968	-0.0101005185034968	0.5	0.5	0.5106134026291198	0.5106134026291198	0.00071804455474185	0.00071804455474185	0.001825181051867431	0.001825181051867431	0.0	0.0	-0.0133966718401228	-0.0133966718401228	False	False
only	discourse_particle	7	794	only	h	50	50	0	0.0	0.6	0.6	0.6278005557414338	0.6278005557414338	0.026748514746183186	0.026748514746183186	0.034573120138558094	0.034573120138558094	1.0	1.0	0.0182054307725694	0.0182054307725694	0.74	0.74	0.7338913180956139	0.7338913180956139	0.03328962329904985	0.03328962329904985	0.030642753239956463	0.030642753239956463	1.0	1.0	0.0215820312499999	0.0215820312499999	True	True
only	discourse_particle	8	965	only	h	50	50	1	0.010101010101010102	0.6	0.6	0.6140364441305503	0.6140364441305503	0.009813187603049	0.009813187603049	0.0034107993707126905	0.0034107993707126905	1.0	1.0	0.0238876342773437	0.0238876342773437	0.48	0.48	0.5059282724761327	0.5059282724761327	0.009445090749134936	0.009445090749134936	0.022407811315316963	0.022407811315316963	0.0	0.0	-0.0257568359375	-0.0257568359375	True	False
only	discourse_particle	9	966	only	h	50	50	8	0.08695652173913043	0.52	0.52	0.5161322938981807	0.5161322938981807	0.0028640993780527342	0.0028640993780527342	0.0008286905868374319	0.0008286905868374319	0.0	0.0	-0.005859375	-0.005859375	0.5	0.5	0.49700925344905583	0.49700925344905583	0.0012574692880793514	0.0012574692880793514	0.0005941143286455879	0.0005941143286455879	1.0	1.0	0.004150390625	0.004150390625	True	False
