source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
just	discourse_particle	0	1157	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.010028856471198331	0.0075551915296259	0.010028856471198331	0.0075551915296259	0.62	0.62	0.68983747154108	0.68983747154108	0.014210063190107659	0.014210063190107659	0.0	0.0	-0.0183454241071427	-0.0183454241071427	50.0	50	30.66
just	discourse_particle	0	1157	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.00024459710742721056	-0.00109829622156485	0.00024459710742721056	-0.00109829622156485	0.5	0.5	0.5041674425192071	0.5041674425192071	-0.0007401316496026123	-0.0007401316496026123	0.0	0.0	-0.0300798416137695	-0.0300798416137695	50.0	50	27.38
just	discourse_particle	1	5467	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.015268041322399761	0.0020036485460068498	0.015268041322399761	0.0020036485460068498	0.52	0.52	0.6425508098005661	0.6425508098005661	0.03249698518092095	0.03249698518092095	1.0	1.0	0.0188326502955236	0.0188326502955236	50.0	50	29.12
just	discourse_particle	1	5467	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.016627766658660142	0.007392995497759699	0.016627766658660142	0.007392995497759699	0.58	0.58	0.5121875307534856	0.5121875307534856	0.005190610474306791	0.005190610474306791	1.0	1.0	0.0081140854779413	0.0081140854779413	50.0	50	29.76
just	discourse_particle	2	2485	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0319838586828754	0.0257318670099431	0.0319838586828754	0.0257318670099431	0.74	0.74	0.759145890927951	0.759145890927951	0.028590898225974434	0.028590898225974434	1.0	1.0	0.0887044270833334	0.0887044270833334	50.0	50	25.5
just	discourse_particle	2	2485	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	-0.0037319200992265863	-0.01232528686523435	-0.0037319200992265863	-0.01232528686523435	0.4	0.4	0.4057381435503551	0.4057381435503551	-0.007048902163519996	-0.007048902163519996	0.0	0.0	-0.0426155271984283	-0.0426155271984283	50.0	50	25.5
just	discourse_particle	3	2798	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.059493470208401664	0.048185277868200094	0.059493470208401664	0.048185277868200094	0.68	0.68	0.6574172996945556	0.6574172996945556	0.05837716278639858	0.05837716278639858	0.0	0.0	-0.0049722762334916	-0.0049722762334916	50.0	50	25.66
just	discourse_particle	3	2798	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.020418171538812525	0.01718697364309	0.020418171538812525	0.01718697364309	0.68	0.68	0.6458322917018261	0.6458322917018261	0.01065974785343458	0.01065974785343458	1.0	1.0	0.0066212245396204	0.0066212245396204	50.0	50	26.86
just	discourse_particle	4	1627	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0059001147107015815	0.00693394587590145	0.0059001147107015815	0.00693394587590145	0.72	0.72	0.7167977198180784	0.7167977198180784	0.005768361418513161	0.005768361418513161	1.0	1.0	0.0029413559857538	0.0029413559857538	50.0	50	27.2
just	discourse_particle	4	1627	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	-0.004712189397286872	-0.0057896205357143	-0.004712189397286872	-0.0057896205357143	0.38	0.38	0.34504218483729204	0.34504218483729204	-0.006762190256205315	-0.006762190256205315	1.0	1.0	0.0085637019230768	0.0085637019230768	50.0	50	25.86
just	discourse_particle	5	4508	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0050990605002496515	0.00860040838068175	0.0050990605002496515	0.00860040838068175	0.64	0.64	0.6799002422575473	0.6799002422575473	0.01055788501890102	0.01055788501890102	0.0	0.0	-0.001495361328125	-0.001495361328125	50.0	50	27.7
just	discourse_particle	5	4508	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.008958333404430936	0.0015866663548853	0.008958333404430936	0.0015866663548853	0.52	0.52	0.4635290743329008	0.4635290743329008	0.005457182333013903	0.005457182333013903	0.0	0.0	-0.0602484809027779	-0.0602484809027779	50.0	50	26.26
just	discourse_particle	6	638	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.013586473488629227	0.01355819702148425	0.013586473488629227	0.01355819702148425	0.7	0.7	0.7934741647137	0.7934741647137	0.021149350582024454	0.021149350582024454	1.0	1.0	0.0026896158854168	0.0026896158854168	50.0	50	28.14
just	discourse_particle	6	638	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.005035835066736633	0.000258306041359875	0.005035835066736633	0.000258306041359875	0.5	0.5	0.4551829789857429	0.4551829789857429	-0.0014307722799720346	-0.0014307722799720346	0.0	0.0	-0.0128244253305287	-0.0128244253305287	50.0	50	25.5
just	discourse_particle	7	8659	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.007536105221408236	0.0163375854492187	0.007536105221408236	0.0163375854492187	0.66	0.66	0.7050887689379213	0.7050887689379213	0.012178574244275025	0.012178574244275025	1.0	1.0	0.0339202880859375	0.0339202880859375	50.0	50	25.68
just	discourse_particle	7	8659	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.006534970098203035	0.00377279053085965	0.006534970098203035	0.00377279053085965	0.56	0.56	0.543503192729058	0.543503192729058	0.0027660734746753593	0.0027660734746753593	1.0	1.0	0.2467447916666665	0.2467447916666665	50.0	50	26.88
just	discourse_particle	8	6078	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.025271199672412405	0.010570220947265549	0.025271199672412405	0.010570220947265549	0.66	0.66	0.6874615492327784	0.6874615492327784	0.031081996449779985	0.031081996449779985	1.0	1.0	0.1226358413696289	0.1226358413696289	50.0	50	26.4
