source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
just	discourse_particle	0	1157	just	h	50	50	0	0.0	0.62	0.62	0.68983747154108	0.68983747154108	0.010028856471198331	0.010028856471198331	0.014210063190107659	0.014210063190107659	0.0	0.0	-0.0183454241071427	-0.0183454241071427	0.5	0.5	0.5041674425192071	0.5041674425192071	0.00024459710742721056	0.00024459710742721056	-0.0007401316496026123	-0.0007401316496026123	0.0	0.0	-0.0300798416137695	-0.0300798416137695	True	False
just	discourse_particle	1	5467	just	h	50	50	2	0.02040816326530612	0.52	0.52	0.6425508098005661	0.6425508098005661	0.015268041322399761	0.015268041322399761	0.03249698518092095	0.03249698518092095	1.0	1.0	0.0188326502955236	0.0188326502955236	0.58	0.58	0.5121875307534856	0.5121875307534856	0.016627766658660142	0.016627766658660142	0.005190610474306791	0.005190610474306791	1.0	1.0	0.0081140854779413	0.0081140854779413	True	True
just	discourse_particle	2	2485	just	h	50	50	0	0.0	0.74	0.74	0.759145890927951	0.759145890927951	0.0319838586828754	0.0319838586828754	0.028590898225974434	0.028590898225974434	1.0	1.0	0.0887044270833334	0.0887044270833334	0.4	0.4	0.4057381435503551	0.4057381435503551	-0.0037319200992265863	-0.0037319200992265863	-0.007048902163519996	-0.007048902163519996	0.0	0.0	-0.0426155271984283	-0.0426155271984283	False	False
just	discourse_particle	3	2798	just	h	50	50	0	0.0	0.68	0.68	0.6574172996945556	0.6574172996945556	0.059493470208401664	0.059493470208401664	0.05837716278639858	0.05837716278639858	0.0	0.0	-0.0049722762334916	-0.0049722762334916	0.68	0.68	0.6458322917018261	0.6458322917018261	0.020418171538812525	0.020418171538812525	0.01065974785343458	0.01065974785343458	1.0	1.0	0.0066212245396204	0.0066212245396204	True	False
just	discourse_particle	4	1627	just	h	50	50	1	0.010101010101010102	0.72	0.72	0.7167977198180784	0.7167977198180784	0.0059001147107015815	0.0059001147107015815	0.005768361418513161	0.005768361418513161	1.0	1.0	0.0029413559857538	0.0029413559857538	0.38	0.38	0.34504218483729204	0.34504218483729204	-0.004712189397286872	-0.004712189397286872	-0.006762190256205315	-0.006762190256205315	1.0	1.0	0.0085637019230768	0.0085637019230768	False	True
just	discourse_particle	5	4508	just	h	50	50	3	0.030927835051546393	0.64	0.64	0.6799002422575473	0.6799002422575473	0.0050990605002496515	0.0050990605002496515	0.01055788501890102	0.01055788501890102	0.0	0.0	-0.001495361328125	-0.001495361328125	0.52	0.52	0.4635290743329008	0.4635290743329008	0.008958333404430936	0.008958333404430936	0.005457182333013903	0.005457182333013903	0.0	0.0	-0.0602484809027779	-0.0602484809027779	True	False
just	discourse_particle	6	638	just	h	50	50	0	0.0	0.7	0.7	0.7934741647137	0.7934741647137	0.013586473488629227	0.013586473488629227	0.021149350582024454	0.021149350582024454	1.0	1.0	0.0026896158854168	0.0026896158854168	0.5	0.5	0.4551829789857429	0.4551829789857429	0.005035835066736633	0.005035835066736633	-0.0014307722799720346	-0.0014307722799720346	0.0	0.0	-0.0128244253305287	-0.0128244253305287	True	False
just	discourse_particle	7	8659	just	h	50	50	0	0.0	0.66	0.66	0.7050887689379213	0.7050887689379213	0.007536105221408236	0.007536105221408236	0.012178574244275025	0.012178574244275025	1.0	1.0	0.0339202880859375	0.0339202880859375	0.56	0.56	0.543503192729058	0.543503192729058	0.006534970098203035	0.006534970098203035	0.0027660734746753593	0.0027660734746753593	1.0	1.0	0.2467447916666665	0.2467447916666665	True	True
just	discourse_particle	8	6078	just	h	50	50	0	0.0	0.66	0.66	0.6874615492327784	0.6874615492327784	0.025271199672412405	0.025271199672412405	0.031081996449779985	0.031081996449779985	1.0	1.0	0.1226358413696289	0.1226358413696289	0.6	0.6	0.5719784025961246	0.5719784025961246	0.01108759488551465	0.01108759488551465	0.009314656591766767	0.009314656591766767	0.0	0.0	-0.0058804466610866	-0.0058804466610866	True	False
just	discourse_particle	9	9954	just	h	50	50	2	0.02040816326530612	0.74	0.74	0.7485635298492781	0.7485635298492781	0.00850717236032147	0.00850717236032147	0.006387297763028828	0.006387297763028828	1.0	1.0	0.0139439900716147	0.0139439900716147	0.4	0.4	0.38608717646526525	0.38608717646526525	-0.0008754928590605524	-0.0008754928590605524	-0.0010265941349995424	-0.0010265941349995424	0.0	0.0	-0.0066283299372746	-0.0066283299372746	False	False
just	discourse_particle	10	5138	just	h	50	50	0	0.0	0.78	0.78	0.7562731656108806	0.7562731656108806	0.037860674228971526	0.037860674228971526	0.028110354878063452	0.028110354878063452	0.0	0.0	-0.0314432779947915	-0.0314432779947915	0.62	0.62	0.6294304834295166	0.6294304834295166	0.007188403390405321	0.007188403390405321	0.010364859006280109	0.010364859006280109	1.0	1.0	0.0558003743489583	0.0558003743489583	True	False
just	discourse_particle	11	498	just	h	50	50	0	0.0	0.76	0.76	0.785968833654	0.785968833654	0.012405397002815028	0.012405397002815028	0.014804197093783823	0.014804197093783823	1.0	1.0	0.0176269899715078	0.0176269899715078	0.62	0.62	0.6215143503101416	0.6215143503101416	0.007055897013541209	0.007055897013541209	0.006640139547013026	0.006640139547013026	1.0	1.0	0.0067030962775735	0.0067030962775735	True	True
just	discourse_particle	12	7769	just	h	50	50	0	0.0	0.52	0.52	0.5430515722140592	0.5430515722140592	0.0044760063236927265	0.0044760063236927265	0.014585175397343575	0.014585175397343575	0.0	0.0	-0.0300467354910716	-0.0300467354910716	0.54	0.54	0.5437905057653147	0.5437905057653147	0.002370167941558718	0.002370167941558718	0.001819293198569402	0.001819293198569402	1.0	1.0	0.1503499348958334	0.1503499348958334	True	False
just	discourse_particle	13	12718	just	h	50	50	0	0.0	0.54	0.54	0.5393481719357864	0.5393481719357864	0.02391560472815305	0.02391560472815305	0.02108664034321454	0.02108664034321454	1.0	1.0	0.0061565126691545	0.0061565126691545	0.46	0.46	0.4628482074563404	0.4628482074563404	-0.00676507636267966	-0.00676507636267966	-0.00634852396915473	-0.00634852396915473	0.0	0.0	-0.0137695312499999	-0.0137695312499999	False	False
just	discourse_particle	14	8242	just	h	50	50	0	0.0	0.44	0.44	0.44901695415284515	0.44901695415284515	0.003652371902583695	0.003652371902583695	0.010427415902407925	0.010427415902407925	1.0	1.0	0.00118408203125	0.00118408203125	0.64	0.64	0.720261311956328	0.720261311956328	0.0057625766086237375	0.0057625766086237375	0.012134756736658248	0.012134756736658248	1.0	1.0	0.0024427331012228	0.0024427331012228	True	True
just	discourse_particle	15	8890	just	h	50	50	0	0.0	0.6	0.6	0.625015928164228	0.625015928164228	0.010066669717684518	0.010066669717684518	0.011025026467940329	0.011025026467940329	1.0	1.0	0.01616735043733	0.01616735043733	0.7	0.7	0.6467201145352192	0.6467201145352192	0.006562000354943849	0.006562000354943849	0.005235475111055078	0.005235475111055078	0.0	0.0	-0.0049454538445723	-0.0049454538445723	True	False
just	discourse_particle	16	10613	just	h	50	50	2	0.02040816326530612	0.6	0.6	0.562426074990559	0.562426074990559	0.006855387271395476	0.006855387271395476	0.0035571192495009304	0.0035571192495009304	0.0	0.0	-0.0077400207519531	-0.0077400207519531	0.64	0.64	0.6385468080259973	0.6385468080259973	0.02208891584309457	0.02208891584309457	0.025504183415143152	0.025504183415143152	1.0	1.0	0.0559526331284465	0.0559526331284465	True	False
just	discourse_particle	17	6323	just	h	50	50	0	0.0	0.6	0.6	0.5844311461000471	0.5844311461000471	0.005658801372974034	0.005658801372974034	0.005587459468749967	0.005587459468749967	0.0	0.0	-0.0093866984049477	-0.0093866984049477	0.58	0.58	0.5712802454586113	0.5712802454586113	0.003447810485022076	0.003447810485022076	0.001817810881583472	0.001817810881583472	1.0	1.0	0.0063921511173248	0.0063921511173248	True	False
just	discourse_particle	18	4012	just	h	50	50	0	0.0	0.58	0.58	0.5469127366824498	0.5469127366824498	0.003004038146735347	0.003004038146735347	0.0009032564451705735	0.0009032564451705735	0.0	0.0	-0.0168937683105467	-0.0168937683105467	0.66	0.66	0.681251016711145	0.681251016711145	0.008554422651444847	0.008554422651444847	0.008595131805792484	0.008595131805792484	1.0	1.0	0.0159403483072917	0.0159403483072917	True	False
just	discourse_particle	19	9268	just	h	50	50	1	0.010101010101010102	0.84	0.84	0.8344164068178117	0.8344164068178117	0.021062068483274347	0.021062068483274347	0.01768318885553702	0.01768318885553702	1.0	1.0	0.203125	0.203125	0.56	0.56	0.5575171164068847	0.5575171164068847	0.010139310017617831	0.010139310017617831	0.009643458768520921	0.009643458768520921	1.0	1.0	0.049344843084162	0.049344843084162	True	True
just	discourse_particle	20	788	just	h	50	50	5	0.05263157894736842	0.6	0.6	0.622398358739672	0.622398358739672	0.005535239983611812	0.005535239983611812	0.007087974733443948	0.007087974733443948	1.0	1.0	0.0050684611002604	0.0050684611002604	0.5	0.5	0.49148325776291835	0.49148325776291835	0.003958315858067447	0.003958315858067447	0.0019159246248578999	0.0019159246248578999	0.0	0.0	-0.0186870892842611	-0.0186870892842611	True	False
just	discourse_particle	21	5758	just	h	50	50	0	0.0	0.66	0.66	0.6410849701986759	0.6410849701986759	0.02823316948744095	0.02823316948744095	0.01994245664138452	0.01994245664138452	1.0	1.0	0.0288202194940478	0.0288202194940478	0.54	0.54	0.5504642724251909	0.5504642724251909	-0.00648091068291733	-0.00648091068291733	0.0008340392025894143	0.0008340392025894143	0.0	0.0	-0.0739080255681816	-0.0739080255681816	False	False
just	discourse_particle	22	7873	just	h	50	50	0	0.0	0.54	0.54	0.5995836215184992	0.5995836215184992	0.014889284102339478	0.014889284102339478	0.016887781603844312	0.016887781603844312	0.0	0.0	-0.0029296875	-0.0029296875	0.46	0.46	0.527766734278009	0.527766734278009	0.0008128446089645545	0.0008128446089645545	0.0058330058552638715	0.0058330058552638715	0.0	0.0	-0.0095084054129463	-0.0095084054129463	True	False
just	discourse_particle	23	2141	just	h	50	50	0	0.0	0.44	0.44	0.36133951420309446	0.36133951420309446	0.0007297470502474122	0.0007297470502474122	-0.0005421293167966908	-0.0005421293167966908	1.0	1.0	0.0197928292410713	0.0197928292410713	0.66	0.66	0.6794980214053451	0.6794980214053451	0.004218669862621754	0.004218669862621754	0.00648596740312822	0.00648596740312822	0.0	0.0	-0.0282269646139705	-0.0282269646139705	True	False
just	discourse_particle	24	5388	just	h	50	50	0	0.0	0.64	0.64	0.6054485023635969	0.6054485023635969	0.005465712001728905	0.005465712001728905	0.004412067956538869	0.004412067956538869	1.0	1.0	0.0275230026245116	0.0275230026245116	0.58	0.58	0.5849010711152232	0.5849010711152232	0.008842736229393935	0.008842736229393935	0.008611080873065951	0.008611080873065951	1.0	1.0	0.0277280807495117	0.0277280807495117	True	True
just	discourse_particle	25	1001	just	h	50	50	0	0.0	0.7	0.7	0.7243524796679655	0.7243524796679655	0.010417506994369313	0.010417506994369313	0.011225871228083406	0.011225871228083406	1.0	1.0	0.0939483642578125	0.0939483642578125	0.4	0.4	0.4120416787019386	0.4120416787019386	2.6500834471691742e-05	2.6500834471691742e-05	0.0017587955366047112	0.0017587955366047112	0.0	0.0	-0.0021474501665901	-0.0021474501665901	True	False
just	discourse_particle	26	9687	just	h	50	50	0	0.0	0.54	0.54	0.5376358452308062	0.5376358452308062	0.012764815260623022	0.012764815260623022	0.00707915146681667	0.00707915146681667	1.0	1.0	0.001373291015625	0.001373291015625	0.68	0.68	0.7114709380873159	0.7114709380873159	0.03168329793574511	0.03168329793574511	0.02886373183299164	0.02886373183299164	0.0	0.0	-0.0080130440848213	-0.0080130440848213	True	False
just	discourse_particle	27	6768	just	h	50	50	0	0.0	0.5	0.5	0.49337770209197007	0.49337770209197007	0.003490904614556712	0.003490904614556712	0.0028270524525703424	0.0028270524525703424	0.0	0.0	-0.0120675223214283	-0.0120675223214283	0.66	0.66	0.6234109492006927	0.6234109492006927	0.008140482069667295	0.008140482069667295	0.007736230044713521	0.007736230044713521	0.0	0.0	-0.0145610173543293	-0.0145610173543293	True	False
just	discourse_particle	28	12662	just	h	50	50	1	0.010101010101010102	0.66	0.66	0.6288920435865738	0.6288920435865738	0.020548939486029573	0.020548939486029573	0.007186923305882611	0.007186923305882611	0.0	0.0	-0.1250508626302084	-0.1250508626302084	0.66	0.66	0.6791072623338812	0.6791072623338812	0.026658607330200715	0.026658607330200715	0.029738190536103215	0.029738190536103215	1.0	1.0	0.164306640625	0.164306640625	True	False
just	discourse_particle	29	1461	just	h	50	50	5	0.05263157894736842	0.6	0.6	0.6250378118326744	0.6250378118326744	0.017694127523615485	0.017694127523615485	0.024293940642591525	0.024293940642591525	1.0	1.0	0.2109375	0.2109375	0.34	0.34	0.3988015651885509	0.3988015651885509	-0.010493741753688985	-0.010493741753688985	-0.008780789117479733	-0.008780789117479733	0.0	0.0	-0.0167032877604167	-0.0167032877604167	False	False
just	discourse_particle	30	10555	just	h	50	50	0	0.0	0.56	0.56	0.5437456297433727	0.5437456297433727	-0.0006197520526345102	-0.0006197520526345102	-0.001295543938699184	-0.001295543938699184	0.0	0.0	-0.0265950520833335	-0.0265950520833335	0.58	0.58	0.5636198945665618	0.5636198945665618	0.005105699914229901	0.005105699914229901	0.005455569268803623	0.005455569268803623	1.0	1.0	0.0313110351562497	0.0313110351562497	False	False
