source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
just	discourse_particle	0	1157	just	h	50	50	10	0.1111111111111111	0.02	0.02	0.03799754939070445	0.03799754939070445	-0.28671973471335477	-0.28671973471335477	-0.1644402001565725	-0.1644402001565725	0.0	0.0	-0.1792243203601322	-0.1792243203601322	1.0	1.0	1.0	1.0	0.3841300253681086	0.3841300253681086	0.2666579279442186	0.2666579279442186	1.0	1.0	0.8385885195298624	0.8385885195298624	False	False
just	discourse_particle	1	5467	just	h	50	50	12	0.13636363636363635	0.64	0.64	0.7651109856807913	0.7651109856807913	0.014977035104758039	0.014977035104758039	0.03665841404949599	0.03665841404949599	1.0	1.0	0.0431651387895852	0.0431651387895852	0.82	0.82	0.7882202673598957	0.7882202673598957	0.06597930115329019	0.06597930115329019	0.052758010877992166	0.052758010877992166	1.0	1.0	0.0525382161140441	0.0525382161140441	True	True
just	discourse_particle	2	2485	just	h	50	50	4	0.041666666666666664	0.0	0.0	0.0	0.0	-0.0982208641777584	-0.0982208641777584	-0.07330304570971184	-0.07330304570971184	0.0	0.0	-0.0945897817611691	-0.0945897817611691	1.0	1.0	1.0	1.0	0.09811371275106495	0.09811371275106495	0.0791540214102071	0.0791540214102071	1.0	1.0	0.1045004186176115	0.1045004186176115	False	False
just	discourse_particle	3	2798	just	h	50	50	3	0.030927835051546393	0.92	0.92	0.9835597436374496	0.9835597436374496	0.19742348626036293	0.19742348626036293	0.220268503966263	0.220268503966263	1.0	1.0	0.2003327488899231	0.2003327488899231	0.84	0.84	0.805106981555765	0.805106981555765	0.20517238156248477	0.20517238156248477	0.16697047113870273	0.16697047113870273	0.0	0.0	-0.0476386330344462	-0.0476386330344462	True	False
just	discourse_particle	4	1627	just	h	50	50	3	0.030927835051546393	0.42	0.42	0.3696001108764382	0.3696001108764382	-0.0019782972476771656	-0.0019782972476771656	-0.005159734139345367	-0.005159734139345367	1.0	1.0	0.0295046667257945	0.0295046667257945	0.7	0.7	0.8178083116671815	0.8178083116671815	0.016584501668088062	0.016584501668088062	0.024676523878608827	0.024676523878608827	0.0	0.0	-0.0641844431559244	-0.0641844431559244	False	False
just	discourse_particle	5	4508	just	h	50	50	0	0.0	0.14	0.14	0.16793744106407518	0.16793744106407518	-0.09245783006079053	-0.09245783006079053	-0.08329737937136233	-0.08329737937136233	0.0	0.0	-0.065560539563497	-0.065560539563497	1.0	1.0	1.0	1.0	0.2151704803938088	0.2151704803938088	0.1936960596729218	0.1936960596729218	1.0	1.0	0.2442853892291032	0.2442853892291032	False	False
just	discourse_particle	6	638	just	h	50	50	16	0.19047619047619047	0.0	0.0	0.0	0.0	-0.07891563650163597	-0.07891563650163597	-0.06011997467792724	-0.06011997467792724	0.0	0.0	-0.051229028474717	-0.051229028474717	1.0	1.0	1.0	1.0	0.08422581576902367	0.08422581576902367	0.06474933967423918	0.06474933967423918	1.0	1.0	0.0753673996244157	0.0753673996244157	False	False
just	discourse_particle	7	8659	just	h	50	50	20	0.25	0.0	0.0	0.0	0.0	-0.025017934443415494	-0.025017934443415494	-0.02240695356592399	-0.02240695356592399	0.0	0.0	-0.0099791711376555	-0.0099791711376555	0.98	0.98	0.869966228819587	0.869966228819587	0.02971876673256112	0.02971876673256112	0.01830554888343839	0.01830554888343839	1.0	1.0	0.0470502288253222	0.0470502288253222	False	False
just	discourse_particle	8	6078	just	h	50	50	4	0.041666666666666664	0.62	0.62	0.6806830305325974	0.6806830305325974	0.028161382185527533	0.028161382185527533	0.03378130019494516	0.03378130019494516	0.0	0.0	-0.0216579952755493	-0.0216579952755493	0.86	0.86	0.9056464830551452	0.9056464830551452	0.02584677683738462	0.02584677683738462	0.02230414999816695	0.02230414999816695	0.0	0.0	-0.040183438704564	-0.040183438704564	True	False
just	discourse_particle	9	9954	just	h	50	50	7	0.07526881720430108	0.24	0.24	0.19604150020521846	0.19604150020521846	-0.01065470561233985	-0.01065470561233985	-0.011161757091623644	-0.011161757091623644	0.0	0.0	-0.0057646632194519	-0.0057646632194519	0.84	0.84	0.932026393819581	0.932026393819581	0.013778890126789017	0.013778890126789017	0.015510726406965337	0.015510726406965337	1.0	1.0	0.0338345686594645	0.0338345686594645	False	False
