source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
not	meaning_control	0	5	not	h	50	50	0	0.0	0.84	0.84	0.9705328403048645	0.9705328403048645	0.22402477859405526	0.22402477859405526	0.3318701303557855	0.3318701303557855	0.0	0.0	-0.1198022827025382	-0.1198022827025382	1.0	1.0	1.0	1.0	0.6890345694121399	0.6890345694121399	0.6905569972691145	0.6905569972691145	1.0	1.0	0.5124368724368866	0.5124368724368866	True	False
not	meaning_control	1	7	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.2279550765304482	0.2279550765304482	0.22739732423417833	0.22739732423417833	1.0	1.0	0.2949324637651442	0.2949324637651442	0.44	0.44	0.2709301690967978	0.2709301690967978	0.024996682153831898	0.024996682153831898	-0.05708473248279223	-0.05708473248279223	1.0	1.0	0.3528725760323654	0.3528725760323654	True	True
not	meaning_control	2	15	not	h	50	50	0	0.0	0.96	0.96	0.9930134461967548	0.9930134461967548	0.32723447280933166	0.32723447280933166	0.34339333125028604	0.34339333125028604	1.0	1.0	0.4319846000936294	0.4319846000936294	1.0	1.0	1.0	1.0	0.976548854044707	0.976548854044707	0.9772630229658124	0.9772630229658124	1.0	1.0	1.131156575295233	1.131156575295233	True	True
not	meaning_control	3	71	not	h	50	50	10	0.1111111111111111	0.82	0.82	0.9206272244813729	0.9206272244813729	-0.00020796280694939203	-0.00020796280694939203	0.06058150213802519	0.06058150213802519	1.0	1.0	0.0537823736667633	0.0537823736667633	0.52	0.52	0.3918780084704573	0.3918780084704573	0.12519352433284095	0.12519352433284095	0.032716214622594546	0.032716214622594546	0.0	0.0	-0.0928155991338914	-0.0928155991338914	False	False
not	meaning_control	4	81	not	h	50	50	0	0.0	0.96	0.96	0.9998396140242322	0.9998396140242322	1.0346707111372033	1.0346707111372033	1.160835458554802	1.160835458554802	1.0	1.0	0.3777519372793341	0.3777519372793341	1.0	1.0	1.0	1.0	1.8406002829238828	1.8406002829238828	1.7615537533142294	1.7615537533142294	1.0	1.0	1.216111319405691	1.216111319405691	True	True
not	meaning_control	5	226	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.2884178219954084	0.2884178219954084	0.2506947378299924	0.2506947378299924	1.0	1.0	0.3267054503614253	0.3267054503614253	0.64	0.64	0.7891187012244152	0.7891187012244152	0.13108756012754574	0.13108756012754574	0.20838818298661538	0.20838818298661538	0.0	0.0	-0.0537624607483548	-0.0537624607483548	True	False
not	meaning_control	6	244	not	h	50	50	3	0.030927835051546393	0.4	0.4	0.6165066542392628	0.6165066542392628	0.054877697758579744	0.054877697758579744	0.22139247719189942	0.22139247719189942	0.0	0.0	-0.0416469623645148	-0.0416469623645148	0.98	0.98	0.9888321612025217	0.9888321612025217	0.22872732643489815	0.22872732643489815	0.2559193068553857	0.2559193068553857	1.0	1.0	0.2807282260123718	0.2807282260123718	True	False
not	meaning_control	7	272	not	h	50	50	1	0.010101010101010102	0.56	0.56	0.8084609367442875	0.8084609367442875	0.006224559054993032	0.006224559054993032	0.06673459750104473	0.06673459750104473	0.0	0.0	-0.0007288711411614	-0.0007288711411614	0.98	0.98	0.9535606169537727	0.9535606169537727	0.49124899105338243	0.49124899105338243	0.39273973550996133	0.39273973550996133	1.0	1.0	0.0991632479887743	0.0991632479887743	True	False
not	meaning_control	8	302	not	h	50	50	3	0.030927835051546393	0.18	0.18	0.32189923540629173	0.32189923540629173	-0.045422496727866725	-0.045422496727866725	-0.01436078773407094	-0.01436078773407094	0.0	0.0	-0.0210737544436787	-0.0210737544436787	1.0	1.0	1.0	1.0	0.0716817022565433	0.0716817022565433	0.03426001637966524	0.03426001637966524	1.0	1.0	0.0875338521497002	0.0875338521497002	False	False
not	meaning_control	9	309	not	h	50	50	3	0.030927835051546393	0.88	0.88	0.8466170786920292	0.8466170786920292	0.03559832116885281	0.03559832116885281	0.030019461677341257	0.030019461677341257	1.0	1.0	0.0032971045550178	0.0032971045550178	0.32	0.32	0.395327817540511	0.395327817540511	-0.019783888489174624	-0.019783888489174624	-0.009878379142697541	-0.009878379142697541	1.0	1.0	0.0169541485169353	0.0169541485169353	False	True
