source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
only	discourse_particle	0	315	only	h	50	50	4	0.041666666666666664	0.74	0.74	0.890638943162026	0.890638943162026	0.007025483027682649	0.007025483027682649	0.0925099570993379	0.0925099570993379	0.0	0.0	-1.5094778878348212	-1.5094778878348212	1.0	1.0	1.0	1.0	0.4290826291576731	0.4290826291576731	0.30927812948606154	0.30927812948606154	1.0	1.0	1.4908762127161026	1.4908762127161026	True	False
only	discourse_particle	1	491	only	h	50	50	16	0.19047619047619047	0.36	0.36	0.3819032190828417	0.3819032190828417	-0.008093383994080472	-0.008093383994080472	-0.00494834521485709	-0.00494834521485709	0.0	0.0	-0.004884946913946	-0.004884946913946	0.76	0.76	0.7255756736062575	0.7255756736062575	0.015200442570366568	0.015200442570366568	0.010745976338292986	0.010745976338292986	1.0	1.0	0.0225733717282614	0.0225733717282614	False	False
only	discourse_particle	2	501	only	h	50	50	4	0.041666666666666664	0.16	0.16	0.1984415464649421	0.1984415464649421	-0.02020975182066068	-0.02020975182066068	-0.01010246178593819	-0.01010246178593819	0.0	0.0	-0.0260046995603118	-0.0260046995603118	0.92	0.92	0.9286061074821302	0.9286061074821302	0.031098925319950687	0.031098925319950687	0.02351139323290297	0.02351139323290297	1.0	1.0	0.0624871134757993	0.0624871134757993	False	False
only	discourse_particle	3	649	only	h	50	50	5	0.05263157894736842	0.0	0.0	0.0	0.0	-0.27335806228988363	-0.27335806228988363	-0.22809125065601357	-0.22809125065601357	0.0	0.0	-0.256165237040133	-0.256165237040133	1.0	1.0	1.0	1.0	0.2784391247066115	0.2784391247066115	0.23758802472725682	0.23758802472725682	1.0	1.0	0.3007663163271816	0.3007663163271816	False	False
only	discourse_particle	4	660	only	h	50	50	4	0.041666666666666664	0.96	0.96	0.9277459076833445	0.9277459076833445	0.08038928077429228	0.08038928077429228	0.057960224385532215	0.057960224385532215	1.0	1.0	0.1213446389073911	0.1213446389073911	0.1	0.1	0.17124181333091446	0.17124181333091446	-0.053421551924711715	-0.053421551924711715	-0.02385233066610604	-0.02385233066610604	0.0	0.0	-0.0180325321122711	-0.0180325321122711	False	False
only	discourse_particle	5	687	only	h	50	50	17	0.20481927710843373	1.0	1.0	1.0	1.0	0.08686395849273536	0.08686395849273536	0.08117400670249636	0.08117400670249636	1.0	1.0	0.0678382378358106	0.0678382378358106	0.0	0.0	0.0	0.0	-0.0797575341979402	-0.0797575341979402	-0.07374660576160975	-0.07374660576160975	0.0	0.0	-0.0790305576826395	-0.0790305576826395	False	False
only	discourse_particle	6	745	only	h	50	50	11	0.12359550561797752	0.94	0.94	0.9740893793853779	0.9740893793853779	0.0412620032522777	0.0412620032522777	0.02868877571862415	0.02868877571862415	1.0	1.0	0.1361403465270996	0.1361403465270996	0.18	0.18	0.2512787459423559	0.2512787459423559	-0.020657219289347165	-0.020657219289347165	-0.012417312981659994	-0.012417312981659994	0.0	0.0	-0.0568596976143971	-0.0568596976143971	False	False
only	discourse_particle	7	794	only	h	50	50	4	0.041666666666666664	0.66	0.66	0.6247168577872304	0.6247168577872304	0.025435138222318004	0.025435138222318004	0.01086323368089847	0.01086323368089847	1.0	1.0	0.0815729227933017	0.0815729227933017	0.78	0.78	0.8736113771724663	0.8736113771724663	0.05105031736897428	0.05105031736897428	0.06335524086573455	0.06335524086573455	1.0	1.0	0.0489669387990776	0.0489669387990776	True	True
only	discourse_particle	8	965	only	h	50	50	24	0.3157894736842105	0.16	0.16	0.33002630388494086	0.33002630388494086	-0.16443114244679063	-0.16443114244679063	-0.05750469259347152	-0.05750469259347152	0.0	0.0	-0.1690034717321396	-0.1690034717321396	0.96	0.96	0.9153932334386436	0.9153932334386436	0.29070543416741557	0.29070543416741557	0.13776528570366472	0.13776528570366472	1.0	1.0	0.1211368110444808	0.1211368110444808	False	False
only	discourse_particle	9	966	only	h	50	50	25	0.3333333333333333	0.72	0.72	0.745407258084277	0.745407258084277	0.006290977762998026	0.006290977762998026	0.007184518028262957	0.007184518028262957	1.0	1.0	0.0171367261144848	0.0171367261144848	0.36	0.36	0.3284963982333133	0.3284963982333133	-0.005952840445203393	-0.005952840445203393	-0.0074478115562900725	-0.0074478115562900725	1.0	1.0	7.450580596923828e-07	7.450580596923828e-07	False	True
only	discourse_particle	10	1038	only	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.7511720421217943	0.7511720421217943	0.7255407095282254	0.7255407095282254	1.0	1.0	0.8610120746824474	0.8610120746824474	0.64	0.64	0.7671592769523715	0.7671592769523715	0.04973999895236874	0.04973999895236874	0.1094597078780457	0.1094597078780457	1.0	1.0	0.2520060062408449	0.2520060062408449	True	True
only	discourse_particle	11	1142	only	h	50	50	0	0.0	0.8	0.8	0.8157884419713194	0.8157884419713194	0.06353360757430834	0.06353360757430834	0.061587347851842854	0.061587347851842854	1.0	1.0	0.0202294486634273	0.0202294486634273	0.98	0.98	0.957482934532816	0.957482934532816	0.216938787054322	0.216938787054322	0.18559175311528256	0.18559175311528256	1.0	1.0	0.3105954064263239	0.3105954064263239	True	True
only	discourse_particle	12	1272	only	h	50	50	9	0.0989010989010989	0.54	0.54	0.5513874236921252	0.5513874236921252	0.008161715826132622	0.008161715826132622	0.007487269055980395	0.007487269055980395	0.0	0.0	-0.0045675389906936	-0.0045675389906936	0.66	0.66	0.6636848552183545	0.6636848552183545	0.011432218070761817	0.011432218070761817	0.009644009653610458	0.009644009653610458	1.0	1.0	0.0377010107040405	0.0377010107040405	True	False
only	discourse_particle	13	1368	only	h	50	50	2	0.02040816326530612	0.46	0.46	0.4718009398938708	0.4718009398938708	-0.03520245864733759	-0.03520245864733759	-0.019985109690561883	-0.019985109690561883	1.0	1.0	0.080295705795288	0.080295705795288	0.98	0.98	0.989761323792636	0.989761323792636	0.22106098743171398	0.22106098743171398	0.21311886321924522	0.21311886321924522	1.0	1.0	0.2671642700831098	0.2671642700831098	False	True
only	discourse_particle	14	1446	only	h	50	50	2	0.02040816326530612	1.0	1.0	1.0	1.0	0.15202707773138474	0.15202707773138474	0.1423835363560066	0.1423835363560066	1.0	1.0	0.0805551715799282	0.0805551715799282	0.26	0.26	0.2332426768883416	0.2332426768883416	-0.04136403451368111	-0.04136403451368111	-0.03594950439590862	-0.03594950439590862	0.0	0.0	-0.0438886605776276	-0.0438886605776276	False	False
only	discourse_particle	15	1493	only	h	50	50	1	0.010101010101010102	0.02	0.02	0.010089452983040577	0.010089452983040577	-0.04468258542828609	-0.04468258542828609	-0.035231139324340195	-0.035231139324340195	0.0	0.0	-0.0113280916213989	-0.0113280916213989	1.0	1.0	1.0	1.0	0.07373682578972174	0.07373682578972174	0.056236067418309554	0.056236067418309554	1.0	1.0	0.1041713068562169	0.1041713068562169	False	False
