source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
not	meaning_control	0	5	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0439976569496468	0.038445746457135346	0.0439976569496468	0.038445746457135346	0.66	0.66	0.6867581990605339	0.6867581990605339	0.057219159726098784	0.057219159726098784	1.0	1.0	0.0357844034830732	0.0357844034830732	50.0	50	25.5
not	meaning_control	0	5	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.03475982168385919	0.0136214293442765	0.03475982168385919	0.0136214293442765	0.64	0.64	0.5223621690522372	0.5223621690522372	0.025050850777440133	0.025050850777440133	1.0	1.0	0.007174402475357	0.007174402475357	50.0	50	25.5
not	meaning_control	1	7	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.05043550357994251	0.0323120117187501	0.05043550357994251	0.0323120117187501	0.78	0.78	0.8921255781112913	0.8921255781112913	0.04053274575422577	0.04053274575422577	0.0	0.0	-0.074055989583333	-0.074055989583333	50.0	50	26.18
not	meaning_control	1	7	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.03334023051273173	0.0260009765625	0.03334023051273173	0.0260009765625	0.66	0.66	0.6085468657048555	0.6085468657048555	0.02151784258446746	0.02151784258446746	1.0	1.0	0.0188802083333334	0.0188802083333334	50.0	50	25.5
not	meaning_control	2	15	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.08514163480080963	0.0918249758133977	0.08514163480080963	0.0918249758133977	0.88	0.88	0.907897357915272	0.907897357915272	0.09490059042807011	0.09490059042807011	1.0	1.0	0.1579475402832031	0.1579475402832031	50.0	50	25.5
not	meaning_control	2	15	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.14716872898386552	0.0651652018229166	0.14716872898386552	0.0651652018229166	0.72	0.72	0.5870500540652335	0.5870500540652335	0.09664756896296361	0.09664756896296361	1.0	1.0	0.0851384943181816	0.0851384943181816	50.0	50	25.5
not	meaning_control	3	71	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.06758764177194403	0.06429331461588544	0.06758764177194403	0.06429331461588544	0.78	0.78	0.8883450607782232	0.8883450607782232	0.07514618255822483	0.07514618255822483	1.0	1.0	0.0884765625000003	0.0884765625000003	50.0	50	25.5
not	meaning_control	3	71	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.02716194206785349	0.027735392252603998	0.02716194206785349	0.027735392252603998	0.56	0.56	0.5521335589613526	0.5521335589613526	0.03475176980071877	0.03475176980071877	1.0	1.0	0.0821940104166665	0.0821940104166665	50.0	50	25.5
not	meaning_control	4	81	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.18149019534759464	0.13953260941938925	0.18149019534759464	0.13953260941938925	0.72	0.72	0.8362584146824044	0.8362584146824044	0.2783463742692173	0.2783463742692173	1.0	1.0	0.0903671727035986	0.0903671727035986	50.0	50	26.02
not	meaning_control	4	81	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.12332406444535306	0.06520235879080645	0.12332406444535306	0.06520235879080645	0.76	0.76	0.7680123896928521	0.7680123896928521	0.13410371340469257	0.13410371340469257	1.0	1.0	0.1313825334821428	0.1313825334821428	50.0	50	25.5
