source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
not	meaning_control	0	5	not	h	50	50	0	0.0	0.66	0.66	0.6867581990605339	0.6867581990605339	0.0439976569496468	0.0439976569496468	0.057219159726098784	0.057219159726098784	1.0	1.0	0.0357844034830732	0.0357844034830732	0.64	0.64	0.5223621690522372	0.5223621690522372	0.03475982168385919	0.03475982168385919	0.025050850777440133	0.025050850777440133	1.0	1.0	0.007174402475357	0.007174402475357	True	True
not	meaning_control	1	7	not	h	50	50	0	0.0	0.78	0.78	0.8921255781112913	0.8921255781112913	0.05043550357994251	0.05043550357994251	0.04053274575422577	0.04053274575422577	0.0	0.0	-0.074055989583333	-0.074055989583333	0.66	0.66	0.6085468657048555	0.6085468657048555	0.03334023051273173	0.03334023051273173	0.02151784258446746	0.02151784258446746	1.0	1.0	0.0188802083333334	0.0188802083333334	True	False
not	meaning_control	2	15	not	h	50	50	0	0.0	0.88	0.88	0.907897357915272	0.907897357915272	0.08514163480080963	0.08514163480080963	0.09490059042807011	0.09490059042807011	1.0	1.0	0.1579475402832031	0.1579475402832031	0.72	0.72	0.5870500540652335	0.5870500540652335	0.14716872898386552	0.14716872898386552	0.09664756896296361	0.09664756896296361	1.0	1.0	0.0851384943181816	0.0851384943181816	True	True
not	meaning_control	3	71	not	h	50	50	0	0.0	0.78	0.78	0.8883450607782232	0.8883450607782232	0.06758764177194403	0.06758764177194403	0.07514618255822483	0.07514618255822483	1.0	1.0	0.0884765625000003	0.0884765625000003	0.56	0.56	0.5521335589613526	0.5521335589613526	0.02716194206785349	0.02716194206785349	0.03475176980071877	0.03475176980071877	1.0	1.0	0.0821940104166665	0.0821940104166665	True	True
not	meaning_control	4	81	not	h	50	50	0	0.0	0.72	0.72	0.8362584146824044	0.8362584146824044	0.18149019534759464	0.18149019534759464	0.2783463742692173	0.2783463742692173	1.0	1.0	0.0903671727035986	0.0903671727035986	0.76	0.76	0.7680123896928521	0.7680123896928521	0.12332406444535306	0.12332406444535306	0.13410371340469257	0.13410371340469257	1.0	1.0	0.1313825334821428	0.1313825334821428	True	True
not	meaning_control	5	226	not	h	50	50	0	0.0	0.7	0.7	0.7216077020269912	0.7216077020269912	0.028960889513264185	0.028960889513264185	0.03728859855993018	0.03728859855993018	0.0	0.0	-0.273768833705357	-0.273768833705357	0.64	0.64	0.7160451846871384	0.7160451846871384	0.04739691488104409	0.04739691488104409	0.07001921589666932	0.07001921589666932	0.0	0.0	-0.0227722167968749	-0.0227722167968749	True	False
not	meaning_control	6	244	not	h	50	50	0	0.0	0.78	0.78	0.747992260542065	0.747992260542065	0.030602079486290498	0.030602079486290498	0.027257334672860723	0.027257334672860723	1.0	1.0	0.0558593749999998	0.0558593749999998	0.72	0.72	0.7519838782090104	0.7519838782090104	0.04178206941019954	0.04178206941019954	0.04143861523695384	0.04143861523695384	0.0	0.0	-0.0417738694411053	-0.0417738694411053	True	False
not	meaning_control	7	272	not	h	50	50	0	0.0	0.58	0.58	0.6647244146495682	0.6647244146495682	0.008820614153168852	0.008820614153168852	0.02224075126566254	0.02224075126566254	1.0	1.0	0.0529471635818481	0.0529471635818481	0.64	0.64	0.6299203563634026	0.6299203563634026	0.021094867276408927	0.021094867276408927	0.02521750055500154	0.02521750055500154	1.0	1.0	0.0350734165736608	0.0350734165736608	True	True
not	meaning_control	8	302	not	h	50	50	0	0.0	0.52	0.52	0.5584559373361583	0.5584559373361583	0.0009601458094489651	0.0009601458094489651	0.0048964343246880645	0.0048964343246880645	1.0	1.0	0.0702078683035716	0.0702078683035716	0.68	0.68	0.7213533169458438	0.7213533169458438	0.014801534948831494	0.014801534948831494	0.009941375284712312	0.009941375284712312	0.0	0.0	-0.0141098920036764	-0.0141098920036764	True	False
not	meaning_control	9	309	not	h	50	50	0	0.0	0.62	0.62	0.5778266863484567	0.5778266863484567	0.009988017893205869	0.009988017893205869	0.008934759169225794	0.008934759169225794	0.0	0.0	-0.0250610709190368	-0.0250610709190368	0.62	0.62	0.6158745663801867	0.6158745663801867	0.017995207101885263	0.017995207101885263	0.012843242203117274	0.012843242203117274	0.0	0.0	-0.0455877130681818	-0.0455877130681818	True	False
