source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
not	meaning_control	0	5	not	h	50	50	0	0.0	0.96	0.9999999999982613	13.339067084789276	1.7303312258325196	1.0	7.839523196220398	0.96	0.747797687850709	17.659570574760437	9.104744756013814	1.0	11.28216290473938	True	True
not	meaning_control	1	7	not	h	50	50	1	0.010101010101010102	0.94	0.0072545043428018504	2.5618700623512267	-1.3369223107673927	1.0	4.360060811042786	0.78	0.9887005095961577	3.223989152908325	1.4897353487543263	1.0	1.3581950664520264	True	True
not	meaning_control	2	15	not	h	50	50	0	0.0	1.0	1.0	24.52819183588028	17.55211259085867	1.0	32.74976575374603	1.0	1.0	53.17001583814621	38.06540763710202	1.0	69.74441027641296	True	True
not	meaning_control	3	71	not	h	50	50	0	0.0	0.9	0.9620869781069982	3.2581770825386047	1.5769580188753278	1.0	2.814010500907898	0.82	0.9959612821090784	7.232013292312622	3.9905106281862963	1.0	21.07285916805268	True	True
not	meaning_control	4	81	not	h	50	50	0	0.0	1.0	1.0	24.046824159622194	16.164741124773013	1.0	20.055881142616272	1.0	1.0	34.29981371402741	26.797754738828242	1.0	24.18335962295532	True	True
not	meaning_control	5	226	not	h	50	50	0	0.0	0.6	0.10977403762934448	0.2412354016304016	-0.2487567344649451	1.0	0.5369229316711426	0.78	0.8696243515586302	0.6791312599182129	1.1865141760685272	0.0	-0.2695246934890747	True	False
not	meaning_control	6	244	not	h	50	50	0	0.0	1.0	1.0	23.958469886779785	16.17154212839875	1.0	14.352074146270752	1.0	1.0	17.534775269031524	9.344720483577944	1.0	14.34264314174652	True	True
not	meaning_control	7	272	not	h	50	50	0	0.0	0.84	0.9999467476011705	2.3503599524497987	0.7796478617784426	1.0	6.247639894485474	0.92	0.9998222882844632	2.305203399658203	2.0320524497742403	1.0	0.6407374143600464	True	True
not	meaning_control	8	302	not	h	50	50	0	0.0	0.56	0.01528356074005972	0.17097530841827394	-0.44819987683462115	1.0	0.3349291086196899	0.6	0.5770538639924703	0.061038455963134765	0.036283076972515114	0.0	-0.4775049686431885	True	False
not	meaning_control	9	309	not	h	50	50	0	0.0	0.66	0.16028734835546937	0.8246918988227844	-0.29063397614831177	0.0	-1.1942996978759766	0.76	0.9702341714707657	0.9236036777496338	1.7691335080021384	1.0	2.2649046182632446	True	False
not	meaning_control	10	319	not	h	50	50	0	0.0	1.0	1.0	5.565264308452607	8.001598666243511	1.0	29.559142231941223	0.9	0.9999999998261855	17.661954295635223	10.79869571663668	1.0	28.866007447242737	True	True
not	meaning_control	11	367	not	h	50	50	0	0.0	0.96	1.0	2.9254775643348694	3.4582776506149164	1.0	3.2808486223220825	0.78	0.38075886170183676	2.685746705532074	1.0445870988636696	1.0	6.767651796340942	True	True
not	meaning_control	12	379	not	h	50	50	0	0.0	1.0	1.0	10.007593836784363	8.726671391250072	1.0	5.084542274475098	1.0	1.0	27.29784496307373	21.45685685124009	1.0	13.47061276435852	True	True
not	meaning_control	13	383	not	h	50	50	0	0.0	0.88	0.9998740540249095	2.666855640411377	3.708933151237854	1.0	4.673907279968262	0.94	0.999573752610621	3.161302077770233	2.39180423495373	1.0	1.9983422756195068	True	True
not	meaning_control	14	460	not	h	50	50	0	0.0	1.0	1.0	16.601044087409974	15.44803516593512	1.0	8.600167155265808	1.0	1.0	37.44495941400528	34.86727265260705	1.0	23.44178056716919	True	True
not	meaning_control	15	686	not	h	50	50	0	0.0	0.98	1.0	12.649984397888183	7.85079657748158	1.0	16.246167421340942	0.92	0.9997766413962984	10.069910705089569	3.9653610088873648	1.0	10.649132132530212	True	True
not	meaning_control	16	698	not	h	50	50	0	0.0	1.0	1.0	29.114582562446593	9.979694438742007	1.0	18.311458587646484	0.86	0.99988675012738	18.469270555973054	26.8709037582108	1.0	11.341963768005373	True	True
not	meaning_control	17	702	not	h	50	50	3	0.030927835051546393	0.68	0.7034805783693665	0.4028045392036438	0.4112350277489762	1.0	1.1689796447753906	0.66	0.8328694304362767	0.22946242094039918	0.32136931329224777	0.0	-0.5304853916168213	True	False
not	meaning_control	18	729	not	h	50	50	0	0.0	1.0	1.0	27.33291354894638	26.627623642086117	1.0	32.02854597568512	1.0	1.0	61.48969982862472	31.98382851216819	1.0	69.40919578075409	True	True
not	meaning_control	19	768	not	h	50	50	0	0.0	1.0	1.0	10.675242476463318	5.971784293182495	1.0	8.900603771209717	1.0	1.0	12.70649010181427	5.695949326483151	1.0	20.27695083618164	True	True
not	meaning_control	20	865	not	h	50	50	0	0.0	0.7	0.7683792261162877	0.5210896396636963	0.8225629082939313	1.0	0.7863180637359619	0.68	0.8672720453784034	0.7834662175178528	2.233027003026225	0.0	-0.7307051420211792	True	False
