source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
not	meaning_control	0	5	not	h	50	50	0	0.0	0.96	0.96	0.9646615850797049	0.9646615850797049	0.3256035865091816	0.3256035865091816	0.3288518616393514	0.3288518616393514	1.0	1.0	0.2375613089763756	0.2375613089763756	0.96	0.96	0.9644936588369056	0.9644936588369056	0.41479168615429246	0.41479168615429246	0.4242327178659821	0.4242327178659821	1.0	1.0	0.4700901210308074	0.4700901210308074	True	True
not	meaning_control	1	7	not	h	50	50	1	0.010101010101010102	0.94	0.94	0.9375704742409261	0.9375704742409261	0.038308021505163874	0.038308021505163874	0.03660413699692468	0.03660413699692468	1.0	1.0	0.063189287116562	0.063189287116562	0.78	0.78	0.7681207642249636	0.7681207642249636	0.07224482973228633	0.07224482973228633	0.061489785418745835	0.061489785418745835	1.0	1.0	0.1131829222043355	0.1131829222043355	True	True
not	meaning_control	2	15	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.5685586785283323	0.5685586785283323	0.567349145845274	0.567349145845274	1.0	1.0	0.4746342862861744	0.4746342862861744	1.0	1.0	1.0	1.0	0.9358726370359082	0.9358726370359082	0.9504690676289436	0.9504690676289436	1.0	1.0	1.0897564105689526	1.0897564105689526	True	True
not	meaning_control	3	71	not	h	50	50	0	0.0	0.9	0.9	0.9033324777912544	0.9033324777912544	0.12043305285249527	0.12043305285249527	0.1182740761088759	0.1182740761088759	1.0	1.0	0.0781669583585527	0.0781669583585527	0.82	0.82	0.8165330038811662	0.8165330038811662	0.27597939843606534	0.27597939843606534	0.2684397185165522	0.2684397185165522	1.0	1.0	0.6020816905157909	0.6020816905157909	True	True
not	meaning_control	4	81	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	1.1152557579791438	1.1152557579791438	1.1169025889895934	1.1169025889895934	1.0	1.0	0.8356617142756779	0.8356617142756779	1.0	1.0	1.0	1.0	1.690534732086652	1.690534732086652	1.6790556061780233	1.6790556061780233	1.0	1.0	1.4225505660561957	1.4225505660561957	True	True
not	meaning_control	5	226	not	h	50	50	0	0.0	0.6	0.6	0.5752312929418362	0.5752312929418362	0.0034645552470757486	0.0034645552470757486	0.0025010191513821353	0.0025010191513821353	1.0	1.0	0.0077814917633498	0.0077814917633498	0.78	0.78	0.7966412077035452	0.7966412077035452	0.010164540788772216	0.010164540788772216	0.010610285896852319	0.010610285896852319	0.0	0.0	-0.0039061549781025	-0.0039061549781025	True	False
not	meaning_control	6	244	not	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.41617484144823974	0.41617484144823974	0.4194993260728967	0.4194993260728967	1.0	1.0	0.2080010745836341	0.2080010745836341	1.0	1.0	1.0	1.0	0.38680115086566147	0.38680115086566147	0.39267004397317407	0.39267004397317407	1.0	1.0	0.2206560483345618	0.2206560483345618	True	True
not	meaning_control	7	272	not	h	50	50	0	0.0	0.84	0.84	0.8477915490745065	0.8477915490745065	0.05458093820325474	0.05458093820325474	0.05396213027381019	0.05396213027381019	1.0	1.0	0.1024203261391061	0.1024203261391061	0.92	0.92	0.9265109489592829	0.9265109489592829	0.07219936235686984	0.07219936235686984	0.07353327497852319	0.07353327497852319	1.0	1.0	0.0120893851766046	0.0120893851766046	True	True
not	meaning_control	8	302	not	h	50	50	0	0.0	0.56	0.56	0.5423232639562182	0.5423232639562182	0.002288567758436568	0.002288567758436568	0.002011180829886986	0.002011180829886986	1.0	1.0	0.0052332673221826	0.0052332673221826	0.6	0.6	0.6015061534801295	0.6015061534801295	0.001228823933172124	0.001228823933172124	0.0012175092000093765	0.0012175092000093765	0.0	0.0	-0.009744999360065	-0.009744999360065	True	False
not	meaning_control	9	309	not	h	50	50	0	0.0	0.66	0.66	0.6563628568438964	0.6563628568438964	0.016553168258649192	0.016553168258649192	0.01604383296742729	0.01604383296742729	0.0	0.0	-0.0314289394177887	-0.0314289394177887	0.76	0.76	0.7528670165358778	0.7528670165358778	0.020576079502434754	0.020576079502434754	0.019877729948600455	0.019877729948600455	1.0	1.0	0.0462225432298621	0.0462225432298621	True	False
