source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
not	meaning_control	0	5	not	h	50	50	0	0.0	0.62	0.007412585745433398	0.6624782824516297	-0.46434651734863724	1.0	0.2451171875	0.7	0.08428931333091481	1.0180404424667358	-0.059238468422603205	1.0	0.498046875	True	True
not	meaning_control	1	7	not	h	50	50	1	0.010101010101010102	0.6	0.2895458270437286	0.23535746097564697	0.17395904917040306	1.0	0.6591796875	0.54	0.6347486350411014	0.11285236358642578	0.014665600885225722	0.0	-0.177734375	True	False
not	meaning_control	2	15	not	h	50	50	0	0.0	0.58	0.00013362377937410757	0.5256323432922363	-0.5347907825453116	1.0	0.075927734375	0.8	0.9998577667650677	0.8960361099243164	0.6889750956069994	1.0	1.841796875	True	True
not	meaning_control	3	71	not	h	50	50	0	0.0	0.54	0.9711996113310618	0.070428466796875	0.5528787281888218	0.0	-0.80322265625	0.64	0.5536687314093556	0.3468817138671875	0.01464644161913379	1.0	0.093994140625	True	False
not	meaning_control	4	81	not	h	50	50	0	0.0	0.66	0.009577062667807296	0.8327064895629883	-0.15490347860187656	1.0	1.3426504135131836	0.68	0.9346011787431667	1.0000191497802735	1.080765272471539	1.0	0.876251220703125	True	True
not	meaning_control	5	226	not	h	50	50	0	0.0	0.84	0.9998606964757736	0.9340794563293457	0.744936841062	1.0	0.6432037353515625	0.74	0.9337462096760983	0.742482807636261	1.821534318996723	1.0	1.369873046875	True	True
not	meaning_control	6	244	not	h	50	50	0	0.0	0.64	0.8787236719797643	0.5670846843719483	0.09972323524189322	0.0	-0.1148681640625	0.7	0.9963749943550915	0.4576655220985413	0.35883976084430946	1.0	0.015869140625	True	False
not	meaning_control	7	272	not	h	50	50	0	0.0	0.44	0.4121244591272805	-0.010716285705566406	-0.1104448076321999	1.0	0.555908203125	0.52	0.002963979536732372	0.09533956527709961	-0.332270100894028	1.0	0.97119140625	False	True
not	meaning_control	8	302	not	h	50	50	1	0.010101010101010102	0.44	4.724847862113352e-05	0.018807647228240968	-0.14906559109580353	0.0	-0.3724946975708008	0.64	0.5875460545840818	0.23527854919433594	0.01178073078807914	0.0	-0.4125967025756836	True	False
not	meaning_control	9	309	not	h	50	50	1	0.010101010101010102	0.64	0.020045430585089678	0.20253777503967285	-0.23323050570678366	1.0	1.646697998046875	0.6	0.3444217604471242	0.17894633531570434	0.052684950245459265	1.0	0.923583984375	True	True
not	meaning_control	10	319	not	h	50	50	2	0.02040816326530612	0.62	0.12167542937381357	0.8307961654663086	-0.11182187371442653	0.0	-1.1391563415527344	0.64	0.2983901918317899	1.0026157784461975	0.7788225729767887	0.0	-0.4032738208770752	True	False
not	meaning_control	11	367	not	h	50	50	2	0.02040816326530612	0.54	0.8342262780449179	0.2801553821563721	0.3292256467027363	1.0	4.45989990234375	0.44	0.14672824744373322	0.1204826021194458	-0.12181153225397784	0.0	-0.03125	True	False
not	meaning_control	12	379	not	h	50	50	1	0.010101010101010102	0.7	0.8994813145813707	1.2103046035766603	1.044704683072949	1.0	8.630884170532227	0.82	0.9647137329716948	1.0345731925964357	0.6977896409055713	1.0	0.052734375	True	True
not	meaning_control	13	383	not	h	50	50	0	0.0	0.66	0.9312104560604519	0.5187567901611329	0.531620116389642	0.0	-0.167943000793457	0.74	0.9991046598819281	0.4839936828613281	0.08325909588142785	1.0	0.0546875	True	False
not	meaning_control	14	460	not	h	50	50	0	0.0	0.5	0.941575909182572	0.20624565124511718	0.5158569186770404	1.0	0.270263671875	0.74	0.9999919022819318	0.8517725515365601	0.6233895156231598	1.0	1.05810546875	True	True
not	meaning_control	15	686	not	h	50	50	0	0.0	0.96	0.9999999999517781	3.2820999336242678	1.9195154302709967	1.0	5.709766387939453	0.78	0.3970051532606623	2.69656524181366	0.5392546125530966	1.0	7.685546875	True	True
not	meaning_control	16	698	not	h	50	50	2	0.02040816326530612	0.72	0.27357407168013986	0.5966548728942871	-0.04157841580538029	1.0	1.703369140625	0.56	0.841689625004491	0.21616170883178712	0.35310929121924234	0.0	-1.641357421875	True	False
not	meaning_control	17	702	not	h	50	50	0	0.0	0.56	0.4637911274845105	0.0028698348999023435	0.012132909205317316	0.0	-0.1004638671875	0.56	0.521917244463501	0.013696823120117186	0.009875601026100855	1.0	0.0341796875	True	False
not	meaning_control	18	729	not	h	50	50	0	0.0	0.7	0.9926529207399183	1.1402067947387695	0.9198151951047411	1.0	2.532577514648437	0.94	0.8499964069535242	2.249285354614258	1.1161976400000457	1.0	3.268310546875	True	True
not	meaning_control	19	768	not	h	50	50	0	0.0	0.58	0.9850905897117831	0.3815393829345703	0.6760321300135965	1.0	0.3624267578125	0.78	0.996729724611763	0.8484624981880188	0.5484895757365614	1.0	0.15325927734375	True	True
not	meaning_control	20	865	not	h	50	50	0	0.0	0.8	0.08766940899345214	1.0830778980255127	-0.032250498005246146	1.0	2.8115806579589844	0.82	0.9950197549281214	2.2413270378112795	0.4037750624365991	1.0	0.753875732421875	True	True
