source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
only	discourse_particle	0	315	only	h	50	50	1	0.010101010101010102	0.54	0.0008615761701368074	0.6915117645263672	-0.0288351845458087	1.0	1.661712646484375	0.84	0.9796970035115796	0.7471197938919067	0.825581519436588	1.0	1.120086669921875	True	True
only	discourse_particle	1	491	only	h	50	50	5	0.05263157894736842	0.64	0.34227717785778644	0.13717082023620605	0.015825798831072543	0.0	-0.1314096450805664	0.48	0.12203312911491056	-0.04049478530883789	-0.09799445555645522	1.0	0.2013392448425293	False	False
only	discourse_particle	2	501	only	h	50	50	0	0.0	0.54	0.923197470665002	0.11732026100158692	0.13970758986090143	1.0	0.4819545745849609	0.62	0.9986772556253237	0.04897181749343872	0.1715984167803505	1.0	0.1567916870117187	True	True
only	discourse_particle	3	649	only	h	50	50	0	0.0	0.62	0.9968399606154204	0.4164878845214844	0.5995266999915936	0.0	-0.74029541015625	0.68	0.05819228647925201	0.29406059980392457	-0.056160797478231446	0.0	-0.5601348876953125	True	False
only	discourse_particle	4	660	only	h	50	50	1	0.010101010101010102	0.68	0.13428621643481142	0.3097993326187134	-0.15742388901552196	0.0	-0.16796875	0.76	0.9912018087850414	0.28775707244873044	0.2435409159077774	0.0	-0.5117645263671875	True	False
only	discourse_particle	5	687	only	h	50	50	4	0.041666666666666664	0.74	0.8298216837935696	0.27043293952941894	0.09019824777992079	1.0	1.271076202392578	0.46	0.2774884333199805	-0.013954267501831055	-0.01504918997739333	1.0	0.8051071166992188	False	True
only	discourse_particle	6	745	only	h	50	50	3	0.030927835051546393	0.54	0.8444246737159867	0.07083009243011473	0.11402516751032575	1.0	0.1207597255706787	0.64	0.23664593849645235	0.22734132289886474	-0.017026502009972737	0.0	-0.1368408203125	True	False
only	discourse_particle	7	794	only	h	50	50	1	0.010101010101010102	0.58	0.23823618532773153	0.29912248611450193	-0.2241265101748206	0.0	-0.35955810546875	0.66	0.5998031285030785	0.18034116744995118	0.05198501927503048	0.0	-0.1953125	True	False
only	discourse_particle	8	965	only	h	50	50	1	0.010101010101010102	0.58	0.03725489157104606	0.1940869188308716	0.006229061075895459	0.0	-0.7297744750976562	0.56	0.9993256646852332	0.08323080062866212	0.06722701407731918	1.0	0.8193292617797852	True	False
only	discourse_particle	9	966	only	h	50	50	6	0.06382978723404255	0.64	0.19069334562687437	0.09012253761291504	0.0238046439557875	1.0	0.2374434471130371	0.52	0.9403327597828209	0.033773584365844725	0.009457905623258808	0.0	-0.1622524261474609	True	False
only	discourse_particle	10	1038	only	h	50	50	8	0.08695652173913043	0.64	0.6717562856087439	0.46939753532409667	0.8451518499392661	1.0	0.1689453125	0.8	0.8945089117487263	0.6264034080505371	0.36757120507692925	1.0	0.9485607147216796	True	True
only	discourse_particle	11	1142	only	h	50	50	0	0.0	0.44	0.3951593250860709	0.04259764671325684	-0.09856984369958315	0.0	-0.3068428039550781	0.66	0.11095331836874436	0.2193661117553711	-0.034621529725922834	1.0	0.4599609375	True	False
only	discourse_particle	12	1272	only	h	50	50	5	0.05263157894736842	0.6	0.038652012799789214	0.2037025833129883	-0.03064385077702964	0.0	-0.9245986938476562	0.66	0.9914028605025567	0.20706384658813476	0.06187442228500518	1.0	2.355751037597656	True	False
only	discourse_particle	13	1368	only	h	50	50	4	0.041666666666666664	0.58	0.982588241524331	0.2788871335983276	0.2228813414004277	1.0	0.84423828125	0.5	0.06190534426110098	0.0611713981628418	-0.19819856166923264	1.0	0.79266357421875	True	True
only	discourse_particle	14	1446	only	h	50	50	0	0.0	0.6	0.9991022257961024	0.10962774276733399	0.13927250455800258	1.0	0.795166015625	0.6	0.9807677708862618	0.31116848945617676	0.20122148996255826	1.0	0.08349609375	True	True
only	discourse_particle	15	1493	only	h	50	50	1	0.010101010101010102	0.74	0.23110592655941842	0.35646940231323243	0.013474813080492991	1.0	0.37689208984375	0.54	0.15144315339186645	0.14471500873565674	-0.014612351504825045	1.0	0.8818943500518799	True	True
only	discourse_particle	16	1538	only	h	50	50	5	0.05263157894736842	0.54	0.758317456802011	0.3308441257476807	0.01431319534201244	1.0	0.551300048828125	0.8	0.24132527396876827	0.5083058166503907	0.015589650787551644	1.0	0.5438251495361328	True	True
only	discourse_particle	17	1577	only	h	50	50	5	0.05263157894736842	0.64	0.1835168040792716	0.2068067741394043	0.009487121086313291	0.0	-0.0204391479492187	0.52	0.845915848878931	-0.04670648574829102	0.022150923685654283	0.0	-0.39727783203125	False	False
only	discourse_particle	18	1579	only	h	50	50	3	0.030927835051546393	0.76	0.9074395315797177	0.2674733805656433	0.05601236852021902	1.0	0.2860946655273437	0.3	0.10692429919051898	-0.1433911466598511	-0.04385826455069639	1.0	0.0163421630859375	False	True
only	discourse_particle	19	1602	only	h	50	50	1	0.010101010101010102	0.72	0.27336398710008947	0.32721169710159304	0.029687030562763707	1.0	0.1408500671386718	0.64	0.32516275314326293	0.45201998710632324	0.11617311940962735	0.0	-0.0805473327636718	True	False
only	discourse_particle	20	1624	only	h	50	50	0	0.0	0.56	0.03943841547438103	0.056485269069671634	-0.3721998717270502	1.0	0.455078125	0.66	0.9985930789108108	0.12362447500228882	0.3568090504593922	1.0	0.635201096534729	True	True
only	discourse_particle	21	1817	only	h	50	50	2	0.02040816326530612	0.6	0.3909952880301891	0.09742682456970214	-0.012266597769193222	0.0	-0.4386501312255859	0.68	0.815231955905257	0.09413688659667968	0.076525069107252	0.0	-0.05157470703125	True	False
only	discourse_particle	22	1888	only	h	50	50	0	0.0	0.7	0.048874846575433326	0.42299394369125365	-0.527255311422095	1.0	0.6255226135253906	0.72	0.9293740324936715	0.44515945434570314	1.172302433385901	1.0	0.799224853515625	True	True
only	discourse_particle	23	1891	only	h	50	50	2	0.02040816326530612	0.48	0.045558504385949807	-0.010860502719879145	-0.08811249387666925	0.0	-0.4454727172851562	0.56	0.714620181048137	0.010810012817382803	0.09899707437546304	1.0	0.2319755554199218	False	False
only	discourse_particle	24	2032	only	h	50	50	0	0.0	0.48	0.972715345485147	0.07985911369323731	-0.007275952012836996	0.0	-0.10595703125	0.58	0.9999994625407875	0.14990636348724365	0.1615366400373887	0.0	-0.4058456420898437	True	False
only	discourse_particle	25	2038	only	h	50	50	1	0.010101010101010102	0.84	0.08723138757372945	0.752541675567627	-0.19839126232123372	1.0	1.12615966796875	0.62	0.4613043649972251	0.5526621818542481	0.03539975001006496	1.0	0.47509765625	True	True
only	discourse_particle	26	2118	only	h	50	50	2	0.02040816326530612	0.7	0.1871357853105401	0.43243868827819826	-0.09885181719029226	0.0	-0.529296875	0.54	0.5504334178866458	-0.007916669845581054	-0.062138863562983336	0.0	-0.6688232421875	False	False
only	discourse_particle	27	2232	only	h	50	50	0	0.0	0.74	0.9898654566661867	0.1947982883453369	0.24497193882613774	1.0	0.1713409423828125	0.56	1.6387346960618774e-06	0.07690073013305664	-0.26268011718798107	1.0	0.018310546875	True	True
only	discourse_particle	28	2333	only	h	50	50	1	0.010101010101010102	0.68	0.02754548942890785	0.17168193340301513	-0.09709678187536003	1.0	0.4169921875	0.66	0.9973380276385918	0.15863133430480958	0.10772794744939085	1.0	0.1065216064453125	True	True
only	discourse_particle	29	2405	only	h	50	50	2	0.02040816326530612	0.34	0.03317874505082178	-0.10374902248382568	-0.18128734076222264	1.0	0.8295092582702637	0.7	0.9772405333943771	0.16422003269195556	0.1832536443651462	1.0	0.974639892578125	False	True
