source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
only	discourse_particle	0	315	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.015896323755031423	0.01297557353973375	0.015896323755031423	0.01297557353973375	0.8	0.8	0.8091680250552713	0.8091680250552713	0.01513079396001586	0.01513079396001586	1.0	1.0	0.0401969867594101	0.0401969867594101	50.0	50	27.4
only	discourse_particle	0	315	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.004661584781452473	-0.0059124484206691	0.004661584781452473	-0.0059124484206691	0.38	0.38	0.36246763463936854	0.36246763463936854	-0.0027895671060536144	-0.0027895671060536144	1.0	1.0	0.0057511740717394	0.0057511740717394	50.0	50	26.32
only	discourse_particle	1	491	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.04345636345581033	-0.04312382757399395	-0.04345636345581033	-0.04312382757399395	0.02	0.02	0.01412241545650983	0.01412241545650983	-0.04223970453355331	-0.04223970453355331	0.0	0.0	-0.0603509396314621	-0.0603509396314621	50.0	50	25.5
only	discourse_particle	1	491	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.05632816680085426	0.05790432874818105	0.05632816680085426	0.05790432874818105	1.0	1.0	1.0	1.0	0.055321614456419935	0.055321614456419935	1.0	1.0	0.0680986809176067	0.0680986809176067	50.0	50	25.5
only	discourse_particle	2	501	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.024169601348538183	0.02349082926233325	0.024169601348538183	0.02349082926233325	0.94	0.94	0.9472211016920066	0.9472211016920066	0.023059677763696492	0.023059677763696492	1.0	1.0	0.0249443854604449	0.0249443854604449	50.0	50	25.5
only	discourse_particle	2	501	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	-0.008984027103560345	-0.0087745334420885	-0.008984027103560345	-0.0087745334420885	0.34	0.34	0.3431688476399876	0.3431688476399876	-0.009296695144704664	-0.009296695144704664	0.0	0.0	-0.0385648390141929	-0.0385648390141929	50.0	50	25.5
only	discourse_particle	3	649	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.024551195049142473	-0.01790522573129185	-0.024551195049142473	-0.01790522573129185	0.12	0.12	0.11913061064899536	0.11913061064899536	-0.024697365961760014	-0.024697365961760014	0.0	0.0	-0.0079511216708592	-0.0079511216708592	50.0	50	25.5
only	discourse_particle	3	649	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.045435276067025195	0.0478368401233785	0.045435276067025195	0.0478368401233785	1.0	1.0	1.0	1.0	0.04543986166376999	0.04543986166376999	1.0	1.0	0.0549507141113281	0.0549507141113281	50.0	50	25.5
only	discourse_particle	4	660	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.013931135286084542	-0.01348420504261455	-0.013931135286084542	-0.01348420504261455	0.26	0.26	0.26917762489862457	0.26917762489862457	-0.012689860883006629	-0.012689860883006629	0.0	0.0	-0.0263570734098845	-0.0263570734098845	50.0	50	25.5
only	discourse_particle	4	660	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.046956530372471404	0.043373142143138796	0.046956530372471404	0.043373142143138796	1.0	1.0	1.0	1.0	0.04632083992575005	0.04632083992575005	1.0	1.0	0.071806970664433	0.071806970664433	50.0	50	25.5
only	discourse_particle	5	687	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.007332540755774797	-0.0079711317700683	-0.007332540755774797	-0.0079711317700683	0.32	0.32	0.3234315469081903	0.3234315469081903	-0.00595356097861914	-0.00595356097861914	0.0	0.0	-0.0424889392322964	-0.0424889392322964	50.0	50	25.5
only	discourse_particle	5	687	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.02154622376387457	0.01905116555241455	0.02154622376387457	0.01905116555241455	0.9	0.9	0.8998373183259353	0.8998373183259353	0.01927061431979632	0.01927061431979632	1.0	1.0	0.0119813988285679	0.0119813988285679	50.0	50	27.12
only	discourse_particle	6	745	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.008647933080292025	0.00804229900129855	0.008647933080292025	0.00804229900129855	0.84	0.84	0.8368112136066618	0.8368112136066618	0.008277849844864562	0.008277849844864562	1.0	1.0	0.0126754590443201	0.0126754590443201	50.0	50	25.5
only	discourse_particle	6	745	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	-0.003665411944670571	-0.0023727693254984496	-0.003665411944670571	-0.0023727693254984496	0.3	0.3	0.3006049203448532	0.3006049203448532	-0.003445813039235246	-0.003445813039235246	0.0	0.0	-0.0020547228039435	-0.0020547228039435	50.0	50	25.5
only	discourse_particle	7	794	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.11582556681486532	0.06767662269728515	0.11582556681486532	0.06767662269728515	0.78	0.78	0.7977492410317414	0.7977492410317414	0.12326323547067623	0.12326323547067623	1.0	1.0	0.0214913140895754	0.0214913140895754	50.0	50	25.5
only	discourse_particle	7	794	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.1578487227895538	0.14856526907752535	0.1578487227895538	0.14856526907752535	0.98	0.98	0.97981662890938	0.97981662890938	0.15636469942255096	0.15636469942255096	1.0	1.0	0.1918457889556883	0.1918457889556883	50.0	50	25.5
