source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
only	discourse_particle	0	315	only	h	50	50	2	0.02040816326530612	0.8	0.8	0.8091680250552713	0.8091680250552713	0.015896323755031423	0.015896323755031423	0.01513079396001586	0.01513079396001586	1.0	1.0	0.0401969867594101	0.0401969867594101	0.38	0.38	0.36246763463936854	0.36246763463936854	0.004661584781452473	0.004661584781452473	-0.0027895671060536144	-0.0027895671060536144	1.0	1.0	0.0057511740717394	0.0057511740717394	True	True
only	discourse_particle	1	491	only	h	50	50	1	0.010101010101010102	0.02	0.02	0.01412241545650983	0.01412241545650983	-0.04345636345581033	-0.04345636345581033	-0.04223970453355331	-0.04223970453355331	0.0	0.0	-0.0603509396314621	-0.0603509396314621	1.0	1.0	1.0	1.0	0.05632816680085426	0.05632816680085426	0.055321614456419935	0.055321614456419935	1.0	1.0	0.0680986809176067	0.0680986809176067	False	False
only	discourse_particle	2	501	only	h	50	50	0	0.0	0.94	0.94	0.9472211016920066	0.9472211016920066	0.024169601348538183	0.024169601348538183	0.023059677763696492	0.023059677763696492	1.0	1.0	0.0249443854604449	0.0249443854604449	0.34	0.34	0.3431688476399876	0.3431688476399876	-0.008984027103560345	-0.008984027103560345	-0.009296695144704664	-0.009296695144704664	0.0	0.0	-0.0385648390141929	-0.0385648390141929	False	False
only	discourse_particle	3	649	only	h	50	50	0	0.0	0.12	0.12	0.11913061064899536	0.11913061064899536	-0.024551195049142473	-0.024551195049142473	-0.024697365961760014	-0.024697365961760014	0.0	0.0	-0.0079511216708592	-0.0079511216708592	1.0	1.0	1.0	1.0	0.045435276067025195	0.045435276067025195	0.04543986166376999	0.04543986166376999	1.0	1.0	0.0549507141113281	0.0549507141113281	False	False
only	discourse_particle	4	660	only	h	50	50	0	0.0	0.26	0.26	0.26917762489862457	0.26917762489862457	-0.013931135286084542	-0.013931135286084542	-0.012689860883006629	-0.012689860883006629	0.0	0.0	-0.0263570734098845	-0.0263570734098845	1.0	1.0	1.0	1.0	0.046956530372471404	0.046956530372471404	0.04632083992575005	0.04632083992575005	1.0	1.0	0.071806970664433	0.071806970664433	False	False
only	discourse_particle	5	687	only	h	50	50	3	0.030927835051546393	0.32	0.32	0.3234315469081903	0.3234315469081903	-0.007332540755774797	-0.007332540755774797	-0.00595356097861914	-0.00595356097861914	0.0	0.0	-0.0424889392322964	-0.0424889392322964	0.9	0.9	0.8998373183259353	0.8998373183259353	0.02154622376387457	0.02154622376387457	0.01927061431979632	0.01927061431979632	1.0	1.0	0.0119813988285679	0.0119813988285679	False	False
only	discourse_particle	6	745	only	h	50	50	0	0.0	0.84	0.84	0.8368112136066618	0.8368112136066618	0.008647933080292025	0.008647933080292025	0.008277849844864562	0.008277849844864562	1.0	1.0	0.0126754590443201	0.0126754590443201	0.3	0.3	0.3006049203448532	0.3006049203448532	-0.003665411944670571	-0.003665411944670571	-0.003445813039235246	-0.003445813039235246	0.0	0.0	-0.0020547228039435	-0.0020547228039435	False	False
only	discourse_particle	7	794	only	h	50	50	0	0.0	0.78	0.78	0.7977492410317414	0.7977492410317414	0.11582556681486532	0.11582556681486532	0.12326323547067623	0.12326323547067623	1.0	1.0	0.0214913140895754	0.0214913140895754	0.98	0.98	0.97981662890938	0.97981662890938	0.1578487227895538	0.1578487227895538	0.15636469942255096	0.15636469942255096	1.0	1.0	0.1918457889556883	0.1918457889556883	True	True
only	discourse_particle	8	965	only	h	50	50	2	0.02040816326530612	0.1	0.1	0.11797493372805948	0.11797493372805948	-0.027924589453186842	-0.027924589453186842	-0.023414049837902372	-0.023414049837902372	0.0	0.0	-0.0337888235631196	-0.0337888235631196	0.96	0.96	0.9670976675165375	0.9670976675165375	0.0469188740523264	0.0469188740523264	0.04439484719198947	0.04439484719198947	1.0	1.0	0.0411150888963178	0.0411150888963178	False	False
only	discourse_particle	9	966	only	h	50	50	3	0.030927835051546393	0.0	0.0	0.0	0.0	-0.0224381106940302	-0.0224381106940302	-0.02230912556329432	-0.02230912556329432	0.0	0.0	-0.0233389139175415	-0.0233389139175415	0.98	0.98	0.9799931717523964	0.9799931717523964	0.025294381371315917	0.025294381371315917	0.024989597858369066	0.024989597858369066	1.0	1.0	0.0291322373055124	0.0291322373055124	False	False
only	discourse_particle	10	1038	only	h	50	50	0	0.0	1.0	1.0	1.0	1.0	0.24627249153428607	0.24627249153428607	0.2497442007522155	0.2497442007522155	1.0	1.0	0.2457788467407226	0.2457788467407226	0.84	0.84	0.8151728540141808	0.8151728540141808	0.08727640665522295	0.08727640665522295	0.08882236362995459	0.08882236362995459	1.0	1.0	0.1109072300103994	0.1109072300103994	True	True
