source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
just	discourse_particle	0	1157	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.011882922186660753	-0.009341590547086349	-0.011882922186660753	-0.009341590547086349	0.34	0.34	0.34394580682976345	0.34394580682976345	-0.011629690483471117	-0.011629690483471117	1.0	1.0	0.003954951763153	0.003954951763153	50.0	50	25.5
just	discourse_particle	0	1157	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.033221435645613084	0.03249883945241115	0.033221435645613084	0.03249883945241115	0.92	0.92	0.9194526961442779	0.9194526961442779	0.033111511308745435	0.033111511308745435	0.0	0.0	-0.0127424311637878	-0.0127424311637878	50.0	50	25.5
just	discourse_particle	1	5467	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.05134054664553894	0.048698744877721245	0.05134054664553894	0.048698744877721245	0.9	0.9	0.9094376497169419	0.9094376497169419	0.05218465532436535	0.05218465532436535	1.0	1.0	0.0912129316065046	0.0912129316065046	50.0	50	25.5
just	discourse_particle	1	5467	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.019233084986264457	0.01662859481114605	0.019233084986264457	0.01662859481114605	0.7	0.7	0.683039248334846	0.683039248334846	0.01817990112887846	0.01817990112887846	1.0	1.0	0.0111998245120048	0.0111998245120048	50.0	50	25.5
just	discourse_particle	2	2485	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.02207398627212894	0.0111276071417976	0.02207398627212894	0.0111276071417976	0.74	0.74	0.7531950432422003	0.7531950432422003	0.022929385137413574	0.022929385137413574	0.0	0.0	-0.0042736807534861	-0.0042736807534861	50.0	50	25.5
just	discourse_particle	2	2485	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.02363771772644019	0.0175709385010931	0.02363771772644019	0.0175709385010931	0.86	0.86	0.8525339923256829	0.8525339923256829	0.022396504346128707	0.022396504346128707	1.0	1.0	0.0308389553317317	0.0308389553317317	50.0	50	25.5
just	discourse_particle	3	2798	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.1822837544922181	0.1844966988322967	0.1822837544922181	0.1844966988322967	1.0	1.0	1.0	1.0	0.18186535734513468	0.18186535734513468	1.0	1.0	0.2332249566128379	0.2332249566128379	50.0	50	26.84
just	discourse_particle	3	2798	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.20271050502850227	0.21314995193399033	0.20271050502850227	0.21314995193399033	0.9	0.9	0.9266057408658682	0.9266057408658682	0.20274341594043055	0.20274341594043055	1.0	1.0	0.005297409163581	0.005297409163581	50.0	50	35.68
just	discourse_particle	4	1627	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.005183794363778819	0.0057317758174168995	0.005183794363778819	0.0057317758174168995	0.64	0.64	0.6563287243397674	0.6563287243397674	0.005718515030928561	0.005718515030928561	0.0	0.0	-0.0010471479459241	-0.0010471479459241	50.0	50	25.5
just	discourse_particle	4	1627	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.003610693211586479	0.00460601537713895	0.003610693211586479	0.00460601537713895	0.66	0.66	0.6511526810565951	0.6511526810565951	0.0036821458159746086	0.0036821458159746086	1.0	1.0	0.0030794558317764	0.0030794558317764	50.0	50	25.5
just	discourse_particle	5	4508	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.08416523963580959	0.07491040828997494	0.08416523963580959	0.07491040828997494	0.96	0.96	0.9586520833728182	0.9586520833728182	0.08269141865854067	0.08269141865854067	1.0	1.0	0.0403183698654174	0.0403183698654174	50.0	50	25.5
just	discourse_particle	5	4508	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.024690594465349266	0.017679656278275148	0.024690594465349266	0.017679656278275148	0.7	0.7	0.7398564010436697	0.7398564010436697	0.02967939697708728	0.02967939697708728	1.0	1.0	0.0200445832628191	0.0200445832628191	50.0	50	25.5
just	discourse_particle	6	638	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.008382726108338063	0.01463117919586315	0.008382726108338063	0.01463117919586315	0.68	0.68	0.6993685980203874	0.6993685980203874	0.010074906203098097	0.010074906203098097	1.0	1.0	0.004330931038692	0.004330931038692	50.0	50	54.3
just	discourse_particle	6	638	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.013033925174121814	0.015519469758093051	0.013033925174121814	0.015519469758093051	0.74	0.74	0.7513921323628937	0.7513921323628937	0.013100003002825423	0.013100003002825423	0.0	0.0	-0.0146069228649139	-0.0146069228649139	50.0	50	38.38
just	discourse_particle	7	8659	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0315330504223082	0.01060081481933585	0.0315330504223082	0.01060081481933585	0.82	0.82	0.8353748369002613	0.8353748369002613	0.03225276770551101	0.03225276770551101	1.0	1.0	0.0064307096842173	0.0064307096842173	50.0	50	25.5
just	discourse_particle	7	8659	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.016150920245062803	0.004672894919076499	0.016150920245062803	0.004672894919076499	0.66	0.66	0.6795148596576094	0.6795148596576094	0.017096184624164335	0.017096184624164335	1.0	1.0	0.0567394811279919	0.0567394811279919	50.0	50	25.5
just	discourse_particle	8	6078	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0050636545328897695	0.0027793103634421003	0.0050636545328897695	0.0027793103634421003	0.58	0.58	0.5698310030652494	0.5698310030652494	0.004530721728592736	0.004530721728592736	1.0	1.0	0.0146047105527903	0.0146047105527903	50.0	50	25.5
just	discourse_particle	8	6078	just	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.014947682367680801	0.0120785305938811	0.014947682367680801	0.0120785305938811	0.78	0.78	0.7801628521702754	0.7801628521702754	0.014307899298985039	0.014307899298985039	1.0	1.0	0.0049201587461075	0.0049201587461075	50.0	50	25.5
just	discourse_particle	9	9954	just	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0006763821993678622	0.00086375744569865	0.0006763821993678622	0.00086375744569865	0.58	0.58	0.5919046108046054	0.5919046108046054	0.0007981900420969949	0.0007981900420969949	0.0	0.0	-0.0095315972963968	-0.0095315972963968	50.0	50	25.5
