source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	own_context_win_rate	weighted_own_context_win_rate	weighted_own_context_log_prob_advantage	top1_own_context_win_rate	top1_mean_own_context_log_prob_advantage	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
not	meaning_control	0	5	not	h	P	50	1	50.0	12.404100353717803	12.906511187553406	0.2323210109927554	1.0	1.0	2.5273109843051205	1.0	17.40329897403717	50.0	50	25.5
not	meaning_control	0	5	not	h	P_prime	50	1	50.0	11.553342173099518	10.057553112506866	0.1946263299182049	1.0	1.0	5.97032464768366	1.0	16.27057182788849	50.0	50	25.5
not	meaning_control	1	7	not	h	P	50	1	50.0	3.8350656843185424	4.065852761268616	0.10327412676936047	0.9	0.8944602636930017	0.8340606567855019	1.0	0.1645493507385254	50.0	50	25.5
not	meaning_control	1	7	not	h	P_prime	50	1	50.0	4.14273909330368	3.8009541630744934	0.11383168180965139	0.92	0.9980255957374058	1.8608071924623502	1.0	3.392394781112671	50.0	50	25.5
not	meaning_control	2	15	not	h	P	50	1	50.0	16.674707498550415	15.409013390541077	0.3836484876947933	1.0	1.0	13.423659454343639	1.0	13.438352346420288	50.0	50	26.8
not	meaning_control	2	15	not	h	P_prime	50	1	50.0	32.18600414276123	32.0457723736763	0.6667504424882427	1.0	1.0	14.385071944461501	1.0	28.63020098209381	50.0	50	25.5
not	meaning_control	3	71	not	h	P	50	1	50.0	6.388476645946502	6.20842319726944	0.15045055885906844	0.98	0.9599704570990537	3.5364706046327727	1.0	5.264093637466431	50.0	50	25.5
not	meaning_control	3	71	not	h	P_prime	50	1	50.0	7.612546513080597	7.558938086032867	0.18640460193235142	0.92	0.9997035284773604	7.34703014806056	1.0	9.36991024017334	50.0	50	25.5
not	meaning_control	4	81	not	h	P	50	1	50.0	18.936139690876008	19.919627368450165	0.5037772853531276	1.0	1.0	17.863537718135294	1.0	19.976884841918945	50.0	50	32.38
not	meaning_control	4	81	not	h	P_prime	50	1	50.0	34.39374361753464	33.01064145565033	0.9068395091652465	1.0	1.0	31.932108975136654	1.0	31.83718776702881	50.0	50	25.5
not	meaning_control	5	226	not	h	P	50	1	50.0	7.829644539356232	6.7975462675094604	0.15803909042131897	1.0	1.0	5.299387199676586	1.0	5.399228572845459	50.0	50	25.5
not	meaning_control	5	226	not	h	P_prime	50	1	50.0	13.69319009065628	13.70364373922348	0.2283699253879635	0.98	1.0	11.978610445791203	1.0	18.2369624376297	50.0	50	25.5
not	meaning_control	6	244	not	h	P	50	1	50.0	26.139069635868072	24.69483119249344	0.45247165978089116	1.0	1.0	12.782419415892537	1.0	28.50608265399933	50.0	50	25.5
not	meaning_control	6	244	not	h	P_prime	50	1	50.0	28.715223925113676	27.690303444862366	0.5912930967830267	1.0	1.0	29.383202251152863	1.0	41.98090934753418	50.0	50	25.5
not	meaning_control	7	272	not	h	P	50	1	50.0	6.308699100017548	6.124380588531494	0.11003392109021619	1.0	1.0	3.4717496943188086	1.0	1.821844696998596	50.0	50	25.5
not	meaning_control	7	272	not	h	P_prime	50	1	50.0	8.77756174325943	9.229541003704071	0.14333855622634578	0.98	0.99996547005746	2.18764996564853	1.0	10.03742265701294	50.0	50	25.5
not	meaning_control	8	302	not	h	P	50	1	50.0	2.347203481197357	2.271743655204773	0.06991046205666623	0.94	0.9960103350254479	1.8904529758135873	1.0	1.716965913772583	50.0	50	25.5
not	meaning_control	8	302	not	h	P_prime	50	1	50.0	1.3490161275863648	0.8386052846908569	0.03981941427784332	0.76	0.17692074266687163	-0.6345181453725817	1.0	0.2088410854339599	50.0	50	25.5
not	meaning_control	9	309	not	h	P	50	1	50.0	6.3947538566589355	6.003568649291992	0.15664847651740893	0.98	0.9999983812715825	3.8597666819563234	1.0	1.2665917873382568	50.0	50	25.5
not	meaning_control	9	309	not	h	P_prime	50	1	50.0	20.19229645013809	21.78237283229828	0.3858092993582672	0.98	0.9995758833129845	9.691627401735127	1.0	29.53445219993592	50.0	50	25.5
not	meaning_control	10	319	not	h	P	50	1	50.0	33.70042724370956	33.57368302345276	0.8602115937849827	1.0	1.0	34.45319731463866	1.0	41.95404934883118	50.0	50	25.5
not	meaning_control	10	319	not	h	P_prime	50	1	50.0	28.193025364875794	28.113586604595184	0.658113238336272	1.0	1.0	27.40977542247575	1.0	20.383028507232662	50.0	50	25.5
not	meaning_control	11	367	not	h	P	50	1	50.0	3.562812509536743	2.847797214984894	0.09616528216242828	0.86	0.9999785940437704	6.690821954611345	1.0	10.706648468971252	50.0	50	25.72
not	meaning_control	11	367	not	h	P_prime	50	1	50.0	4.439193015098572	3.9186371564865112	0.12602893197236645	0.88	0.7022262537360421	1.132731746586091	1.0	3.830251455307007	50.0	50	25.5
not	meaning_control	12	379	not	h	P	50	1	50.0	19.392340080738066	19.24452739953995	0.43186780731363733	1.0	1.0	10.656858069358956	1.0	8.167556643486023	50.0	50	25.5
not	meaning_control	12	379	not	h	P_prime	50	1	50.0	30.189951956272125	30.978917419910434	0.535146144759956	1.0	1.0	24.32535619735847	1.0	30.30331289768219	50.0	50	25.5
not	meaning_control	13	383	not	h	P	50	1	50.0	5.326754937171936	5.204953253269196	0.12422040216168914	0.94	0.9999999830499163	4.319379585553958	1.0	5.980747580528259	50.0	50	25.5
not	meaning_control	13	383	not	h	P_prime	50	1	50.0	9.473442585468293	8.893683016300201	0.20666711850819144	0.96	0.878862832294057	1.1085149453931578	1.0	14.063393473625185	50.0	50	25.5
not	meaning_control	14	460	not	h	P	50	1	50.0	14.270373873710632	13.634211480617523	0.3081675068946616	1.0	1.0	12.288741061829757	1.0	16.123642921447754	50.0	50	25.5
not	meaning_control	14	460	not	h	P_prime	50	1	50.0	27.94850155591965	27.278363525867462	0.5937140212127601	1.0	1.0	20.91347527521843	1.0	28.29018104076385	50.0	50	25.5
not	meaning_control	15	686	not	h	P	50	1	50.0	12.53281210899353	12.991831183433533	0.22543980621735393	0.92	0.4997225341560324	4.634476550795167	1.0	19.47379434108734	50.0	50	25.5
not	meaning_control	15	686	not	h	P_prime	50	1	50.0	9.327617254257202	9.147704064846039	0.17574021189323352	1.0	1.0	5.440190190287527	1.0	1.036158323287964	50.0	50	25.5
not	meaning_control	16	698	not	h	P	50	1	50.0	12.103203144073486	7.653433918952942	0.2123372503945718	1.0	1.0	5.130170027862656	1.0	6.978659391403198	50.0	50	25.5
not	meaning_control	16	698	not	h	P_prime	50	1	50.0	19.68372394323349	20.920173406600952	0.3720129668875983	0.96	0.9999833973003683	24.748012195405554	1.0	39.14640522003174	50.0	50	25.5
not	meaning_control	17	702	not	h	P	50	1	50.0	0.8103779196739197	0.7833683490753174	0.017464352772341075	0.72	0.009266231771567532	-0.42006934350259506	1.0	1.834134101867676	50.0	50	25.5
not	meaning_control	17	702	not	h	P_prime	50	1	50.0	0.4857023024559021	0.33083379268646235	0.009935322778062729	0.64	0.99997818108463	1.5878466201428987	1.0	1.3195013999938965	50.0	50	25.5
not	meaning_control	18	729	not	h	P	50	1	50.0	29.47994796037674	26.22480529546738	0.6523203881489392	1.0	1.0	16.200293392835547	1.0	22.99224483966828	50.0	50	25.5
not	meaning_control	18	729	not	h	P_prime	50	1	50.0	32.48120265245438	33.383738577365875	0.804703739455357	1.0	1.0	35.12138735059434	1.0	37.62235617637634	50.0	50	25.5
not	meaning_control	19	768	not	h	P	50	1	50.0	14.117048983573914	13.304540574550629	0.45091514823057083	1.0	1.0	10.074987882273994	1.0	13.30853796005249	50.0	50	25.5
not	meaning_control	19	768	not	h	P_prime	50	1	50.0	19.641951463222505	20.699200868606567	0.4434412011886339	1.0	1.0	12.401514821400209	1.0	19.87255954742432	50.0	50	25.5
not	meaning_control	20	865	not	h	P	50	1	50.0	12.340232636928558	12.797957181930542	0.20056123893796748	1.0	1.0	4.411406582061949	1.0	21.70410478115081	50.0	50	25.5
not	meaning_control	20	865	not	h	P_prime	50	1	50.0	14.458687443733215	15.673377096652985	0.21202770134209425	0.98	0.9999913225748358	2.0656081739689194	1.0	2.72040593624115	50.0	50	25.5
not	meaning_control	21	949	not	h	P	50	1	50.0	21.25708760499954	21.314899027347565	0.5786619848608621	1.0	1.0	8.571861560674492	1.0	20.80655670166016	50.0	50	25.5
not	meaning_control	21	949	not	h	P_prime	50	1	50.0	32.97073662519455	35.408269822597504	0.7226836691246784	1.0	1.0	29.62812542590155	1.0	30.4861524105072	50.0	50	25.5
not	meaning_control	22	969	not	h	P	50	1	50.0	2.323568706512451	2.187252104282379	0.06140482588540507	0.94	0.9999781579239221	1.9940341580314662	1.0	2.361411571502685	50.0	50	25.5
not	meaning_control	22	969	not	h	P_prime	50	1	50.0	2.8072087717056275	2.8933950662612915	0.06508782697584009	0.84	0.28081384926180497	0.2034292252282056	1.0	2.9631643295288086	50.0	50	25.5
