source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	own_context_win_rate	weighted_own_context_win_rate	weighted_own_context_log_prob_advantage	top1_own_context_win_rate	top1_mean_own_context_log_prob_advantage	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
just	discourse_particle	0	1157	just	h	P	1	1	1.0	-2.349400043487549	-2.349400043487549	-0.1957833369572954	0.0	0.0	-2.349400043487549	0.0	-2.349400043487549	1.0	1	1.0
just	discourse_particle	0	1157	just	h	P_prime	1	1	1.0	2.349400043487549	2.349400043487549	0.1957833369572954	1.0	1.0	2.349400043487549	1.0	2.349400043487549	1.0	1	1.0
just	discourse_particle	1	5467	just	h	P	2	1	2.0	1.471055507659912	1.471055507659912	0.09204274345011931	1.0	1.0	1.5139308192144045	1.0	1.2315789461135864	2.0	2	1.5
just	discourse_particle	1	5467	just	h	P_prime	2	1	2.0	-1.471055507659912	-1.471055507659912	-0.09204274345011931	0.0	0.0	-1.457064878233335	0.0	-1.7105320692062378	2.0	2	1.5
just	discourse_particle	2	2485	just	h	P	1	1	1.0	-0.7617514133453369	-0.7617514133453369	-0.0634792844454446	0.0	0.0	-0.7617514133453369	0.0	-0.7617514133453369	1.0	1	1.0
just	discourse_particle	2	2485	just	h	P_prime	1	1	1.0	0.7617514133453369	0.7617514133453369	0.0634792844454446	1.0	1.0	0.7617514133453369	1.0	0.7617514133453369	1.0	1	1.0
just	discourse_particle	3	2798	just	h	P	1	1	1.0	-3.023873805999756	-3.023873805999756	-0.251989483833313	0.0	0.0	-3.023873805999756	0.0	-3.023873805999756	1.0	1	1.0
just	discourse_particle	3	2798	just	h	P_prime	1	1	1.0	3.023873805999756	3.023873805999756	0.251989483833313	1.0	1.0	3.023873805999756	1.0	3.023873805999756	1.0	1	1.0
just	discourse_particle	4	1627	just	h	P	1	1	1.0	0.0006693601608276	0.0006693601608276	5.578001340245109e-05	1.0	1.0	0.0006693601608276	1.0	0.0006693601608276	1.0	1	1.0
just	discourse_particle	4	1627	just	h	P_prime	1	1	1.0	-0.0006693601608276	-0.0006693601608276	-5.578001340245109e-05	0.0	0.0	-0.0006693601608276	0.0	-0.0006693601608276	1.0	1	1.0
just	discourse_particle	5	4508	just	h	P	1	1	1.0	0.449374794960022	0.449374794960022	0.0374478995800018	1.0	1.0	0.449374794960022	1.0	0.449374794960022	1.0	1	1.0
just	discourse_particle	5	4508	just	h	P_prime	1	1	1.0	-0.449374794960022	-0.449374794960022	-0.0374478995800018	0.0	0.0	-0.449374794960022	0.0	-0.449374794960022	1.0	1	1.0
just	discourse_particle	6	638	just	h	P	1	1	1.0	-0.4560862779617309	-0.4560862779617309	-0.0380071898301443	0.0	0.0	-0.4560862779617309	0.0	-0.4560862779617309	1.0	1	1.0
just	discourse_particle	6	638	just	h	P_prime	1	1	1.0	0.4560862779617309	0.4560862779617309	0.0380071898301443	1.0	1.0	0.4560862779617309	1.0	0.4560862779617309	1.0	1	1.0
just	discourse_particle	7	8659	just	h	P	1	1	1.0	0.3193566799163818	0.3193566799163818	0.0266130566596984	1.0	1.0	0.3193566799163818	1.0	0.3193566799163818	1.0	1	1.0
just	discourse_particle	7	8659	just	h	P_prime	1	1	1.0	-0.3193566799163818	-0.3193566799163818	-0.0266130566596984	0.0	0.0	-0.3193566799163818	0.0	-0.3193566799163818	1.0	1	1.0
just	discourse_particle	8	6078	just	h	P	2	1	2.0	-1.1345731019973755	-1.1345731019973755	-0.07975429864156805	0.0	0.0	-0.8302631939354459	0.0	-1.4407124519348145	2.0	2	2.0
just	discourse_particle	8	6078	just	h	P_prime	2	1	2.0	1.1345731019973755	1.1345731019973755	0.07975429864156805	1.0	1.0	0.8317999002609552	1.0	1.4407124519348145	2.0	2	4.0
just	discourse_particle	9	9954	just	h	P	1	1	1.0	0.469428539276123	0.469428539276123	0.0391190449396772	1.0	1.0	0.469428539276123	1.0	0.469428539276123	1.0	1	1.0
just	discourse_particle	9	9954	just	h	P_prime	1	1	1.0	-0.469428539276123	-0.469428539276123	-0.0391190449396772	0.0	0.0	-0.469428539276123	0.0	-0.469428539276123	1.0	1	1.0
just	discourse_particle	10	5138	just	h	P	1	1	1.0	-0.7478795051574707	-0.7478795051574707	-0.0623232920964555	0.0	0.0	-0.7478795051574707	0.0	-0.7478795051574707	1.0	1	1.0
just	discourse_particle	10	5138	just	h	P_prime	1	1	1.0	0.7478795051574707	0.7478795051574707	0.0623232920964555	1.0	1.0	0.7478795051574707	1.0	0.7478795051574707	1.0	1	1.0
just	discourse_particle	11	498	just	h	P	1	1	1.0	1.1946231126785278	1.1946231126785278	0.0995519260565442	1.0	1.0	1.1946231126785278	1.0	1.1946231126785278	1.0	1	1.0
just	discourse_particle	11	498	just	h	P_prime	1	1	1.0	-1.1946231126785278	-1.1946231126785278	-0.0995519260565442	0.0	0.0	-1.1946231126785278	0.0	-1.1946231126785278	1.0	1	1.0
just	discourse_particle	12	7769	just	h	P	2	1	2.0	-0.20780611038208005	-0.20780611038208005	-0.0107733245406832	0.0	0.0	-0.27357463030675955	0.0	-0.0491565465927124	2.0	2	2.5
just	discourse_particle	12	7769	just	h	P_prime	2	1	2.0	0.20780611038208005	0.20780611038208005	0.0107733245406832	1.0	1.0	0.29298001607744917	1.0	0.0491565465927124	2.0	2	2.0
just	discourse_particle	13	12718	just	h	P	1	1	1.0	-1.0756399631500244	-1.0756399631500244	-0.0896366635958356	0.0	0.0	-1.0756399631500244	0.0	-1.0756399631500244	1.0	1	1.0
just	discourse_particle	13	12718	just	h	P_prime	1	1	1.0	1.0756399631500244	1.0756399631500244	0.0896366635958356	1.0	1.0	1.0756399631500244	1.0	1.0756399631500244	1.0	1	1.0
just	discourse_particle	14	8242	just	h	P	1	1	1.0	-0.0117242336273193	-0.0117242336273193	-0.0009770194689435	0.0	0.0	-0.0117242336273193	0.0	-0.0117242336273193	1.0	1	1.0
just	discourse_particle	14	8242	just	h	P_prime	1	1	1.0	0.0117242336273193	0.0117242336273193	0.0009770194689435	1.0	1.0	0.0117242336273193	1.0	0.0117242336273193	1.0	1	1.0
