source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
just	discourse_particle	0	1157	just	h	1	1	1	1.0	0.0	0.0	0.0	0.0	-0.1957833369572954	-0.1957833369572954	-0.1957833369572954	-0.1957833369572954	0.0	0.0	-0.1957833369572954	-0.1957833369572954	1.0	1.0	1.0	1.0	0.1957833369572954	0.1957833369572954	0.1957833369572954	0.1957833369572954	1.0	1.0	0.1957833369572954	0.1957833369572954	False	False
just	discourse_particle	1	5467	just	h	2	2	2	1.0	1.0	1.0	1.0	1.0	0.09204274345011931	0.09204274345011931	0.08584251544012271	0.08584251544012271	1.0	1.0	0.1026315788427987	0.1026315788427987	0.0	0.0	0.0	0.0	-0.09204274345011931	-0.09204274345011931	-0.08576929157387525	-0.08576929157387525	0.0	0.0	-0.0814539080574399	-0.0814539080574399	False	False
just	discourse_particle	2	2485	just	h	1	1	1	1.0	0.0	0.0	0.0	0.0	-0.0634792844454446	-0.0634792844454446	-0.0634792844454446	-0.0634792844454446	0.0	0.0	-0.0634792844454446	-0.0634792844454446	1.0	1.0	1.0	1.0	0.0634792844454446	0.0634792844454446	0.0634792844454446	0.0634792844454446	1.0	1.0	0.0634792844454446	0.0634792844454446	False	False
just	discourse_particle	3	2798	just	h	1	1	1	1.0	0.0	0.0	0.0	0.0	-0.251989483833313	-0.251989483833313	-0.251989483833313	-0.251989483833313	0.0	0.0	-0.251989483833313	-0.251989483833313	1.0	1.0	1.0	1.0	0.251989483833313	0.251989483833313	0.251989483833313	0.251989483833313	1.0	1.0	0.251989483833313	0.251989483833313	False	False
just	discourse_particle	4	1627	just	h	1	1	1	1.0	1.0	1.0	1.0	1.0	5.578001340245109e-05	5.578001340245109e-05	5.578001340245109e-05	5.578001340245109e-05	1.0	1.0	5.578001340245109e-05	5.578001340245109e-05	0.0	0.0	0.0	0.0	-5.578001340245109e-05	-5.578001340245109e-05	-5.578001340245109e-05	-5.578001340245109e-05	0.0	0.0	-5.578001340245109e-05	-5.578001340245109e-05	False	False
just	discourse_particle	5	4508	just	h	1	1	1	1.0	1.0	1.0	1.0	1.0	0.0374478995800018	0.0374478995800018	0.0374478995800018	0.0374478995800018	1.0	1.0	0.0374478995800018	0.0374478995800018	0.0	0.0	0.0	0.0	-0.0374478995800018	-0.0374478995800018	-0.0374478995800018	-0.0374478995800018	0.0	0.0	-0.0374478995800018	-0.0374478995800018	False	False
just	discourse_particle	6	638	just	h	1	1	1	1.0	0.0	0.0	0.0	0.0	-0.0380071898301443	-0.0380071898301443	-0.0380071898301443	-0.0380071898301443	0.0	0.0	-0.0380071898301443	-0.0380071898301443	1.0	1.0	1.0	1.0	0.0380071898301443	0.0380071898301443	0.0380071898301443	0.0380071898301443	1.0	1.0	0.0380071898301443	0.0380071898301443	False	False
just	discourse_particle	7	8659	just	h	1	1	1	1.0	1.0	1.0	1.0	1.0	0.0266130566596984	0.0266130566596984	0.0266130566596984	0.0266130566596984	1.0	1.0	0.0266130566596984	0.0266130566596984	0.0	0.0	0.0	0.0	-0.0266130566596984	-0.0266130566596984	-0.0266130566596984	-0.0266130566596984	0.0	0.0	-0.0266130566596984	-0.0266130566596984	False	False
just	discourse_particle	8	6078	just	h	2	2	2	1.0	0.0	0.0	0.0	0.0	-0.07975429864156805	-0.07975429864156805	-0.05279723535058262	-0.05279723535058262	0.0	0.0	-0.1200593709945678	-0.1200593709945678	1.0	1.0	1.0	1.0	0.07975429864156805	0.07975429864156805	0.053719410784656405	0.053719410784656405	1.0	1.0	0.1200593709945678	0.1200593709945678	False	False
just	discourse_particle	9	9954	just	h	1	1	1	1.0	1.0	1.0	1.0	1.0	0.0391190449396772	0.0391190449396772	0.0391190449396772	0.0391190449396772	1.0	1.0	0.0391190449396772	0.0391190449396772	0.0	0.0	0.0	0.0	-0.0391190449396772	-0.0391190449396772	-0.0391190449396772	-0.0391190449396772	0.0	0.0	-0.0391190449396772	-0.0391190449396772	False	False
