source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
only	discourse_particle	0	315	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.04017116083437894	0.03005907876150935	0.04017116083437894	0.03005907876150935	0.58	0.58	0.5901303363986259	0.5901303363986259	0.04618464949344923	0.04618464949344923	0.0	0.0	-0.0825106302897136	-0.0825106302897136	50.0	50	25.5
only	discourse_particle	0	315	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.07550342340807253	0.06819599126678655	0.07550342340807253	0.06819599126678655	0.86	0.86	0.8602031856874096	0.8602031856874096	0.07337628749572785	0.07337628749572785	1.0	1.0	0.074686050415039	0.074686050415039	50.0	50	26.2
only	discourse_particle	1	491	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.005576545122480272	0.006465738469904	0.005576545122480272	0.006465738469904	0.56	0.56	0.53141655067023	0.53141655067023	0.003646570492864971	0.003646570492864971	1.0	1.0	0.0341796875	0.0341796875	50.0	50	26.84
only	discourse_particle	1	491	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.01093904904515176	0.0109269747170069	0.01093904904515176	0.0109269747170069	0.66	0.66	0.6361558732501269	0.6361558732501269	0.01688840491761342	0.01688840491761342	1.0	1.0	0.0035469055175783	0.0035469055175783	50.0	50	26.14
only	discourse_particle	2	501	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.005137754233866012	0.0029522836493533497	0.005137754233866012	0.0029522836493533497	0.56	0.56	0.48281393534037426	0.48281393534037426	0.002210728477057934	0.002210728477057934	1.0	1.0	0.0264043807983398	0.0264043807983398	50.0	50	25.7
only	discourse_particle	2	501	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.005487046336119668	0.0029211340483671	0.005487046336119668	0.0029211340483671	0.56	0.56	0.5694930902749585	0.5694930902749585	0.00604498600554363	0.00604498600554363	1.0	1.0	0.0030724661690848	0.0030724661690848	50.0	50	25.5
only	discourse_particle	3	649	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.017791270054690073	0.01289778947830195	0.017791270054690073	0.01289778947830195	0.7	0.7	0.7248206464701966	0.7248206464701966	0.023149773551035577	0.023149773551035577	1.0	1.0	0.035435711895978	0.035435711895978	50.0	50	25.5
only	discourse_particle	3	649	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.012862823314594452	-0.0002612007988823	0.012862823314594452	-0.0002612007988823	0.48	0.48	0.46840561471518477	0.46840561471518477	0.012418279163503382	0.012418279163503382	0.0	0.0	-0.030031681060791	-0.030031681060791	50.0	50	25.5
only	discourse_particle	4	660	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	-0.00875941176171738	-0.00764756543295725	-0.00875941176171738	-0.00764756543295725	0.4	0.4	0.4079694982574494	0.4079694982574494	-0.006625565354104366	-0.006625565354104366	0.0	0.0	-0.0147913882606907	-0.0147913882606907	50.0	50	25.5
only	discourse_particle	4	660	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.0049225942644201435	0.0079206050127401	0.0049225942644201435	0.0079206050127401	0.64	0.64	0.6131151132497697	0.6131151132497697	0.003198074186322198	0.003198074186322198	0.0	0.0	-0.0102206959443933	-0.0102206959443933	50.0	50	25.5
only	discourse_particle	5	687	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.008272547723838772	0.006062620015256551	0.008272547723838772	0.006062620015256551	0.66	0.66	0.6407863336862843	0.6407863336862843	0.006837257815442361	0.006837257815442361	1.0	1.0	0.0960937499999996	0.0960937499999996	50.0	50	25.5
only	discourse_particle	5	687	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.004192940525559246	0.00451354185740155	0.004192940525559246	0.00451354185740155	0.54	0.54	0.7005089612280146	0.7005089612280146	0.005726365174373195	0.005726365174373195	1.0	1.0	0.0193570454915363	0.0193570454915363	50.0	50	25.94
only	discourse_particle	6	745	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.003894188104685883	0.005400983114091099	0.003894188104685883	0.005400983114091099	0.64	0.64	0.6896814602360951	0.6896814602360951	0.007076390252909132	0.007076390252909132	1.0	1.0	0.0145270824432373	0.0145270824432373	50.0	50	25.5
only	discourse_particle	6	745	only	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.0012069569385061121	0.0036719230690387995	0.0012069569385061121	0.0036719230690387995	0.56	0.56	0.5478774587422629	0.5478774587422629	0.0012914269378283552	0.0012914269378283552	1.0	1.0	0.01448561928489	0.01448561928489	50.0	50	25.5
only	discourse_particle	7	794	only	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.021949591545972827	0.01300870455228375	0.021949591545972827	0.01300870455228375	0.56	0.56	0.5349767547503202	0.5349767547503202	0.012974063124648327	0.012974063124648327	1.0	1.0	0.0935022263299851	0.0935022263299851	50.0	50	25.5
