source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
only	discourse_particle	0	315	only	h	50	50	2	0.02040816326530612	0.58	0.58	0.5901303363986259	0.5901303363986259	0.04017116083437894	0.04017116083437894	0.04618464949344923	0.04618464949344923	0.0	0.0	-0.0825106302897136	-0.0825106302897136	0.86	0.86	0.8602031856874096	0.8602031856874096	0.07550342340807253	0.07550342340807253	0.07337628749572785	0.07337628749572785	1.0	1.0	0.074686050415039	0.074686050415039	True	False
only	discourse_particle	1	491	only	h	50	50	2	0.02040816326530612	0.56	0.56	0.53141655067023	0.53141655067023	0.005576545122480272	0.005576545122480272	0.003646570492864971	0.003646570492864971	1.0	1.0	0.0341796875	0.0341796875	0.66	0.66	0.6361558732501269	0.6361558732501269	0.01093904904515176	0.01093904904515176	0.01688840491761342	0.01688840491761342	1.0	1.0	0.0035469055175783	0.0035469055175783	True	True
only	discourse_particle	2	501	only	h	50	50	0	0.0	0.56	0.56	0.48281393534037426	0.48281393534037426	0.005137754233866012	0.005137754233866012	0.002210728477057934	0.002210728477057934	1.0	1.0	0.0264043807983398	0.0264043807983398	0.56	0.56	0.5694930902749585	0.5694930902749585	0.005487046336119668	0.005487046336119668	0.00604498600554363	0.00604498600554363	1.0	1.0	0.0030724661690848	0.0030724661690848	True	True
only	discourse_particle	3	649	only	h	50	50	0	0.0	0.7	0.7	0.7248206464701966	0.7248206464701966	0.017791270054690073	0.017791270054690073	0.023149773551035577	0.023149773551035577	1.0	1.0	0.035435711895978	0.035435711895978	0.48	0.48	0.46840561471518477	0.46840561471518477	0.012862823314594452	0.012862823314594452	0.012418279163503382	0.012418279163503382	0.0	0.0	-0.030031681060791	-0.030031681060791	True	False
only	discourse_particle	4	660	only	h	50	50	0	0.0	0.4	0.4	0.4079694982574494	0.4079694982574494	-0.00875941176171738	-0.00875941176171738	-0.006625565354104366	-0.006625565354104366	0.0	0.0	-0.0147913882606907	-0.0147913882606907	0.64	0.64	0.6131151132497697	0.6131151132497697	0.0049225942644201435	0.0049225942644201435	0.003198074186322198	0.003198074186322198	0.0	0.0	-0.0102206959443933	-0.0102206959443933	False	False
only	discourse_particle	5	687	only	h	50	50	2	0.02040816326530612	0.66	0.66	0.6407863336862843	0.6407863336862843	0.008272547723838772	0.008272547723838772	0.006837257815442361	0.006837257815442361	1.0	1.0	0.0960937499999996	0.0960937499999996	0.54	0.54	0.7005089612280146	0.7005089612280146	0.004192940525559246	0.004192940525559246	0.005726365174373195	0.005726365174373195	1.0	1.0	0.0193570454915363	0.0193570454915363	True	True
only	discourse_particle	6	745	only	h	50	50	1	0.010101010101010102	0.64	0.64	0.6896814602360951	0.6896814602360951	0.003894188104685883	0.003894188104685883	0.007076390252909132	0.007076390252909132	1.0	1.0	0.0145270824432373	0.0145270824432373	0.56	0.56	0.5478774587422629	0.5478774587422629	0.0012069569385061121	0.0012069569385061121	0.0012914269378283552	0.0012914269378283552	1.0	1.0	0.01448561928489	0.01448561928489	True	True
only	discourse_particle	7	794	only	h	50	50	0	0.0	0.56	0.56	0.5349767547503202	0.5349767547503202	0.021949591545972827	0.021949591545972827	0.012974063124648327	0.012974063124648327	1.0	1.0	0.0935022263299851	0.0935022263299851	0.68	0.68	0.7423246558136859	0.7423246558136859	0.0262985420705431	0.0262985420705431	0.02621686115418898	0.02621686115418898	1.0	1.0	0.156494140625	0.156494140625	True	True
only	discourse_particle	8	965	only	h	50	50	0	0.0	0.54	0.54	0.5579985653884484	0.5579985653884484	0.005925803045860905	0.005925803045860905	-0.001796041734326617	-0.001796041734326617	1.0	1.0	0.0187174479166665	0.0187174479166665	0.54	0.54	0.6362196228733255	0.6362196228733255	0.013441325376559374	0.013441325376559374	0.014427856837718718	0.014427856837718718	1.0	1.0	0.1700550426136362	0.1700550426136362	True	True
only	discourse_particle	9	966	only	h	50	50	2	0.02040816326530612	0.64	0.64	0.826235978810149	0.826235978810149	0.010528592436979739	0.010528592436979739	0.02510674016931974	0.02510674016931974	1.0	1.0	0.044921875	0.044921875	0.56	0.56	0.4809235018691071	0.4809235018691071	0.005227768371049383	0.005227768371049383	-0.005450102081349305	-0.005450102081349305	0.0	0.0	-0.0173676589439655	-0.0173676589439655	True	False
only	discourse_particle	10	1038	only	h	50	50	3	0.030927835051546393	0.6	0.6	0.6315844062617104	0.6315844062617104	0.07903988126013418	0.07903988126013418	0.10088237425285837	0.10088237425285837	1.0	1.0	0.1050363268171037	0.1050363268171037	0.9	0.9	0.9125570089792495	0.9125570089792495	0.17651915912127902	0.17651915912127902	0.164698271335719	0.164698271335719	1.0	1.0	0.1472981770833333	0.1472981770833333	True	True
only	discourse_particle	11	1142	only	h	50	50	0	0.0	0.56	0.56	0.5535465905477054	0.5535465905477054	0.04578928710273881	0.04578928710273881	0.04623602333857784	0.04623602333857784	0.0	0.0	-0.005574544270833	-0.005574544270833	0.62	0.62	0.6460051904321643	0.6460051904321643	0.04871554281254007	0.04871554281254007	0.042490855709192546	0.042490855709192546	0.0	0.0	-0.1319754464285711	-0.1319754464285711	True	False
only	discourse_particle	12	1272	only	h	50	50	1	0.010101010101010102	0.36	0.36	0.2750857587097222	0.2750857587097222	-0.009757899698431511	-0.009757899698431511	-0.007038678687535892	-0.007038678687535892	0.0	0.0	-0.0542968750000003	-0.0542968750000003	0.58	0.58	0.57058662927516	0.57058662927516	0.00974199046039317	0.00974199046039317	0.010613182185890083	0.010613182185890083	0.0	0.0	-0.00354248046875	-0.00354248046875	False	False
only	discourse_particle	13	1368	only	h	50	50	5	0.05263157894736842	0.62	0.62	0.5790702973321427	0.5790702973321427	0.01960769993296605	0.01960769993296605	0.023676521752773023	0.023676521752773023	1.0	1.0	0.0815979003906248	0.0815979003906248	0.7	0.7	0.7809036032658263	0.7809036032658263	0.040223599427018135	0.040223599427018135	0.040878078139395806	0.040878078139395806	1.0	1.0	0.03546142578125	0.03546142578125	True	True
only	discourse_particle	14	1446	only	h	50	50	1	0.010101010101010102	0.62	0.62	0.671181061627033	0.671181061627033	0.01407785759888798	0.01407785759888798	0.024696065429924106	0.024696065429924106	1.0	1.0	0.0607622931985289	0.0607622931985289	0.58	0.58	0.6098503727001473	0.6098503727001473	0.0070063180751680455	0.0070063180751680455	0.0043282763479942764	0.0043282763479942764	1.0	1.0	0.0209115835336539	0.0209115835336539	True	True
only	discourse_particle	15	1493	only	h	50	50	1	0.010101010101010102	0.62	0.62	0.5953722995691577	0.5953722995691577	0.013560424765695845	0.013560424765695845	0.010202148610796366	0.010202148610796366	1.0	1.0	0.003579804391572	0.003579804391572	0.66	0.66	0.6742339780399852	0.6742339780399852	0.007147894141184272	0.007147894141184272	0.010455653470411011	0.010455653470411011	1.0	1.0	0.0477759951636906	0.0477759951636906	True	True
only	discourse_particle	16	1538	only	h	50	50	0	0.0	0.5	0.5	0.48869846415719675	0.48869846415719675	0.02114307352519635	0.02114307352519635	0.024494029357793053	0.024494029357793053	0.0	0.0	-0.0062641344572369	-0.0062641344572369	0.52	0.52	0.5096904254334247	0.5096904254334247	-0.004089283701052813	-0.004089283701052813	0.002107476496494628	0.002107476496494628	1.0	1.0	0.0181240505642361	0.0181240505642361	False	False
only	discourse_particle	17	1577	only	h	50	50	3	0.030927835051546393	0.46	0.46	0.3878141735721401	0.3878141735721401	0.0018400470563267799	0.0018400470563267799	-0.005462087972738378	-0.005462087972738378	1.0	1.0	0.0821140834263394	0.0821140834263394	0.5	0.5	0.411294172468145	0.411294172468145	0.007898781608788954	0.007898781608788954	0.007498363587574582	0.007498363587574582	0.0	0.0	-0.0077575785773142	-0.0077575785773142	True	False
only	discourse_particle	18	1579	only	h	50	50	0	0.0	0.66	0.66	0.7047043774577235	0.7047043774577235	0.013006162665426597	0.013006162665426597	0.018114162666212782	0.018114162666212782	0.0	0.0	-0.0075273513793945	-0.0075273513793945	0.66	0.66	0.3996290971658379	0.3996290971658379	0.03367609190821383	0.03367609190821383	0.00039590364738697207	0.00039590364738697207	0.0	0.0	-0.0231552124023437	-0.0231552124023437	True	False
only	discourse_particle	19	1602	only	h	50	50	4	0.041666666666666664	0.52	0.52	0.5013029803939786	0.5013029803939786	0.008363787668553753	0.008363787668553753	0.008662291564761783	0.008662291564761783	0.0	0.0	-0.0117993721595176	-0.0117993721595176	0.62	0.62	0.6204151577063872	0.6204151577063872	0.015290732090298347	0.015290732090298347	0.012868449556363515	0.012868449556363515	1.0	1.0	0.0153730533741138	0.0153730533741138	True	False
only	discourse_particle	20	1624	only	h	50	50	2	0.02040816326530612	0.5	0.5	0.5063148362711032	0.5063148362711032	0.00015156980135986513	0.00015156980135986513	-0.006045351560135572	-0.006045351560135572	0.0	0.0	-0.10633544921875	-0.10633544921875	0.72	0.72	0.8219814937417502	0.8219814937417502	0.052908178459897225	0.052908178459897225	0.06570339604253274	0.06570339604253274	0.0	0.0	-0.01220703125	-0.01220703125	True	False
only	discourse_particle	21	1817	only	h	50	50	1	0.010101010101010102	0.58	0.58	0.6009800819931236	0.6009800819931236	0.013606192339920503	0.013606192339920503	0.01193393882668121	0.01193393882668121	1.0	1.0	0.0486973353794644	0.0486973353794644	0.44	0.44	0.4628304660561758	0.4628304660561758	-0.016817867880799087	-0.016817867880799087	-0.007654934398479664	-0.007654934398479664	1.0	1.0	0.0183241102430555	0.0183241102430555	False	True
only	discourse_particle	22	1888	only	h	50	50	0	0.0	0.6	0.6	0.6352870580567923	0.6352870580567923	0.0019535341191527574	0.0019535341191527574	0.004935950826426432	0.004935950826426432	0.0	0.0	-0.0030465126037597	-0.0030465126037597	0.56	0.56	0.5157541437172121	0.5157541437172121	0.007372121627220326	0.007372121627220326	0.00409252285031416	0.00409252285031416	0.0	0.0	-0.0023111979166667	-0.0023111979166667	True	False
only	discourse_particle	23	1891	only	h	50	50	0	0.0	0.48	0.48	0.4637727836704052	0.4637727836704052	-0.0010159492316115398	-0.0010159492316115398	0.0005545710665479197	0.0005545710665479197	0.0	0.0	-0.028076171875	-0.028076171875	0.72	0.72	0.7052691053524097	0.7052691053524097	0.009515819943462171	0.009515819943462171	0.005702251843436497	0.005702251843436497	1.0	1.0	0.0263497488839288	0.0263497488839288	False	False
only	discourse_particle	24	2032	only	h	50	50	0	0.0	0.76	0.76	0.7436409423862016	0.7436409423862016	0.04862147968691828	0.04862147968691828	0.02753873554407202	0.02753873554407202	1.0	1.0	0.0488009982638883	0.0488009982638883	0.34	0.34	0.4209720950833438	0.4209720950833438	-0.01737409610283895	-0.01737409610283895	-0.0034957071379984276	-0.0034957071379984276	1.0	1.0	0.0523507254464288	0.0523507254464288	False	True
only	discourse_particle	25	2038	only	h	50	50	3	0.030927835051546393	0.64	0.64	0.5643759042006542	0.5643759042006542	0.009767928255736831	0.009767928255736831	0.003357419080889553	0.003357419080889553	1.0	1.0	0.0460937499999998	0.0460937499999998	0.8	0.8	0.8263374325226729	0.8263374325226729	0.07656403214785987	0.07656403214785987	0.08592359329520845	0.08592359329520845	0.0	0.0	-0.0329686119442893	-0.0329686119442893	True	False
only	discourse_particle	26	2118	only	h	50	50	0	0.0	0.54	0.54	0.5597835875643213	0.5597835875643213	-0.001676837614872106	-0.001676837614872106	0.0021643028862702966	0.0021643028862702966	0.0	0.0	-0.0143178304036459	-0.0143178304036459	0.6	0.6	0.539079109926371	0.539079109926371	0.013033081584058193	0.013033081584058193	0.008583205034487887	0.008583205034487887	0.0	0.0	-0.003073299632353	-0.003073299632353	False	False
only	discourse_particle	27	2232	only	h	50	50	0	0.0	0.62	0.62	0.5994684592231541	0.5994684592231541	0.03310630619927843	0.03310630619927843	0.027157093810824626	0.027157093810824626	1.0	1.0	0.0062103271484375	0.0062103271484375	0.74	0.74	0.7870591763296163	0.7870591763296163	0.0424007036836293	0.0424007036836293	0.050943184321872496	0.050943184321872496	1.0	1.0	0.0061700994318183	0.0061700994318183	True	True
only	discourse_particle	28	2333	only	h	50	50	0	0.0	0.8	0.8	0.8143435846369365	0.8143435846369365	0.02466018254623392	0.02466018254623392	0.02205466108594164	0.02205466108594164	1.0	1.0	0.0132069307215072	0.0132069307215072	0.54	0.54	0.5839173992050576	0.5839173992050576	0.014522854554293509	0.014522854554293509	0.021457321397350407	0.021457321397350407	0.0	0.0	-0.0405625237358941	-0.0405625237358941	True	False
only	discourse_particle	29	2405	only	h	50	50	0	0.0	0.68	0.68	0.70063972090368	0.70063972090368	0.010060213960719613	0.010060213960719613	0.008174942439468712	0.008174942439468712	1.0	1.0	0.0108820597330729	0.0108820597330729	0.64	0.64	0.652784824759794	0.652784824759794	0.028467268397930134	0.028467268397930134	0.028946818303893243	0.028946818303893243	0.0	0.0	-0.0054361979166666	-0.0054361979166666	True	False
