source_dataset	dataset_role	source_row_index	id	word	subset	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
not	meaning_control	0	5	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.038787271925255655	0.031834825445297754	0.038787271925255655	0.031834825445297754	0.72	0.72	0.7974197423236323	0.7974197423236323	0.07165115568778964	0.07165115568778964	0.0	0.0	-0.0836588541666665	-0.0836588541666665	50.0	50	25.5
not	meaning_control	0	5	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.07614220698086421	0.058237457275390495	0.07614220698086421	0.058237457275390495	0.76	0.76	0.7459548635941177	0.7459548635941177	0.06529191541256951	0.06529191541256951	1.0	1.0	0.1331359863281249	0.1331359863281249	50.0	50	25.5
not	meaning_control	1	7	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.1832402626870563	0.0424426850818451	0.1832402626870563	0.0424426850818451	0.7	0.7	0.6644629432454467	0.6644629432454467	0.09881975114944126	0.09881975114944126	1.0	1.0	0.6586565290178572	0.6586565290178572	50.0	50	25.5
not	meaning_control	1	7	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.1504228193445341	0.1085113525390626	0.1504228193445341	0.1085113525390626	0.82	0.82	0.8776685228611395	0.8776685228611395	0.20417552033176464	0.20417552033176464	1.0	1.0	0.4477132161458335	0.4477132161458335	50.0	50	25.5
not	meaning_control	2	15	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.06633407032441166	0.07813129727802565	0.06633407032441166	0.07813129727802565	0.72	0.72	0.7768687229905674	0.7768687229905674	0.07318549304512771	0.07318549304512771	0.0	0.0	-0.072154574924045	-0.072154574924045	50.0	50	26.28
not	meaning_control	2	15	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.205817555174471	0.08908159304887814	0.205817555174471	0.08908159304887814	0.72	0.72	0.64233672922241	0.64233672922241	0.10884373878132582	0.10884373878132582	1.0	1.0	0.2080078125	0.2080078125	50.0	50	25.5
not	meaning_control	3	71	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.02538613316938327	0.021816931830511747	0.02538613316938327	0.021816931830511747	0.66	0.66	0.6890208345188571	0.6890208345188571	0.04103751507606068	0.04103751507606068	1.0	1.0	0.3021647135416665	0.3021647135416665	50.0	50	25.5
not	meaning_control	3	71	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.058947095783988636	0.03345734969429335	0.058947095783988636	0.03345734969429335	0.68	0.68	0.7445301413539485	0.7445301413539485	0.06211307797490452	0.06211307797490452	1.0	1.0	0.0465540885925293	0.0465540885925293	50.0	50	25.5
not	meaning_control	4	81	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.10792646942809662	0.05623825900073105	0.10792646942809662	0.05623825900073105	0.64	0.64	0.7231931322720033	0.7231931322720033	0.15161257317951038	0.15161257317951038	0.0	0.0	-0.0277296496975809	-0.0277296496975809	50.0	50	25.5
not	meaning_control	4	81	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.11560112657512994	0.09276391814907264	0.11560112657512994	0.09276391814907264	0.88	0.88	0.8942212522582954	0.8942212522582954	0.1212894079411628	0.1212894079411628	1.0	1.0	0.1935398267663042	0.1935398267663042	50.0	50	25.82
not	meaning_control	5	226	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.05799825624984303	0.0415946073310319	0.05799825624984303	0.0415946073310319	0.68	0.68	0.6735667812242007	0.6735667812242007	0.03765030289090861	0.03765030289090861	1.0	1.0	0.0359322684151786	0.0359322684151786	50.0	50	25.5
not	meaning_control	5	226	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.17358215318660103	0.1360715615628944	0.17358215318660103	0.1360715615628944	0.9	0.9	0.9441201956458977	0.9441201956458977	0.16190793199964015	0.16190793199964015	1.0	1.0	0.0624259177674639	0.0624259177674639	50.0	50	25.5
not	meaning_control	6	244	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.02736908419367547	0.0232135625985953	0.02736908419367547	0.0232135625985953	0.64	0.64	0.6122959337480794	0.6122959337480794	0.020826433437560167	0.020826433437560167	1.0	1.0	0.0372425426136366	0.0372425426136366	50.0	50	25.6
not	meaning_control	6	244	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.01754637076008758	0.0313502407530278	0.01754637076008758	0.0313502407530278	0.62	0.62	0.6464361087069037	0.6464361087069037	0.021973692911982236	0.021973692911982236	1.0	1.0	0.0444972826086957	0.0444972826086957	50.0	50	25.66
not	meaning_control	7	272	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.015012102493940797	0.013269597833806851	0.015012102493940797	0.013269597833806851	0.62	0.62	0.6937971610689833	0.6937971610689833	0.028297824958331934	0.028297824958331934	1.0	1.0	0.0097103118896484	0.0097103118896484	50.0	50	25.5
not	meaning_control	7	272	not	h	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.02749654792735913	0.019083427660392803	0.02749654792735913	0.019083427660392803	0.7	0.7	0.6724340938245283	0.6724340938245283	0.022784654667778913	0.022784654667778913	1.0	1.0	0.1477864583333339	0.1477864583333339	50.0	50	25.94
not	meaning_control	8	302	not	h	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.05481844825500188	0.0392398297786712	0.05481844825500188	0.0392398297786712	0.72	0.72	0.7588605727636745	0.7588605727636745	0.05762583545594461	0.05762583545594461	1.0	1.0	0.0907315340909089	0.0907315340909089	50.0	50	25.5
