source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins
only	discourse_particle	0	315	only	h	50	50	0	0.0	0.7	0.7	0.7695975646991327	0.7695975646991327	0.07189998904553736	0.07189998904553736	0.0759317703132821	0.0759317703132821	1.0	1.0	0.1676702499389648	0.1676702499389648	0.72	0.72	0.7596788465136376	0.7596788465136376	0.02790566909246889	0.02790566909246889	0.03683436710771836	0.03683436710771836	1.0	1.0	0.0139070510864258	0.0139070510864258	True	True
only	discourse_particle	1	491	only	h	50	50	1	0.010101010101010102	0.66	0.66	0.6924750253807713	0.6924750253807713	0.00228071906982409	0.00228071906982409	0.0034602986766048434	0.0034602986766048434	0.0	0.0	-0.0141398111979167	-0.0141398111979167	0.64	0.64	0.6974339877807293	0.6974339877807293	0.01008783994537119	0.01008783994537119	0.010533943317698198	0.010533943317698198	1.0	1.0	0.013671875	0.013671875	True	False
only	discourse_particle	2	501	only	h	50	50	0	0.0	0.56	0.56	0.5477010132616007	0.5477010132616007	0.0032076679582378827	0.0032076679582378827	0.0023618513844559817	0.0023618513844559817	0.0	0.0	-0.0029703776041665	-0.0029703776041665	0.56	0.56	0.5531139790186687	0.5531139790186687	0.002855543404101382	0.002855543404101382	0.0017881497299205048	0.0017881497299205048	0.0	0.0	-0.0063415527343748	-0.0063415527343748	True	False
only	discourse_particle	3	649	only	h	50	50	0	0.0	0.68	0.68	0.6952562430890981	0.6952562430890981	0.015819193572418358	0.015819193572418358	0.019812260692523093	0.019812260692523093	1.0	1.0	0.0837082862854003	0.0837082862854003	0.68	0.68	0.6780477032501064	0.6780477032501064	0.01397314129796137	0.01397314129796137	0.014095485902955923	0.014095485902955923	1.0	1.0	0.0336374044418334	0.0336374044418334	True	True
only	discourse_particle	4	660	only	h	50	50	1	0.010101010101010102	0.44	0.44	0.44018267568228975	0.44018267568228975	-0.004772931144345266	-0.004772931144345266	-0.00312269260317088	-0.00312269260317088	1.0	1.0	0.107421875	0.107421875	0.72	0.72	0.6909554730017047	0.6909554730017047	0.015345680170827205	0.015345680170827205	0.010601597472886515	0.010601597472886515	0.0	0.0	-0.0075160435267858	-0.0075160435267858	False	False
only	discourse_particle	5	687	only	h	50	50	2	0.02040816326530612	0.58	0.58	0.5991869287747779	0.5991869287747779	0.0038593475395996275	0.0038593475395996275	-0.0011833350854184353	-0.0011833350854184353	0.0	0.0	-0.1164812360491072	-0.1164812360491072	0.44	0.44	0.5146454797675103	0.5146454797675103	-0.003333846153462915	-0.003333846153462915	0.002633021328776423	0.002633021328776423	0.0	0.0	-0.0084272112165177	-0.0084272112165177	False	False
only	discourse_particle	6	745	only	h	50	50	2	0.02040816326530612	0.52	0.52	0.45443036755840455	0.45443036755840455	0.001600859914075875	0.001600859914075875	-0.0015193039973857827	-0.0015193039973857827	0.0	0.0	-0.0277588869396009	-0.0277588869396009	0.52	0.52	0.5736166306203745	0.5736166306203745	0.006572144796402102	0.006572144796402102	0.00666707188039693	0.00666707188039693	1.0	1.0	0.0176882062639509	0.0176882062639509	True	False
only	discourse_particle	7	794	only	h	50	50	0	0.0	0.58	0.58	0.5970413329920622	0.5970413329920622	0.05674718645327026	0.05674718645327026	0.04604636795862832	0.04604636795862832	1.0	1.0	0.1064593975360577	0.1064593975360577	0.7	0.7	0.6380447847683247	0.6380447847683247	0.034027072874849365	0.034027072874849365	0.030074074623642588	0.030074074623642588	1.0	1.0	0.0398615056818179	0.0398615056818179	True	True
only	discourse_particle	8	965	only	h	50	50	0	0.0	0.66	0.66	0.72545068271803	0.72545068271803	0.02281062612320419	0.02281062612320419	0.029627061777012933	0.029627061777012933	0.0	0.0	-0.003662109375	-0.003662109375	0.52	0.52	0.5360274019493774	0.5360274019493774	0.007838165717718292	0.007838165717718292	0.003747160091609104	0.003747160091609104	0.0	0.0	-0.0638631184895832	-0.0638631184895832	True	False
only	discourse_particle	9	966	only	h	50	50	4	0.041666666666666664	0.48	0.48	0.5432058734434783	0.5432058734434783	0.0057558823934946955	0.0057558823934946955	0.005571112524636524	0.005571112524636524	0.0	0.0	-0.0092364224520598	-0.0092364224520598	0.54	0.54	0.5115469297675623	0.5115469297675623	-0.0002332600226399144	-0.0002332600226399144	-0.0015661419618859765	-0.0015661419618859765	0.0	0.0	-0.0153132847377231	-0.0153132847377231	False	False
only	discourse_particle	10	1038	only	h	50	50	2	0.02040816326530612	0.7	0.7	0.7514638853886849	0.7514638853886849	0.05182940430649851	0.05182940430649851	0.056904499110894416	0.056904499110894416	1.0	1.0	0.1213921440972223	0.1213921440972223	0.7	0.7	0.78168240541744	0.78168240541744	0.0694122740922819	0.0694122740922819	0.06310276457577177	0.06310276457577177	1.0	1.0	0.0198877507990058	0.0198877507990058	True	True
only	discourse_particle	11	1142	only	h	50	50	0	0.0	0.56	0.56	0.47681434316651333	0.47681434316651333	0.017990374993486043	0.017990374993486043	0.008123372305047859	0.008123372305047859	0.0	0.0	-0.0166397094726562	-0.0166397094726562	0.72	0.72	0.7648035395050413	0.7648035395050413	0.04709724311805643	0.04709724311805643	0.05604162958525178	0.05604162958525178	0.0	0.0	-0.189453125	-0.189453125	True	False
only	discourse_particle	12	1272	only	h	50	50	2	0.02040816326530612	0.4	0.4	0.4362594258732495	0.4362594258732495	-0.0073687336559887465	-0.0073687336559887465	-0.006199820592922583	-0.006199820592922583	0.0	0.0	-0.10009765625	-0.10009765625	0.64	0.64	0.6544687354297964	0.6544687354297964	0.007687567294144815	0.007687567294144815	0.011071352503522945	0.011071352503522945	0.0	0.0	-0.0044593811035156	-0.0044593811035156	False	False
only	discourse_particle	13	1368	only	h	50	50	4	0.041666666666666664	0.5	0.5	0.5104309990046436	0.5104309990046436	0.010635254964456267	0.010635254964456267	0.02927275419532382	0.02927275419532382	1.0	1.0	0.0919342041015625	0.0919342041015625	0.74	0.74	0.7203769778743518	0.7203769778743518	0.028240821739291926	0.028240821739291926	0.021312350194713912	0.021312350194713912	0.0	0.0	-0.0632812499999999	-0.0632812499999999	True	False
only	discourse_particle	14	1446	only	h	50	50	0	0.0	0.58	0.58	0.5720121825216335	0.5720121825216335	0.007173667475988886	0.007173667475988886	0.007376482009054609	0.007376482009054609	1.0	1.0	0.068145751953125	0.068145751953125	0.5	0.5	0.5854908483627379	0.5854908483627379	0.002411431448711095	0.002411431448711095	0.02608514761887473	0.02608514761887473	1.0	1.0	0.047760009765625	0.047760009765625	True	True
only	discourse_particle	15	1493	only	h	50	50	0	0.0	0.72	0.72	0.7162543724024388	0.7162543724024388	0.02865660124908917	0.02865660124908917	0.028960298340767975	0.028960298340767975	0.0	0.0	-0.0116564432779948	-0.0116564432779948	0.6	0.6	0.6017080978311329	0.6017080978311329	0.019732164910265852	0.019732164910265852	0.016536574921187458	0.016536574921187458	1.0	1.0	0.016845703125	0.016845703125	True	False
only	discourse_particle	16	1538	only	h	50	50	1	0.010101010101010102	0.48	0.48	0.39216464716779553	0.39216464716779553	0.00821336491939366	0.00821336491939366	0.00037283960097477794	0.00037283960097477794	1.0	1.0	0.0244941711425781	0.0244941711425781	0.6	0.6	0.7007874000725637	0.7007874000725637	0.010200842500614937	0.010200842500614937	0.011145134249751184	0.011145134249751184	1.0	1.0	0.013760036892361	0.013760036892361	True	True
only	discourse_particle	17	1577	only	h	50	50	1	0.010101010101010102	0.5	0.5	0.44571446136178156	0.44571446136178156	0.002640952863354814	0.002640952863354814	-0.003744549154907111	-0.003744549154907111	1.0	1.0	0.060546875	0.060546875	0.52	0.52	0.45755040637208205	0.45755040637208205	0.0035811123712432198	0.0035811123712432198	-0.0014440441137407451	-0.0014440441137407451	0.0	0.0	-0.0141465928819441	-0.0141465928819441	True	False
only	discourse_particle	18	1579	only	h	50	50	0	0.0	0.54	0.54	0.5957872064706073	0.5957872064706073	0.0005758377095196105	0.0005758377095196105	0.004823525354729445	0.004823525354729445	0.0	0.0	-0.012786865234375	-0.012786865234375	0.5	0.5	0.5223654326736096	0.5223654326736096	0.0006288298459094699	0.0006288298459094699	0.0027917455833670907	0.0027917455833670907	0.0	0.0	-0.0016277858189173	-0.0016277858189173	True	False
only	discourse_particle	19	1602	only	h	50	50	2	0.02040816326530612	0.66	0.66	0.6463375567415134	0.6463375567415134	0.019060884483530743	0.019060884483530743	0.017507220084733235	0.017507220084733235	1.0	1.0	0.0459440480107846	0.0459440480107846	0.62	0.62	0.6246150363299336	0.6246150363299336	0.011836242823599108	0.011836242823599108	0.01286701931459732	0.01286701931459732	1.0	1.0	0.0824052637273615	0.0824052637273615	True	True
only	discourse_particle	20	1624	only	h	50	50	2	0.02040816326530612	0.58	0.58	0.5306241628107425	0.5306241628107425	0.005868563434923929	0.005868563434923929	0.004398922068878353	0.004398922068878353	1.0	1.0	0.0082031249999998	0.0082031249999998	0.68	0.68	0.71739588331349	0.71739588331349	0.05415363105105233	0.05415363105105233	0.055477918274468685	0.055477918274468685	1.0	1.0	0.07421875	0.07421875	True	True
only	discourse_particle	21	1817	only	h	50	50	0	0.0	0.56	0.56	0.5643542480110479	0.5643542480110479	0.00616050888046182	0.00616050888046182	0.0030216689162120103	0.0030216689162120103	1.0	1.0	0.0370832170758927	0.0370832170758927	0.42	0.42	0.47787057689169515	0.47787057689169515	-0.0075223858635983295	-0.0075223858635983295	3.557082329433171e-05	3.557082329433171e-05	1.0	1.0	0.0123812357584636	0.0123812357584636	False	True
