source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
not	meaning_control	0	5	not	h	50	50	0	0.0	0.66	0.8325437076606221	0.6166307163238526	0.22141926086526137	0.0	-0.303955078125	0.72	0.8545172875669402	0.9585180473327637	0.33176793602203075	1.0	0.466461181640625	True	False
not	meaning_control	1	7	not	h	50	50	0	0.0	0.88	0.9999823800086711	2.2249902725219726	4.138488586597564	1.0	4.2333984375	0.9	0.927929285600931	1.9740243911743165	0.8864080930675355	1.0	4.578125	True	True
not	meaning_control	2	15	not	h	50	50	2	0.02040816326530612	0.6	0.464331786573989	0.5615559387207031	0.13152839416515102	1.0	1.65234375	0.82	0.9223393931368136	1.2074660873413086	0.09339678133233294	1.0	0.392578125	True	True
not	meaning_control	3	71	not	h	50	50	0	0.0	0.74	0.3491562638936361	0.5672285270690918	0.49175257008002754	1.0	0.24072265625	0.66	0.9984851620984347	0.33323235988616945	0.5101701853664832	0.0	-0.1932373046875	True	False
not	meaning_control	4	81	not	h	50	50	0	0.0	0.8	0.8161604593929299	2.5367716217041014	2.6761544080356865	1.0	1.176025390625	0.9	0.5239420612637516	1.8259035873413085	0.43195840508254724	1.0	3.028564453125	True	True
not	meaning_control	5	226	not	h	50	50	0	0.0	0.74	0.9999711854191594	1.1184387636184692	0.5622887396360471	1.0	0.5771484375	0.88	0.9999996693441273	2.0997409057617187	1.433762182446254	1.0	1.9788818359375	True	True
not	meaning_control	6	244	not	h	50	50	0	0.0	0.8	0.5881932982365675	2.2167622208595277	-0.029495459918908413	1.0	0.3673095703125	0.8	0.9884415778748411	0.869753189086914	0.9285038081728666	1.0	0.333251953125	True	True
not	meaning_control	7	272	not	h	50	50	0	0.0	0.7	0.7435115433548948	0.42699054718017576	0.2004526986142758	0.0	-0.1818695068359375	0.68	0.8587592260370488	0.3144675135612488	0.6817073496201403	0.0	-0.156982421875	True	False
not	meaning_control	8	302	not	h	50	50	0	0.0	0.8	0.02301064365237337	0.848399658203125	-0.3783226653508875	0.0	-0.309326171875	0.64	0.3074162637787228	0.4270650291442871	0.017818081910338103	1.0	0.1953125	True	False
not	meaning_control	9	309	not	h	50	50	0	0.0	0.64	0.5294075751765512	0.6861672210693359	0.393422874940371	1.0	0.83062744140625	0.62	0.9569445181988774	0.25152843475341796	0.46750756473527477	1.0	3.496543884277344	True	True
not	meaning_control	10	319	not	h	50	50	0	0.0	0.78	0.9888583165673067	1.4555617904663085	0.40840767372184983	1.0	2.0389404296875	0.74	0.9957575508927226	2.3732404088974	4.336414161652556	1.0	3.6103515625	True	True
not	meaning_control	11	367	not	h	50	50	0	0.0	0.56	0.42781174777666486	0.2493370246887207	-0.06880408727599364	1.0	0.25	0.62	0.9937621504730555	0.7803998565673829	0.5506492197224148	0.0	-2.3204345703125	True	False
not	meaning_control	12	379	not	h	50	50	0	0.0	0.6	0.6532477917183803	0.403538818359375	0.18357915376646897	0.0	-0.7999038696289062	0.78	0.822984687808532	0.6476483154296875	0.3929939970030365	1.0	2.08349609375	True	False
not	meaning_control	13	383	not	h	50	50	1	0.010101010101010102	0.54	0.009729379074812906	0.21227086067199707	-0.22295072032472943	0.0	-0.21844482421875	0.54	0.905688728159366	0.11437250137329101	0.15992324864100613	1.0	1.46636962890625	True	False
not	meaning_control	14	460	not	h	50	50	0	0.0	0.66	0.974528015464183	0.6879778242111206	0.20290835759851608	1.0	0.36590576171875	0.68	0.995006368136693	0.8043590545654297	1.1269363827380157	0.0	-0.3189697265625	True	False
not	meaning_control	15	686	not	h	50	50	0	0.0	0.86	0.9235598441161917	1.883530387878418	2.1143935133882827	1.0	2.017181396484375	0.88	0.999594221226559	1.844580421447754	1.1728694814599592	1.0	0.44140625	True	True
not	meaning_control	16	698	not	h	50	50	0	0.0	0.88	0.8443096814264113	1.9700286102294922	0.7984101576761428	0.0	-0.954864501953125	0.7	0.9587011631821318	1.5058990478515626	1.1708942821769568	0.0	-0.144989013671875	True	False
not	meaning_control	17	702	not	h	50	50	1	0.010101010101010102	0.54	0.48225383377869213	0.06765823364257813	-0.018618125542522828	1.0	0.148193359375	0.56	0.7365646322076173	-0.012885208129882813	0.13600626912227867	1.0	0.26953125	False	True
not	meaning_control	18	729	not	h	50	50	1	0.010101010101010102	0.82	0.6113834092064916	2.0743772888183596	1.3598469879741528	0.0	-0.7035064697265625	0.8	0.6752508821333377	2.0437682342529295	2.0698084369932084	1.0	1.127410888671875	True	False
not	meaning_control	19	768	not	h	50	50	1	0.010101010101010102	0.8	0.9053023806468313	0.7289575958251953	0.9818286850151307	1.0	0.59423828125	0.62	0.5626503489974145	1.183932113647461	1.5923011918815801	0.0	-0.55029296875	True	False
not	meaning_control	20	865	not	h	50	50	1	0.010101010101010102	0.78	0.5745336599691035	1.0284109210968018	0.05135287342517653	0.0	-1.903900146484375	0.68	0.8790155597591713	1.7889764022827148	0.12161968958164943	1.0	0.56219482421875	True	False
not	meaning_control	21	949	not	h	50	50	0	0.0	0.88	0.2792470299519574	3.0472315979003906	0.08528862424894243	1.0	7.80517578125	0.88	0.9799192155882948	2.1278414916992188	2.0751194368582193	0.0	-0.189453125	True	False
not	meaning_control	22	969	not	h	50	50	1	0.010101010101010102	0.72	0.9818841250207694	0.42364978790283203	0.18284482404337504	1.0	0.06640625	0.52	0.6248073504111948	0.34354854106903077	0.46702316408796135	1.0	0.888671875	True	True
not	meaning_control	23	1154	not	h	50	50	0	0.0	0.42	0.9733772941213547	0.08878982543945313	0.358531178864402	0.0	-0.279296875	0.5	0.41008970175272275	0.2808401203155518	-0.05529263342973532	0.0	-0.8037109375	True	False
not	meaning_control	24	1570	not	h	50	50	1	0.010101010101010102	0.64	0.8258533000462395	0.5489489555358886	0.4026963978419616	0.0	-0.4609375	0.76	0.9754498320244703	0.8434636306762695	0.1599452696331786	1.0	1.29193115234375	True	False
not	meaning_control	25	1602	not	h	50	50	2	0.02040816326530612	0.72	0.5315921566550047	0.422741584777832	-0.13876531140576134	1.0	0.36004638671875	0.54	0.6541150260901003	0.05186592102050781	0.22745596486945963	0.0	-0.1622085571289062	True	False
not	meaning_control	26	1647	not	h	50	50	0	0.0	0.64	0.30518262840267324	0.6566747665405274	0.07370140800717032	0.0	-1.068603515625	0.82	0.9517436052483802	1.0396850967407227	1.0866168665738365	1.0	0.740234375	True	False
not	meaning_control	27	1686	not	h	50	50	0	0.0	0.82	0.4977238716044542	2.116566996574402	0.4319413702940237	1.0	4.899854421615601	0.88	0.8609240106432172	1.7925037240982056	1.4821838903780986	1.0	0.0454635620117187	True	True
not	meaning_control	28	1697	not	h	50	50	0	0.0	0.6	0.6570275619436554	0.37974796295166013	0.417686163839961	1.0	0.4448699951171875	0.64	0.988188029024891	0.41291351318359376	0.08075633205297812	1.0	0.212890625	True	True
not	meaning_control	29	1700	not	h	50	50	6	0.06382978723404255	0.7	0.8573861070253661	0.13774545669555663	0.1331289218032817	1.0	1.46441650390625	0.6	0.22040845808303736	0.30139617919921874	0.01066475598534262	0.0	-0.215576171875	True	False
only	discourse_particle	0	315	only	h	50	50	0	0.0	0.7	0.6119942119495553	0.6472170066833496	0.35913817935347003	1.0	1.3413619995117188	0.72	0.08646774964649187	0.408314208984375	0.020695642002002676	1.0	0.2781410217285156	True	True
only	discourse_particle	1	491	only	h	50	50	1	0.010101010101010102	0.66	0.7585197854278694	0.04944979906082153	0.057071886135473704	0.0	-0.0848388671875	0.64	0.9431863189351503	0.07345298767089843	0.05803379963745101	1.0	0.041015625	True	False
only	discourse_particle	2	501	only	h	50	50	0	0.0	0.56	0.4060427140324801	0.04526979446411133	-0.042406761287796906	0.0	-0.03564453125	0.56	0.987142867889788	0.01638418197631836	0.023580594255970918	0.0	-0.06341552734375	True	False
only	discourse_particle	3	649	only	h	50	50	0	0.0	0.68	0.9694502688898139	0.2797025966644287	0.5587809094576898	1.0	0.6696662902832031	0.68	0.8937419710880575	0.22264091968536376	0.8212156305697181	1.0	0.7400228977203369	True	True
only	discourse_particle	4	660	only	h	50	50	1	0.010101010101010102	0.44	0.3489696120641864	-0.012467956542968745	-0.13266678377540428	1.0	0.21484375	0.72	0.9920471298288384	0.1878802490234375	0.24076905407281918	0.0	-0.105224609375	False	False
only	discourse_particle	5	687	only	h	50	50	2	0.02040816326530612	0.58	0.8200907781667698	-0.04936668395996094	0.09913704050228582	0.0	-1.6307373046875	0.44	0.8057315941390011	-0.010067405700683598	0.02384091926465551	0.0	-0.058990478515625	False	False
only	discourse_particle	6	745	only	h	50	50	2	0.02040816326530612	0.52	0.007279278117490595	0.03472393035888672	-0.13612087709664872	0.0	-0.527418851852417	0.52	0.9982220838214348	0.04248941421508789	0.13639575723464234	1.0	0.2476348876953125	True	False
only	discourse_particle	7	794	only	h	50	50	0	0.0	0.58	0.37412652601894736	0.4291166687011719	0.08956930908455414	1.0	1.38397216796875	0.7	0.9863733009459186	0.27614952087402345	0.1723200313716034	1.0	0.4384765625	True	True
only	discourse_particle	8	965	only	h	50	50	0	0.0	0.66	0.3706656753003679	0.21295333862304688	0.04670739481699901	0.0	-0.025634765625	0.52	0.6330241445358383	-0.010663018226623536	0.03732149309430797	0.0	-0.3831787109375	False	False
only	discourse_particle	9	966	only	h	50	50	4	0.041666666666666664	0.48	0.5084278312457252	0.03523054122924805	0.01747800964923281	0.0	-0.1016006469726562	0.54	0.5474113640084902	0.009642477035522458	-0.029874424180144372	0.0	-0.1071929931640625	True	False
only	discourse_particle	10	1038	only	h	50	50	2	0.02040816326530612	0.7	0.6445762055906922	0.4347471618652344	0.11921694488907766	1.0	1.092529296875	0.7	0.9111221271510747	0.37501590728759765	0.5723670313874422	1.0	0.2187652587890625	True	True
only	discourse_particle	11	1142	only	h	50	50	0	0.0	0.56	0.4683467132997546	0.12619108200073242	0.02216551360869921	0.0	-0.532470703125	0.72	0.13569641872179206	0.4800079345703125	-0.2930284307305631	0.0	-0.37890625	True	False
only	discourse_particle	12	1272	only	h	50	50	2	0.02040816326530612	0.4	0.53347148797022	-0.021309928894042963	-0.02482114955187485	0.0	-0.2001953125	0.64	0.10346269246920226	0.08827949523925781	-0.0681575728839558	0.0	-0.035675048828125	False	False
only	discourse_particle	13	1368	only	h	50	50	4	0.041666666666666664	0.5	0.8860632861543143	0.021375999450683594	0.422636328228187	1.0	0.919342041015625	0.74	0.3180822552418272	0.3593700408935547	-0.1917452995856899	0.0	-0.31640625	True	False
only	discourse_particle	14	1446	only	h	50	50	0	0.0	0.58	0.12925594688773157	0.08678779602050782	-0.10487644349895438	1.0	1.022186279296875	0.5	0.7849231207730577	0.14110950469970704	0.09483588612439724	1.0	0.382080078125	True	True
only	discourse_particle	15	1493	only	h	50	50	0	0.0	0.72	0.9603682996223902	0.5219642353057862	0.053728446274274595	0.0	-0.0699386596679687	0.6	0.12375192231199428	0.23165447235107423	-0.06682261138074394	1.0	0.10107421875	True	False
only	discourse_particle	16	1538	only	h	50	50	1	0.010101010101010102	0.48	0.6217005818208646	0.05031723022460938	0.1215188849474702	1.0	0.195953369140625	0.6	0.8429698965398394	0.09295951843261718	0.09345036899778503	1.0	0.12384033203125	True	True
only	discourse_particle	17	1577	only	h	50	50	1	0.010101010101010102	0.5	0.03575488277923085	0.022429161071777344	-0.07550829432231576	1.0	0.2421875	0.52	0.44575041832878437	0.0003527450561523471	-0.025550754919267046	0.0	-0.1273193359375	True	False
