mask_percent	fold_i	fold_j	intersection_count	jaccard	selected_units	total_units	expected_random_intersection	expected_random_jaccard
0.5	0	0	656	1.0	656	131072	3.283203125	0.0025087193293764913
0.5	0	1	376	0.4017094017094017	656	131072	3.283203125	0.0025087193293764913
0.5	0	2	383	0.41227125941872983	656	131072	3.283203125	0.0025087193293764913
0.5	0	3	377	0.4032085561497326	656	131072	3.283203125	0.0025087193293764913
0.5	0	4	386	0.4168466522678186	656	131072	3.283203125	0.0025087193293764913
0.5	1	0	376	0.4017094017094017	656	131072	3.283203125	0.0025087193293764913
0.5	1	1	656	1.0	656	131072	3.283203125	0.0025087193293764913
0.5	1	2	427	0.4824858757062147	656	131072	3.283203125	0.0025087193293764913
0.5	1	3	388	0.4199134199134199	656	131072	3.283203125	0.0025087193293764913
0.5	1	4	436	0.4977168949771689	656	131072	3.283203125	0.0025087193293764913
0.5	2	0	383	0.41227125941872983	656	131072	3.283203125	0.0025087193293764913
0.5	2	1	427	0.4824858757062147	656	131072	3.283203125	0.0025087193293764913
0.5	2	2	656	1.0	656	131072	3.283203125	0.0025087193293764913
0.5	2	3	396	0.43231441048034935	656	131072	3.283203125	0.0025087193293764913
0.5	2	4	435	0.4960091220068415	656	131072	3.283203125	0.0025087193293764913
0.5	3	0	377	0.4032085561497326	656	131072	3.283203125	0.0025087193293764913
0.5	3	1	388	0.4199134199134199	656	131072	3.283203125	0.0025087193293764913
0.5	3	2	396	0.43231441048034935	656	131072	3.283203125	0.0025087193293764913
0.5	3	3	656	1.0	656	131072	3.283203125	0.0025087193293764913
0.5	3	4	389	0.42145178764897073	656	131072	3.283203125	0.0025087193293764913
0.5	4	0	386	0.4168466522678186	656	131072	3.283203125	0.0025087193293764913
0.5	4	1	436	0.4977168949771689	656	131072	3.283203125	0.0025087193293764913
0.5	4	2	435	0.4960091220068415	656	131072	3.283203125	0.0025087193293764913
0.5	4	3	389	0.42145178764897073	656	131072	3.283203125	0.0025087193293764913
0.5	4	4	656	1.0	656	131072	3.283203125	0.0025087193293764913
