left_group	right_group	scope	component	top_k	left_fold	right_fold	intersection_count	overlap_fraction	jaccard	selected_sites_left	selected_sites_right	site_universe	expected_random_intersection	expected_random_overlap_fraction	expected_random_jaccard	intersection_enrichment	hypergeom_p_value	left_layers	right_layers	shared_layers
nonexclusive_just	only	fold_pair	attn	1	0	0	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	6	12	
nonexclusive_just	only	fold_pair	attn	3	0	0	3	1.0	1.0	3	3	32	0.28125	0.09375	0.04918032786885246	10.666666666666666	0.00020161290322580645	6,7,12	12,6,7	6,7,12
nonexclusive_just	only	fold_pair	attn	5	0	0	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	6,7,12,3,10	12,6,7,13,3	3,6,7,12
nonexclusive_just	only	fold_pair	attn	10	0	0	8	0.8	0.6666666666666666	10	10	32	3.125	0.3125	0.18518518518518517	2.56	0.0001645579195513906	6,7,12,3,10,5,9,4,13,2	12,6,7,13,3,5,4,11,9,1	3,4,5,6,7,9,12,13
nonexclusive_just	only	fold_pair	attn	1	0	1	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	6	7	
nonexclusive_just	only	fold_pair	attn	3	0	1	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	6,7,12	7,6,3	6,7
nonexclusive_just	only	fold_pair	attn	5	0	1	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	6,7,12,3,10	7,6,3,5,12	3,6,7,12
nonexclusive_just	only	fold_pair	attn	10	0	1	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	6,7,12,3,10,5,9,4,13,2	7,6,3,5,12,4,13,9,11,2	2,3,4,5,6,7,9,12,13
nonexclusive_just	only	fold_pair	attn	1	1	0	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	6	12	
nonexclusive_just	only	fold_pair	attn	3	1	0	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	6,7,3	12,6,7	6,7
nonexclusive_just	only	fold_pair	attn	5	1	0	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	6,7,3,5,4	12,6,7,13,3	3,6,7
nonexclusive_just	only	fold_pair	attn	10	1	0	8	0.8	0.6666666666666666	10	10	32	3.125	0.3125	0.18518518518518517	2.56	0.0001645579195513906	6,7,3,5,4,10,11,12,9,21	12,6,7,13,3,5,4,11,9,1	3,4,5,6,7,9,11,12
nonexclusive_just	only	fold_pair	attn	1	1	1	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	6	7	
nonexclusive_just	only	fold_pair	attn	3	1	1	3	1.0	1.0	3	3	32	0.28125	0.09375	0.04918032786885246	10.666666666666666	0.00020161290322580645	6,7,3	7,6,3	3,6,7
nonexclusive_just	only	fold_pair	attn	5	1	1	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	6,7,3,5,4	7,6,3,5,12	3,5,6,7
nonexclusive_just	only	fold_pair	attn	10	1	1	8	0.8	0.6666666666666666	10	10	32	3.125	0.3125	0.18518518518518517	2.56	0.0001645579195513906	6,7,3,5,4,10,11,12,9,21	7,6,3,5,12,4,13,9,11,2	3,4,5,6,7,9,11,12
