left_group	right_group	scope	component	top_k	left_fold	right_fold	intersection_count	overlap_fraction	jaccard	selected_sites_left	selected_sites_right	site_universe	expected_random_intersection	expected_random_overlap_fraction	expected_random_jaccard	intersection_enrichment	hypergeom_p_value	left_layers	right_layers	shared_layers	hypergeom_q_value_bh
nonexclusive_just	only	pooled	attn	1	all	all	1	1.0	1.0	1	1	32	0.03125	0.03125	0.015873015873015872	32.0	0.03125	6	6	6	0.041666666666666664
nonexclusive_just	only	pooled	attn	3	all	all	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	6,7,3	6,7,12	6,7	0.031037887902658285
nonexclusive_just	only	pooled	attn	5	all	all	5	1.0	1.0	5	5	32	0.78125	0.15625	0.0847457627118644	6.4	4.965835054822819e-06	6,7,3,5,12	6,7,12,3,5	3,5,6,7,12	1.9863340219291276e-05
nonexclusive_just	only	pooled	attn	10	all	all	10	1.0	1.0	10	10	32	3.125	0.3125	0.18518518518518517	3.2	1.5500934396325412e-08	6,7,3,5,12,10,4,9,11,13	6,7,12,3,5,13,4,11,9,10	3,4,5,6,7,9,10,11,12,13	1.8601121275590495e-07
nonexclusive_just	only	pooled	mlp	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	7	6		1.0
nonexclusive_just	only	pooled	mlp	3	all	all	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	7,6,5	6,7,15	6,7	0.031037887902658285
nonexclusive_just	only	pooled	mlp	5	all	all	2	0.4	0.25	5	5	32	0.78125	0.15625	0.0847457627118644	2.56	0.16335610996345148	7,6,5,9,12	6,7,15,3,14	6,7	0.19602733195614178
nonexclusive_just	only	pooled	mlp	10	all	all	6	0.6	0.42857142857142855	10	10	32	3.125	0.3125	0.18518518518518517	1.92	0.026840890968907606	7,6,5,9,12,4,14,3,26,0	6,7,15,3,14,16,18,9,20,4	3,4,6,7,9,14	0.04026133645336141
nonexclusive_just	only	pooled	resid	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	7	8		1.0
nonexclusive_just	only	pooled	resid	3	all	all	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	7,8,6	8,7,9	7,8	0.031037887902658285
nonexclusive_just	only	pooled	resid	5	all	all	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	7,8,6,10,9	8,7,9,12,11	7,8,9	0.031037887902658285
nonexclusive_just	only	pooled	resid	10	all	all	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	7,8,6,10,9,11,12,5,13,4	8,7,9,12,11,6,10,13,5,14	5,6,7,8,9,10,11,12,13	1.9863340219291276e-05
