group	scope	train_fold	component	layer_index	position_label	corruption_mode	ranking_score	source_item_count
nonexclusive_just	fold	0	attn	6	utterance_final	prompt_without	0.08015260989542254	14
nonexclusive_just	fold	0	attn	7	utterance_final	prompt_without	0.05932222339974963	14
nonexclusive_just	fold	0	attn	12	utterance_final	prompt_without	0.041678020252074933	14
nonexclusive_just	fold	0	attn	3	utterance_final	prompt_without	0.039442217458883336	14
nonexclusive_just	fold	0	attn	10	utterance_final	prompt_without	0.031787265457222685	14
nonexclusive_just	fold	0	attn	5	utterance_final	prompt_without	0.02722677779177809	14
nonexclusive_just	fold	0	attn	9	utterance_final	prompt_without	0.02462837188671166	14
nonexclusive_just	fold	0	attn	4	utterance_final	prompt_without	0.019576073231383107	14
nonexclusive_just	fold	0	attn	13	utterance_final	prompt_without	0.012474523728434344	14
nonexclusive_just	fold	0	attn	2	utterance_final	prompt_without	0.009949581094161235	14
nonexclusive_just	fold	0	attn	1	utterance_final	prompt_without	0.009585180094340664	14
nonexclusive_just	fold	0	attn	8	utterance_final	prompt_without	0.005870872353892251	14
nonexclusive_just	fold	0	attn	14	utterance_final	prompt_without	0.004082483309637429	14
nonexclusive_just	fold	0	attn	15	utterance_final	prompt_without	0.0034198782216421342	14
nonexclusive_just	fold	0	attn	11	utterance_final	prompt_without	0.0027387687906081505	14
nonexclusive_just	fold	0	attn	23	utterance_final	prompt_without	0.0009024424516035957	14
nonexclusive_just	fold	0	attn	21	utterance_final	prompt_without	0.00017163790822540017	14
nonexclusive_just	fold	0	attn	31	utterance_final	prompt_without	0.0	14
nonexclusive_just	fold	0	attn	24	utterance_final	prompt_without	-0.00031864318880331447	14
nonexclusive_just	fold	0	attn	29	utterance_final	prompt_without	-0.0004505662073135999	14
nonexclusive_just	fold	0	attn	18	utterance_final	prompt_without	-0.0006430123124955822	14
nonexclusive_just	fold	0	attn	0	utterance_final	prompt_without	-0.0006692778505196356	14
nonexclusive_just	fold	0	attn	25	utterance_final	prompt_without	-0.0010680455567752846	14
nonexclusive_just	fold	0	attn	17	utterance_final	prompt_without	-0.0011229823020601141	14
nonexclusive_just	fold	0	attn	28	utterance_final	prompt_without	-0.0012147392166713643	14
nonexclusive_just	fold	0	attn	30	utterance_final	prompt_without	-0.0016596430121592364	14
nonexclusive_just	fold	0	attn	27	utterance_final	prompt_without	-0.0016905141075694143	14
nonexclusive_just	fold	0	attn	16	utterance_final	prompt_without	-0.0018991926929703715	14
nonexclusive_just	fold	0	attn	19	utterance_final	prompt_without	-0.0019795201200328645	14
nonexclusive_just	fold	0	attn	22	utterance_final	prompt_without	-0.002149735388179236	14
nonexclusive_just	fold	0	attn	20	utterance_final	prompt_without	-0.0029369929225661856	14
nonexclusive_just	fold	0	attn	26	utterance_final	prompt_without	-0.0031778067619913507	14
nonexclusive_just	fold	0	mlp	7	utterance_final	prompt_without	0.025677385394432952	14
nonexclusive_just	fold	0	mlp	4	utterance_final	prompt_without	0.022635466804705233	14
nonexclusive_just	fold	0	mlp	6	utterance_final	prompt_without	0.020272133350961778	14
nonexclusive_just	fold	0	mlp	3	utterance_final	prompt_without	0.016192328299350873	14
nonexclusive_just	fold	0	mlp	10	utterance_final	prompt_without	0.012338574704278401	14
nonexclusive_just	fold	0	mlp	14	utterance_final	prompt_without	0.010344150125662416	14
nonexclusive_just	fold	0	mlp	9	utterance_final	prompt_without	0.0072629930912364435	14
nonexclusive_just	fold	0	mlp	2	utterance_final	prompt_without	0.005458345830753557	14
nonexclusive_just	fold	0	mlp	12	utterance_final	prompt_without	0.0035988333757528295	14
nonexclusive_just	fold	0	mlp	8	utterance_final	prompt_without	0.0030950349457574433	14
nonexclusive_just	fold	0	mlp	29	utterance_final	prompt_without	0.0024848261283138572	14
nonexclusive_just	fold	0	mlp	5	utterance_final	prompt_without	0.0013297937072658998	14
nonexclusive_just	fold	0	mlp	18	utterance_final	prompt_without	0.0008880723898485569	14
nonexclusive_just	fold	0	mlp	20	utterance_final	prompt_without	0.0005029805106550714	14
nonexclusive_just	fold	0	mlp	28	utterance_final	prompt_without	0.00033703902044567865	14
nonexclusive_just	fold	0	mlp	31	utterance_final	prompt_without	0.0	14
nonexclusive_just	fold	0	mlp	24	utterance_final	prompt_without	-2.5845444385609695e-05	14
nonexclusive_just	fold	0	mlp	26	utterance_final	prompt_without	-0.00017626409828716425	14
nonexclusive_just	fold	0	mlp	19	utterance_final	prompt_without	-0.00026380075251917844	14
nonexclusive_just	fold	0	mlp	15	utterance_final	prompt_without	-0.00031440680989216444	14
nonexclusive_just	fold	0	mlp	23	utterance_final	prompt_without	-0.00042831318338306415	14
nonexclusive_just	fold	0	mlp	25	utterance_final	prompt_without	-0.00044554553960767857	14
nonexclusive_just	fold	0	mlp	21	utterance_final	prompt_without	-0.000626967601003614	14
nonexclusive_just	fold	0	mlp	0	utterance_final	prompt_without	-0.0017665509984661938	14
nonexclusive_just	fold	0	mlp	27	utterance_final	prompt_without	-0.001838407675776143	14
nonexclusive_just	fold	0	mlp	1	utterance_final	prompt_without	-0.0019773577203445066	14
nonexclusive_just	fold	0	mlp	30	utterance_final	prompt_without	-0.002147269464250864	14
nonexclusive_just	fold	0	mlp	22	utterance_final	prompt_without	-0.002864494142814664	14
nonexclusive_just	fold	0	mlp	17	utterance_final	prompt_without	-0.003059926570577464	14
nonexclusive_just	fold	0	mlp	13	utterance_final	prompt_without	-0.0034430347100324996	14
nonexclusive_just	fold	0	mlp	16	utterance_final	prompt_without	-0.0055604950525653864	14
nonexclusive_just	fold	0	mlp	11	utterance_final	prompt_without	-0.014169340649166652	14
nonexclusive_just	fold	0	resid	8	utterance_final	prompt_without	0.21078352200598927	14
nonexclusive_just	fold	0	resid	10	utterance_final	prompt_without	0.20310517398151307	14
