particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
just	0	0	8	resid	0	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6547629616477273	0.0020197088068181213	0.003652234987207035	0.003652234987207035
just	0	2	4	resid	0	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5412027994791666	-0.0024983723958333925	-0.0038283597909990813	0.0
just	0	4	55	resid	0	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.92607421875	0.00146484375	0.00936329588014981	0.00936329588014981
just	0	8	68	resid	0	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.093292236328125	-0.006744384765625	-0.04664415365132968	0.0
just	0	0	8	resid	1	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6552512428977273	0.0015314275568181213	0.002769277078211901	0.002769277078211901
just	0	2	4	resid	1	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5366943359375	0.0020100911458333925	0.003080146151064425	0.003080146151064425
just	0	4	55	resid	1	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.91767578125	0.009863281249999911	0.06304619225967482	0.06304619225967482
just	0	8	68	resid	1	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.091156005859375	-0.004608154296875	-0.03186998733642887	0.0
just	0	0	8	resid	2	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6555342240767046	0.0012484463778408283	0.002257562835498776	0.002257562835498776
just	0	2	4	resid	2	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.536572265625	0.0021321614583333925	0.003267199561048089	0.003267199561048089
just	0	4	55	resid	2	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.925	0.002539062499999911	0.01622971285892577	0.01622971285892577
just	0	8	68	resid	2	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.087005615234375	-0.000457763671875	-0.0031658927817644574	0.0
just	0	0	8	resid	3	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6559392755681819	0.0008433948863635354	0.0015251091155368667	0.0015251091155368667
just	0	2	4	resid	3	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5391520182291667	-0.00044759114583348136	-0.0006858625032736617	0.0
just	0	4	55	resid	3	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.9263671875	0.0011718750000000444	0.007490636704120132	0.007490636704120132
just	0	8	68	resid	3	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.082733154296875	0.003814697265625	0.026382439848037148	0.026382439848037148
just	0	0	8	resid	4	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6535921963778408	0.003190474076704586	0.005769327246275095	0.005769327246275095
just	0	2	4	resid	4	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.535986328125	0.0027180989583333037	0.00416505592896954	0.00416505592896954
just	0	4	55	resid	4	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.9271484375	0.0003906249999998668	0.0024968789013724312	0.0024968789013724312
just	0	8	68	resid	4	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.07989501953125	0.00665283203125	0.046010975094976786	0.046010975094976786
just	0	0	8	resid	5	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6548184481534092	0.0019642223011362425	0.003551898861184751	0.003551898861184751
just	0	2	4	resid	5	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5377522786458333	0.0009521484374999112	0.0014590165978724434	0.0014590165978724434
just	0	4	55	resid	5	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.9287109375	-0.0011718750000000444	-0.007490636704120132	0.0
just	0	8	68	resid	5	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.086761474609375	-0.000213623046875	-0.0014774166314900801	0.0
just	0	0	8	resid	6	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.65155029296875	0.005232377485795414	0.009461696683890963	0.009461696683890963
just	0	2	4	resid	6	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.527937825520833	0.010766601562500089	0.016498110760559303	0.016498110760559303
just	0	4	55	resid	6	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.92021484375	0.00732421875	0.04681647940074905	0.04681647940074905
just	0	8	68	resid	6	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.085723876953125	0.000823974609375	0.005698607007176023	0.005698607007176023
just	0	0	8	resid	7	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6547019264914773	0.0020807439630681213	0.0037626047258314268	0.0037626047258314268
just	0	2	4	resid	7	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.519034830729167	0.01966959635416643	0.030140539462034037	0.030140539462034037
just	0	4	55	resid	7	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.9154296875	0.012109374999999867	0.0774032459425709	0.0774032459425709
just	0	8	68	resid	7	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.080230712890625	0.006317138671875	0.043689320388349516	0.043689320388349516
just	0	0	8	resid	8	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6482044566761365	0.00857821377840895	0.015511965083027891	0.015511965083027891
just	0	2	4	resid	8	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5201904296875	0.018513997395833037	0.02836976718085526	0.02836976718085526
just	0	4	55	resid	8	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.90703125	0.0205078125	0.13108614232209734	0.13108614232209734
just	0	8	68	resid	8	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.070831298828125	0.015716552734375	0.10869565217391304	0.10869565217391304
just	0	0	8	resid	9	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6544189453125	0.002363725142045414	0.004274318968544552	0.004274318968544552
just	0	2	4	resid	9	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.534033203125	0.004671223958333304	0.007157910488708165	0.007157910488708165
just	0	4	55	resid	9	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.89384765625	0.03369140625	0.21535580524344564	0.21535580524344564
just	0	8	68	resid	9	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.077545166015625	0.009002685546875	0.06226255804136767	0.06226255804136767
just	0	0	8	resid	10	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6499578302556819	0.0068248401988635354	0.012341343500727256	0.012341343500727256
just	0	2	4	resid	10	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5343343098958333	0.004370117187499911	0.006696512077415036	0.006696512077415036
just	0	4	55	resid	10	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.890234375	0.037304687500000044	0.23845193508114879	0.23845193508114879
just	0	8	68	resid	10	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.07122802734375	0.01531982421875	0.10595187842971718	0.10595187842971718
just	0	0	8	resid	11	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6482377485795454	0.008544921875	0.015451763407414842	0.015451763407414842
just	0	2	4	resid	11	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5354248046875	0.003279622395833126	0.0050255016148941225	0.0050255016148941225
just	0	4	55	resid	11	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.88876953125	0.038769531250000044	0.2478152309612986	0.2478152309612986
just	0	8	68	resid	11	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.0718994140625	0.0146484375	0.10130856901646264	0.10130856901646264
just	0	0	8	resid	12	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6499578302556819	0.0068248401988635354	0.012341343500727256	0.012341343500727256
just	0	2	4	resid	12	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5436767578125	-0.004972330729166696	-0.007619308900001294	0.0
just	0	4	55	resid	12	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.89287109375	0.03466796875	0.22159800249687883	0.22159800249687883
just	0	8	68	resid	12	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.069427490234375	0.017120361328125	0.11840439003799072	0.11840439003799072
just	0	0	8	resid	13	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6494362571022727	0.007346413352272707	0.01328450308533584	0.01328450308533584
just	0	2	4	resid	13	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5441569010416667	-0.005452473958333481	-0.008355052312603887	0.0
just	0	4	55	resid	13	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.896875	0.030664062499999867	0.19600499375780184	0.19600499375780184
just	0	8	68	resid	13	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.082244873046875	0.004302978515625	0.0297593921485859	0.0297593921485859
just	0	0	8	resid	14	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6534479314630681	0.003334738991477293	0.006030201173932712	0.006030201173932712
just	0	2	4	resid	14	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.541365559895833	-0.002661132812499911	-0.00407776433764374	0.0
just	0	4	55	resid	14	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.9103515625	0.01718749999999991	0.10986267166042388	0.10986267166042388
just	0	8	68	resid	14	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.070556640625	0.0159912109375	0.11059518784297172	0.11059518784297172
just	0	0	8	resid	15	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6548794833096592	0.0019031871448862425	0.0034415291225603595	0.0034415291225603595
just	0	2	4	resid	15	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5399983723958335	-0.0012939453125002665	-0.001982766145827247	0.0
just	0	4	55	resid	15	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.911328125	0.01621093749999991	0.10362047440699067	0.10362047440699067
just	0	8	68	resid	15	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.078033447265625	0.008514404296875	0.058885605740818914	0.058885605740818914
just	0	0	8	resid	16	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6543801047585227	0.002402565696022707	0.004344554256760111	0.004344554256760111
just	0	2	4	resid	16	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.540397135416667	-0.0016927083333335702	-0.002593807285107171	0.0
just	0	4	55	resid	16	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.91640625	0.011132812499999867	0.07116104868913771	0.07116104868913771
just	0	8	68	resid	16	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.083282470703125	0.003265380859375	0.022583368509919797	0.022583368509919797
just	0	0	8	resid	17	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6542302911931819	0.0025523792613635354	0.004615461797019835	0.004615461797019835
just	0	2	4	resid	17	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5410725911458334	-0.0023681640625001776	-0.0036288361536833545	0.0
just	0	4	55	resid	17	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.92099609375	0.006542968750000044	0.041822721598002766	0.041822721598002766
just	0	8	68	resid	17	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.087890625	-0.0013427734375	-0.009286618826509076	0.0
just	0	0	8	resid	18	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6545576615767046	0.0022250088778408283	0.004023478653489044	0.004023478653489044
just	0	2	4	resid	18	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.539078776041667	-0.000374348958333659	-0.0005736304572837354	0.0
just	0	4	55	resid	18	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.92197265625	0.005566406250000044	0.03558052434456956	0.03558052434456956
just	0	8	68	resid	18	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.09130859375	-0.0047607421875	-0.03292528493035036	0.0
just	0	0	8	resid	19	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6546630859375	0.002119584517045414	0.003832840014046985	0.003832840014046985
just	0	2	4	resid	19	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5378173828125	0.0008870442708333037	0.0013592547792145799	0.0013592547792145799
just	0	4	55	resid	19	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.920703125	0.0068359375	0.04369538077403245	0.04369538077403245
just	0	8	68	resid	19	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.09130859375	-0.0047607421875	-0.03292528493035036	0.0
just	0	0	8	resid	20	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6558338512073865	0.0009488192471589496	0.001715747754978925	0.001715747754978925
just	0	2	4	resid	20	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5376220703125	0.001082356770833126	0.0016585402351881702	0.0016585402351881702
just	0	4	55	resid	20	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.9240234375	0.003515624999999911	0.022471910112358977	0.022471910112358977
just	0	8	68	resid	20	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.0931396484375	-0.006591796875	-0.045588856057408186	0.0
just	0	0	8	resid	21	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.65460205078125	0.002180619673295414	0.003943209752671377	0.003943209752671377
just	0	2	4	resid	21	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5389811197916665	-0.00027669270833330373	-0.0004239877292962598	0.0
just	0	4	55	resid	21	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.92275390625	0.004785156249999867	0.030586766541821863	0.030586766541821863
just	0	8	68	resid	21	utterance_final	0	prompt_without	28	27	-1.94195556640625	-2.0865478515625	-2.09375	-0.0072021484375	-0.049810046433094134	0.0
just	0	0	8	resid	22	utterance_final	0	prompt_without	27	26	-1.1037764115767046	-1.6567826704545454	-1.6546186967329546	0.0021639737215908283	0.003913108914864651	0.003913108914864651
just	0	2	4	resid	22	utterance_final	0	prompt_without	30	29	-1.8861083984375	-2.538704427083333	-2.5375244140625	0.0011800130208330373	0.0018081829631749653	0.0018081829631749653
just	0	4	55	resid	22	utterance_final	0	prompt_without	37	36	-1.77109375	-1.9275390625	-1.9197265625	0.0078125	0.04993757802746565	0.04993757802746565
