particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
just	0	5	102	resid	0	utterance_final	0	prompt_without	25	24	-2.460205078125	-2.654541015625	-2.653515625	0.0010253906250001776	0.005276381909548653	0.005276381909548653
just	0	6	57	resid	0	utterance_final	0	prompt_without	23	22	-3.2548828125	-3.5146484375	-3.51220703125	0.00244140625	0.009398496240601503	0.009398496240601503
just	0	8	128	resid	0	utterance_final	0	prompt_without	24	23	-1.8022216796875	-1.967431640625	-1.962744140625	0.004687500000000178	0.028372986552387628	0.028372986552387628
just	0	10	196	resid	0	utterance_final	0	prompt_without	52	51	-1.7451171875	-1.8740386962890625	-1.8735809326171875	0.000457763671875	0.0035507160610723162	0.0035507160610723162
just	0	5	102	resid	1	utterance_final	0	prompt_without	25	24	-2.460205078125	-2.654541015625	-2.64794921875	0.006591796875	0.03391959798994975	0.03391959798994975
just	0	6	57	resid	1	utterance_final	0	prompt_without	23	22	-3.2548828125	-3.5146484375	-3.52294921875	-0.00830078125	-0.03195488721804511	0.0
just	0	8	128	resid	1	utterance_final	0	prompt_without	24	23	-1.8022216796875	-1.967431640625	-1.9600830078125	0.007348632812500089	0.044480567459731536	0.044480567459731536
just	0	10	196	resid	1	utterance_final	0	prompt_without	52	51	-1.7451171875	-1.8740386962890625	-1.8720855712890625	0.001953125	0.015149721860575217	0.015149721860575217
just	0	5	102	resid	2	utterance_final	0	prompt_without	25	24	-2.460205078125	-2.654541015625	-2.649462890625	0.005078124999999822	0.026130653266330746	0.026130653266330746
just	0	6	57	resid	2	utterance_final	0	prompt_without	23	22	-3.2548828125	-3.5146484375	-3.51953125	-0.0048828125	-0.018796992481203006	0.0
just	0	8	128	resid	2	utterance_final	0	prompt_without	24	23	-1.8022216796875	-1.967431640625	-1.9663330078125	0.0010986328125	0.006649918723215598	0.006649918723215598
just	0	10	196	resid	2	utterance_final	0	prompt_without	52	51	-1.7451171875	-1.8740386962890625	-1.87353515625	0.0005035400390625	0.0039057876671795477	0.0039057876671795477
just	0	5	102	resid	3	utterance_final	0	prompt_without	25	24	-2.460205078125	-2.654541015625	-2.659326171875	-0.004785156250000089	-0.024623115577889904	0.0
just	0	6	57	resid	3	utterance_final	0	prompt_without	23	22	-3.2548828125	-3.5146484375	-3.52392578125	-0.00927734375	-0.03571428571428571	0.0
just	0	8	128	resid	3	utterance_final	0	prompt_without	24	23	-1.8022216796875	-1.967431640625	-1.961572265625	0.005859375	0.03546623319048319	0.03546623319048319
just	0	10	196	resid	3	utterance_final	0	prompt_without	52	51	-1.7451171875	-1.8740386962890625	-1.8665313720703125	0.00750732421875	0.05823174340158599	0.05823174340158599
just	0	5	102	resid	4	utterance_final	0	prompt_without	25	24	-2.460205078125	-2.654541015625	-2.6607421875	-0.006201171874999911	-0.03190954773869301	0.0
just	0	6	57	resid	4	utterance_final	0	prompt_without	23	22	-3.2548828125	-3.5146484375	-3.53759765625	-0.02294921875	-0.08834586466165413	0.0
just	0	8	128	resid	4	utterance_final	0	prompt_without	24	23	-1.8022216796875	-1.967431640625	-1.9664794921875	0.0009521484375001332	0.005763262893454324	0.005763262893454324
just	0	10	196	resid	4	utterance_final	0	prompt_without	52	51	-1.7451171875	-1.8740386962890625	-1.864898681640625	0.0091400146484375	0.07089596401941058	0.07089596401941058
just	0	5	102	resid	5	utterance_final	0	prompt_without	25	24	-2.460205078125	-2.654541015625	-2.657763671875	-0.0032226562500001776	-0.016582914572865235	0.0
just	0	6	57	resid	5	utterance_final	0	prompt_without	23	22	-3.2548828125	-3.5146484375	-3.5400390625	-0.025390625	-0.09774436090225563	0.0
just	0	8	128	resid	5	utterance_final	0	prompt_without	24	23	-1.8022216796875	-1.967431640625	-1.964501953125	0.0029296875	0.017733116595241596	0.017733116595241596
just	0	10	196	resid	5	utterance_final	0	prompt_without	52	51	-1.7451171875	-1.8740386962890625	-1.86895751953125	0.0050811767578125	0.03941294827790271	0.03941294827790271
