particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
not	0	122	131	resid	0	utterance_final	0	prompt_without	28	27	-1.8942057291666667	-2.1940104166666665	-2.1959635416666665	-0.001953125	-0.006514657980456031	0.0
not	0	124	9	resid	0	utterance_final	0	prompt_without	24	23	-1.2748006184895833	-2.0138956705729165	-2.0109761555989585	0.0029195149739580373	0.003950121118695922	0.003950121118695922
not	0	127	182	resid	0	utterance_final	0	prompt_without	63	62	-5.8046875	-6.07421875	-6.0703125	0.00390625	0.014492753623188406	0.014492753623188406
not	0	129	48	resid	0	utterance_final	0	prompt_without	69	68	-1.92177734375	-2.3658203125	-2.3658203125	0.0	0.0	0.0
not	0	122	131	resid	1	utterance_final	0	prompt_without	28	27	-1.8942057291666667	-2.1940104166666665	-2.1930338541666665	0.0009765625	0.0032573289902280153	0.0032573289902280153
not	0	124	9	resid	1	utterance_final	0	prompt_without	24	23	-1.2748006184895833	-2.0138956705729165	-2.0146586100260415	-0.000762939453125	-0.0010322616163840565	0.0
not	0	127	182	resid	1	utterance_final	0	prompt_without	63	62	-5.8046875	-6.07421875	-6.05078125	0.0234375	0.08695652173913043	0.08695652173913043
not	0	129	48	resid	1	utterance_final	0	prompt_without	69	68	-1.92177734375	-2.3658203125	-2.367578125	-0.0017578125000001776	-0.003958654057620811	0.0
not	0	122	131	resid	2	utterance_final	0	prompt_without	28	27	-1.8942057291666667	-2.1940104166666665	-2.1886393229166665	0.00537109375	0.017915309446254087	0.017915309446254087
not	0	124	9	resid	2	utterance_final	0	prompt_without	24	23	-1.2748006184895833	-2.0138956705729165	-2.0042012532552085	0.009694417317708037	0.013116604272186343	0.013116604272186343
not	0	127	182	resid	2	utterance_final	0	prompt_without	63	62	-5.8046875	-6.07421875	-6.04296875	0.03125	0.11594202898550725	0.11594202898550725
not	0	129	48	resid	2	utterance_final	0	prompt_without	69	68	-1.92177734375	-2.3658203125	-2.3666015625	-0.0007812500000001776	-0.0017594018033872492	0.0
not	0	122	131	resid	3	utterance_final	0	prompt_without	28	27	-1.8942057291666667	-2.1940104166666665	-2.19140625	0.0026041666666665186	0.008686210640607548	0.008686210640607548
not	0	124	9	resid	3	utterance_final	0	prompt_without	24	23	-1.2748006184895833	-2.0138956705729165	-1.9713236490885417	0.04257202148437478	0.057600198194230054	0.057600198194230054
not	0	127	182	resid	3	utterance_final	0	prompt_without	63	62	-5.8046875	-6.07421875	-5.94921875	0.125	0.463768115942029	0.463768115942029
not	0	129	48	resid	3	utterance_final	0	prompt_without	69	68	-1.92177734375	-2.3658203125	-2.361328125	0.004492187499999911	0.010116560369474182	0.010116560369474182
not	0	122	131	resid	4	utterance_final	0	prompt_without	28	27	-1.8942057291666667	-2.1940104166666665	-2.1770833333333335	0.016927083333333037	0.05646036916395128	0.05646036916395128
not	0	124	9	resid	4	utterance_final	0	prompt_without	24	23	-1.2748006184895833	-2.0138956705729165	-1.9803365071614583	0.03355916341145826	0.04540574763267993	0.04540574763267993
not	0	127	182	resid	4	utterance_final	0	prompt_without	63	62	-5.8046875	-6.07421875	-5.9765625	0.09765625	0.36231884057971014	0.36231884057971014
not	0	129	48	resid	4	utterance_final	0	prompt_without	69	68	-1.92177734375	-2.3658203125	-2.3583984375	0.007421874999999911	0.016714317132174868	0.016714317132174868
not	0	122	131	resid	5	utterance_final	0	prompt_without	28	27	-1.8942057291666667	-2.1940104166666665	-2.1658528645833335	0.028157552083333037	0.09391965255157346	0.09391965255157346
not	0	124	9	resid	5	utterance_final	0	prompt_without	24	23	-1.2748006184895833	-2.0138956705729165	-1.9795023600260417	0.03439331054687478	0.04653435366659297	0.04653435366659297
not	0	127	182	resid	5	utterance_final	0	prompt_without	63	62	-5.8046875	-6.07421875	-5.90625	0.16796875	0.6231884057971014	0.6231884057971014
not	0	129	48	resid	5	utterance_final	0	prompt_without	69	68	-1.92177734375	-2.3658203125	-2.362109375	0.0037109374999997335	0.008357158566086934	0.008357158566086934
not	0	122	131	resid	6	utterance_final	0	prompt_without	28	27	-1.8942057291666667	-2.1940104166666665	-2.15625	0.03776041666666652	0.12595005428881612	0.12595005428881612
not	0	124	9	resid	6	utterance_final	0	prompt_without	24	23	-1.2748006184895833	-2.0138956705729165	-1.9827372233072917	0.031158447265624778	0.042157564413124564	0.042157564413124564
