particle	train_fold	component	layer_index	position_label	position_order	corruption_mode	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
not	0	attn	12	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.8986916573485875	0.03204859028480452	0.07305036486032636	0.08193834639752343	27	27	restoration	0.07305036486032636
not	0	attn	7	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.9001329581792126	0.03060728945417963	0.07249867504586838	0.07475590535266662	27	27	restoration	0.07249867504586838
not	0	attn	9	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.914699922526265	0.01604032510712702	0.036356414773489824	0.04817377512787765	27	27	restoration	0.036356414773489824
not	0	attn	4	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.9219973137723296	0.00874293386106231	0.03137018011637119	0.03758853308088718	27	27	restoration	0.03137018011637119
not	0	attn	10	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.9186572365558523	0.012083011077539825	0.027941421808855216	0.03235192699497616	27	27	restoration	0.027941421808855216
not	0	attn	6	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.9224023438962172	0.008337903737175191	0.02712397002184188	0.03031655278873975	27	27	restoration	0.02712397002184188
not	0	attn	3	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.922875252190492	0.007864995442900034	0.02576162050639674	0.02822715051301862	27	27	restoration	0.02576162050639674
not	0	attn	5	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.923328130975951	0.007412116657440908	0.02061919055230832	0.02443581009497423	27	27	restoration	0.02061919055230832
not	0	attn	13	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.9242170288782496	0.006523218755142255	0.012048053128761164	0.021570730554962635	27	27	restoration	0.012048053128761164
not	0	attn	11	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.928536533968728	0.002203713664663826	0.009958024760739466	0.01631262504870665	27	27	restoration	0.009958024760739466
not	0	attn	1	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.9279433695462442	0.0027968780871480176	0.007939797028085062	0.01220262798952646	27	27	restoration	0.007939797028085062
not	0	attn	8	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.928394908320376	0.0023453393130158334	0.007625886950293502	0.021907051593260094	27	27	restoration	0.007625886950293502
not	0	attn	14	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.9284253888872875	0.0023148587461047703	0.007410674006721045	0.012487258014689848	27	27	restoration	0.007410674006721045
not	0	attn	15	utterance_final	0	prompt_without	-2.452406338875628	-2.930740247633392	-2.9291886305600667	0.0015516170733253817	0.004854471159518921	0.007061697205472595	27	27	restoration	0.004854471159518921
