particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
only	0	60	21	resid	0	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6620526994977678	-0.003326416015625	-0.010063175109798077	0.0
only	0	61	54	resid	0	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.231770833333333	-0.0035807291666660745	-0.015624999999997396	0.0
only	0	64	150	resid	0	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.34344482421875	-0.000732421875	-0.004985459077690071	0.0
only	0	65	435	resid	0	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.3521484375	0.0029296875	0.04477611940298507	0.04477611940298507
only	0	60	21	resid	1	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6539786202566964	0.004747663225446397	0.014362775484364395	0.014362775484364395
only	0	61	54	resid	1	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.220052083333333	0.008138020833333925	0.03551136363636617	0.03551136363636617
only	0	64	150	resid	1	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.3370361328125	0.00567626953125	0.03863730785209805	0.03863730785209805
only	0	65	435	resid	1	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.355859375	-0.0007812499999992895	-0.011940298507451827	0.0
only	0	60	21	resid	2	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6516374860491072	0.007088797433035587	0.021445246040014916	0.021445246040014916
only	0	61	54	resid	2	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.218098958333333	0.010091145833333925	0.04403409090909344	0.04403409090909344
only	0	64	150	resid	2	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.33624267578125	0.0064697265625	0.04403822185292896	0.04403822185292896
only	0	65	435	resid	2	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.355078125	0.0	0.0	0.0
only	0	60	21	resid	3	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6477879115513392	0.010938371930803603	0.03309109613431645	0.03309109613431645
only	0	61	54	resid	3	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.21875	0.009440104166666963	0.04119318181818306	0.04119318181818306
only	0	64	150	resid	3	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.33782958984375	0.0048828125	0.033236393851267136	0.033236393851267136
only	0	65	435	resid	3	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.3515625	0.0035156250000003553	0.05373134328358752	0.05373134328358752
only	0	60	21	resid	4	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6447971888950892	0.013929094587053603	0.04213872146239179	0.04213872146239179
only	0	61	54	resid	4	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.198893229166667	0.029296875	0.12784090909090892	0.12784090909090892
only	0	64	150	resid	4	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.32061767578125	0.0220947265625	0.1503946821769838	0.1503946821769838
only	0	65	435	resid	4	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.349609375	0.005468750000000355	0.08358208955224423	0.08358208955224423
only	0	60	21	resid	5	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.646636962890625	0.012089320591517794	0.0365729811002227	0.0365729811002227
only	0	61	54	resid	5	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.202799479166667	0.025390625	0.1107954545454544	0.1107954545454544
only	0	64	150	resid	5	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.32147216796875	0.021240234375	0.14457831325301204	0.14457831325301204
only	0	65	435	resid	5	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.34296875	0.012109375000000533	0.1850746268656798	0.1850746268656798
only	0	60	21	resid	6	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6438816615513392	0.014844621930803603	0.04490840268527199	0.04490840268527199
only	0	61	54	resid	6	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.193033854166667	0.03515625	0.15340909090909072	0.15340909090909072
only	0	64	150	resid	6	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.30804443359375	0.03466796875	0.23597839634399667	0.23597839634399667
only	0	65	435	resid	6	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.341796875	0.013281250000000355	0.2029850746268711	0.2029850746268711
only	0	60	21	resid	7	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6315264020647322	0.027199881417410587	0.08228591023595008	0.08228591023595008
only	0	61	54	resid	7	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.199869791666667	0.0283203125	0.12357954545454529	0.12357954545454529
only	0	64	150	resid	7	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.2958984375	0.04681396484375	0.3186539260490237	0.3186539260490237
only	0	65	435	resid	7	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.3404296875	0.0146484375	0.22388059701492538	0.22388059701492538
only	0	60	21	resid	8	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.64208984375	0.016636439732142794	0.05032906450719439	0.05032906450719439
only	0	61	54	resid	8	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.191731770833333	0.036458333333333925	0.15909090909091148	0.15909090909091148
only	0	64	150	resid	8	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.3011474609375	0.04156494140625	0.2829248026589115	0.2829248026589115
only	0	65	435	resid	8	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.3375	0.017578125	0.26865671641791045	0.26865671641791045
only	0	60	21	resid	9	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6443655831473214	0.014360700334821397	0.04344442832460655	0.04344442832460655
only	0	61	54	resid	9	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.1845703125	0.04361979166666696	0.19034090909091014	0.19034090909091014
only	0	64	150	resid	9	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.3089599609375	0.03375244140625	0.2297465724968841	0.2297465724968841
only	0	65	435	resid	9	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.3427734375	0.012304687500000355	0.18805970149254275	0.18805970149254275
only	0	60	21	resid	10	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6493661063058036	0.00936017717633919	0.02831669326439876	0.02831669326439876
only	0	61	54	resid	10	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.181315104166667	0.046875	0.20454545454545428	0.20454545454545428
only	0	64	150	resid	10	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.3067626953125	0.03594970703125	0.2447029497299543	0.2447029497299543
only	0	65	435	resid	10	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.345703125	0.009375000000000355	0.14328358208955766	0.14328358208955766
only	0	60	21	resid	11	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6450326102120536	0.01369367327008919	0.041426517719365064	0.041426517719365064
only	0	61	54	resid	11	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.181640625	0.04654947916666696	0.20312500000000103	0.20312500000000103
only	0	64	150	resid	11	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.3017578125	0.04095458984375	0.2787702534275031	0.2787702534275031
only	0	65	435	resid	11	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.35	0.0050781250000007105	0.07761194029851833	0.07761194029851833
only	0	60	21	resid	12	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.64013671875	0.018589564732142794	0.05623771778267216	0.05623771778267216
only	0	61	54	resid	12	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.185546875	0.04264322916666696	0.1860795454545465	0.1860795454545465
only	0	64	150	resid	12	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.30255126953125	0.0401611328125	0.2733693394266722	0.2733693394266722
only	0	65	435	resid	12	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.3515625	0.0035156250000003553	0.05373134328358752	0.05373134328358752
only	0	60	21	resid	13	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6412353515625	0.017490931919642794	0.052914100315215915	0.052914100315215915
only	0	61	54	resid	13	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.189453125	0.03873697916666696	0.169034090909092	0.169034090909092
only	0	64	150	resid	13	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.312744140625	0.02996826171875	0.20398836726215205	0.20398836726215205
only	0	65	435	resid	13	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.3498046875	0.005273437500000533	0.08059701492538128	0.08059701492538128
only	0	60	21	resid	14	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6531851632254464	0.005541120256696397	0.01676316587752724	0.01676316587752724
only	0	61	54	resid	14	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.191080729166667	0.037109375	0.16193181818181798	0.16193181818181798
only	0	64	150	resid	14	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.31982421875	0.02288818359375	0.15579559617781472	0.15579559617781472
only	0	65	435	resid	14	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.353125	0.001953125	0.029850746268656716	0.029850746268656716
only	0	60	21	resid	15	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6563633510044642	0.002362932477678603	0.007148415346671863	0.007148415346671863
only	0	61	54	resid	15	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.189453125	0.03873697916666696	0.169034090909092	0.169034090909092
only	0	64	150	resid	15	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.31817626953125	0.0245361328125	0.16701287910261736	0.16701287910261736
only	0	65	435	resid	15	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.3537109375	0.001367187500000533	0.020895522388067845	0.020895522388067845
only	0	60	21	resid	16	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6557573590959822	0.0029689243861605874	0.008981680537053996	0.008981680537053996
only	0	61	54	resid	16	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.193684895833333	0.034505208333333925	0.1505681818181842	0.1505681818181842
only	0	64	150	resid	16	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.3201904296875	0.02252197265625	0.15330286663896966	0.15330286663896966
only	0	65	435	resid	16	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.35390625	0.0011718750000007105	0.01791044776120489	0.01791044776120489
only	0	60	21	resid	17	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.65814208984375	0.0005841936383927937	0.0017673203993614627	0.0017673203993614627
only	0	61	54	resid	17	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.193033854166667	0.03515625	0.15340909090909072	0.15340909090909072
only	0	64	150	resid	17	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.32855224609375	0.01416015625	0.0963855421686747	0.0963855421686747
only	0	65	435	resid	17	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.35234375	0.0027343750000001776	0.04179104477612212	0.04179104477612212
only	0	60	21	resid	18	utterance_final	0	prompt_without	29	28	-1.3281729561941964	-1.6587262834821428	-1.6580810546875	0.0006452287946427937	0.001951965814220143	0.001951965814220143
only	0	61	54	resid	18	utterance_final	0	prompt_without	61	60	-3.9990234375	-4.228190104166667	-4.194661458333333	0.033528645833333925	0.14630681818182056	0.14630681818182056
only	0	64	150	resid	18	utterance_final	0	prompt_without	46	45	-2.19580078125	-2.34271240234375	-2.33624267578125	0.0064697265625	0.04403822185292896	0.04403822185292896
only	0	65	435	resid	18	utterance_final	0	prompt_without	64	63	-5.2896484375	-5.355078125	-5.3548828125	0.00019531250000071054	0.0029850746268765315	0.0029850746268765315
