particle	train_fold	layer_index	position_label	position_order	corruption_mode	patch_scope	onset_tokens	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
only	0	7	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.3345003853165833	0.016980063184215702	0.1551025479247709	0.16246571351099065	241	29	restoration	0.1551025479247709
only	0	8	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.335511556406844	0.015968892093954516	0.1468220203431904	0.1547594917883673	241	29	restoration	0.1468220203431904
only	0	12	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.3371659912749023	0.014314457225896362	0.13469884208600694	0.13980684950980227	241	29	restoration	0.13469884208600694
only	0	9	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.3375747695462823	0.013905678954516483	0.1325618816820903	0.14351775169421455	241	29	restoration	0.1325618816820903
only	0	10	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.337650493587362	0.013829954913436651	0.12906528101544937	0.13947968771009722	241	29	restoration	0.12906528101544937
only	0	11	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.337818099842992	0.013662348657806675	0.12771646159087446	0.13569208356522083	241	29	restoration	0.12771646159087446
only	0	6	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.3398201060856896	0.01166034241510973	0.10726503418208568	0.11353483733105069	241	29	restoration	0.10726503418208568
only	0	13	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.34233715962682	0.009143288873978576	0.08588413894446448	0.0923288437446535	241	29	restoration	0.08588413894446448
only	0	5	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.3437755900904977	0.007704858410301271	0.07406693326945124	0.0860046646625417	241	29	restoration	0.07406693326945124
only	0	14	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.345886160256975	0.005594288243824177	0.057047791263810314	0.06413876463049105	241	29	restoration	0.057047791263810314
only	0	4	utterance_final	0	prompt_without	utterance_final	1	-2.242676494814695	-2.3514804485007987	-2.3456314255658213	0.005849022934977468	0.05613925547613728	0.0694487560683895	241	29	restoration	0.05613925547613728
