particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
just	0	3	10	resid	0	utterance_final	0	prompt_without	33	32	-0.3928044725347448	-0.7069280280007256	-0.7101607499299226	-0.003232721929196991	-0.010291243279738984	0.0
just	0	5	4	resid	0	utterance_final	0	prompt_without	26	25	-0.5373304956837704	-0.9672020673751831	-0.9613776771645797	0.005824390210603436	0.013549140241319632	0.013549140241319632
just	0	7	129	resid	0	utterance_final	0	prompt_without	34	33	-0.5193182362450494	-0.6508910589747958	-0.6497520142131381	0.0011390447616577148	0.008657143154839342	0.008657143154839342
just	0	18	207	resid	0	utterance_final	0	prompt_without	54	53	-0.3636698513700251	-0.46461200086694016	-0.46496102266144335	-0.0003490217945031904	-0.003457641790299473	0.0
just	0	3	10	resid	1	utterance_final	0	prompt_without	33	32	-0.3928044725347448	-0.7069280280007256	-0.7040344565003006	0.0028935715004250184	0.009211571211629141	0.009211571211629141
just	0	5	4	resid	1	utterance_final	0	prompt_without	26	25	-0.5373304956837704	-0.9672020673751831	-0.9501210451126099	0.017081022262573242	0.03973517531146492	0.03973517531146492
just	0	7	129	resid	1	utterance_final	0	prompt_without	34	33	-0.5193182362450494	-0.6508910589747958	-0.6493245032098558	0.0015665557649400252	0.011906378022745367	0.011906378022745367
just	0	18	207	resid	1	utterance_final	0	prompt_without	54	53	-0.3636698513700251	-0.46461200086694016	-0.464703221070139	-9.12202031988496e-05	-0.0009036879406024283	0.0
just	0	3	10	resid	2	utterance_final	0	prompt_without	33	32	-0.3928044725347448	-0.7069280280007256	-0.7020591806482386	0.004868847352487049	0.015499784297501812	0.015499784297501812
just	0	5	4	resid	2	utterance_final	0	prompt_without	26	25	-0.5373304956837704	-0.9672020673751831	-0.9531241529866269	0.014077914388556212	0.03274911698199521	0.03274911698199521
