particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
not	0	122	73	resid	0	utterance_final	0	prompt_without	29	28	-0.4875379034451076	-1.7351864661489214	-1.7314095156533378	0.0037769504955835753	0.0030272551169364887	0.0030272551169364887
not	0	124	1	resid	0	utterance_final	0	prompt_without	25	24	-0.49492383003234863	-2.7977982838948567	-2.7979586283365885	-0.00016034444173174123	-6.962795625389073e-05	0.0
not	0	133	197	resid	0	utterance_final	0	prompt_without	50	49	-0.6861604635532086	-1.6139427515176625	-1.6165566719495332	-0.0026139204318706977	-0.0028173855717871224	0.0
not	0	134	116	resid	0	utterance_final	0	prompt_without	45	44	-0.7970086511443643	-1.7582361698150635	-1.748739175936755	0.00949699387830849	0.009880068655797613	0.009880068655797613
not	0	122	73	resid	1	utterance_final	0	prompt_without	29	28	-0.4875379034451076	-1.7351864661489214	-1.748636245727539	-0.013449779578617704	-0.010780102651238835	0.0
not	0	124	1	resid	1	utterance_final	0	prompt_without	25	24	-0.49492383003234863	-2.7977982838948567	-2.7730305353800455	0.024767748514811228	0.010755144933441506	0.010755144933441506
not	0	133	197	resid	1	utterance_final	0	prompt_without	50	49	-0.6861604635532086	-1.6139427515176625	-1.6142268089147715	-0.00028405739710901656	-0.0003061681612097122	0.0
not	0	134	116	resid	1	utterance_final	0	prompt_without	45	44	-0.7970086511443643	-1.7582361698150635	-1.6785706106354208	0.07966555917964269	0.08287898300062589	0.08287898300062589
not	0	122	73	resid	2	utterance_final	0	prompt_without	29	28	-0.4875379034451076	-1.7351864661489214	-1.7586653232574463	-0.02347885710852493	-0.01881848607883878	0.0
not	0	124	1	resid	2	utterance_final	0	prompt_without	25	24	-0.49492383003234863	-2.7977982838948567	-2.74079958597819	0.056998697916666785	0.02475110956268824	0.02475110956268824
not	0	133	197	resid	2	utterance_final	0	prompt_without	50	49	-0.6861604635532086	-1.6139427515176625	-1.6176482897538405	-0.0037055382361779188	-0.003993973892633623	0.0
not	0	134	116	resid	2	utterance_final	0	prompt_without	45	44	-0.7970086511443643	-1.7582361698150635	-1.6032500547521256	0.1549861150629379	0.161237700807059	0.161237700807059
not	0	122	73	resid	3	utterance_final	0	prompt_without	29	28	-0.4875379034451076	-1.7351864661489214	-1.6989122799464635	0.036274186202457814	0.02907404159056379	0.02907404159056379
not	0	124	1	resid	3	utterance_final	0	prompt_without	25	24	-0.49492383003234863	-2.7977982838948567	-2.5080636660257976	0.2897346178690592	0.12581433494261934	0.12581433494261934
not	0	133	197	resid	3	utterance_final	0	prompt_without	50	49	-0.6861604635532086	-1.6139427515176625	-1.624211916556725	-0.0102691650390625	-0.011068507312844866	0.0
not	0	134	116	resid	3	utterance_final	0	prompt_without	45	44	-0.7970086511443643	-1.7582361698150635	-0.848804277532241	0.9094318922828225	0.9461151232337731	0.9461151232337731
not	0	122	73	resid	4	utterance_final	0	prompt_without	29	28	-0.4875379034451076	-1.7351864661489214	-1.6595683693885803	0.07561809676034104	0.06060849106135062	0.06060849106135062
not	0	124	1	resid	4	utterance_final	0	prompt_without	25	24	-0.49492383003234863	-2.7977982838948567	-2.1677539666493733	0.6300443172454835	0.2735903888241664	0.2735903888241664
not	0	133	197	resid	4	utterance_final	0	prompt_without	50	49	-0.6861604635532086	-1.6139427515176625	-1.6236848739477305	-0.009742122430068001	-0.010500440196419497	0.0
not	0	134	116	resid	4	utterance_final	0	prompt_without	45	44	-0.7970086511443643	-1.7582361698150635	-0.8439592719078064	0.9142768979072571	0.9511555590622591	0.9511555590622591
not	0	122	73	resid	5	utterance_final	0	prompt_without	29	28	-0.4875379034451076	-1.7351864661489214	-1.4706924642835344	0.26449400186538696	0.21199399395948063	0.21199399395948063
not	0	124	1	resid	5	utterance_final	0	prompt_without	25	24	-0.49492383003234863	-2.7977982838948567	-1.831181319554647	0.9666169643402098	0.41974366545208164	0.41974366545208164
not	0	133	197	resid	5	utterance_final	0	prompt_without	50	49	-0.6861604635532086	-1.6139427515176625	-1.644151577582726	-0.030208826065063477	-0.032560253043137276	0.0
not	0	134	116	resid	5	utterance_final	0	prompt_without	45	44	-0.7970086511443643	-1.7582361698150635	-0.8312145646880654	0.927021605126998	0.964414342203805	0.964414342203805
not	0	122	73	resid	6	utterance_final	0	prompt_without	29	28	-0.4875379034451076	-1.7351864661489214	-1.3002001643180847	0.43498630183083664	0.3486448947515844	0.3486448947515844
not	0	124	1	resid	6	utterance_final	0	prompt_without	25	24	-0.49492383003234863	-2.7977982838948567	-1.672691774368286	1.1251065095265707	0.4885661515934922	0.4885661515934922
not	0	133	197	resid	6	utterance_final	0	prompt_without	50	49	-0.6861604635532086	-1.6139427515176625	-1.636147746672997	-0.022204995155334473	-0.023933411365345242	0.0
not	0	134	116	resid	6	utterance_final	0	prompt_without	45	44	-0.7970086511443643	-1.7582361698150635	-0.8386150212848887	0.9196211485301747	0.9567153776474661	0.9567153776474661
not	0	122	73	resid	7	utterance_final	0	prompt_without	29	28	-0.4875379034451076	-1.7351864661489214	-1.217355830328805	0.5178306358201163	0.41504527099996114	0.41504527099996114
not	0	124	1	resid	7	utterance_final	0	prompt_without	25	24	-0.49492383003234863	-2.7977982838948567	-1.5012147744496664	1.2965835094451903	0.5630283089338582	0.5630283089338582
not	0	133	197	resid	7	utterance_final	0	prompt_without	50	49	-0.6861604635532086	-1.6139427515176625	-1.635340167925908	-0.02139741640824555	-0.023062971438257668	0.0
not	0	134	116	resid	7	utterance_final	0	prompt_without	45	44	-0.7970086511443643	-1.7582361698150635	-0.8977640130940605	0.860472156721003	0.8951805269900794	0.8951805269900794
not	0	122	73	resid	8	utterance_final	0	prompt_without	29	28	-0.4875379034451076	-1.7351864661489214	-1.1231004766055517	0.6120859895433697	0.4905916680710963	0.4905916680710963
not	0	124	1	resid	8	utterance_final	0	prompt_without	25	24	-0.49492383003234863	-2.7977982838948567	-1.6300262610117595	1.1677720228830972	0.5070932203553022	0.5070932203553022
not	0	133	197	resid	8	utterance_final	0	prompt_without	50	49	-0.6861604635532086	-1.6139427515176625	-1.6179357492006743	-0.003992997683011756	-0.004303808915960616	0.0
not	0	134	116	resid	8	utterance_final	0	prompt_without	45	44	-0.7970086511443643	-1.7582361698150635	-0.9309625871041242	0.8272735827109393	0.8606428412026661	0.8606428412026661
