particle	train_fold	component	layer_index	position_label	position_order	corruption_mode	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
only	0	attn	6	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.120345038394915	0.05129716322451816	0.1486724467569215	0.1486724467569215	12	12	restoration	0.1486724467569215
only	0	attn	7	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1066876718964367	0.0649545297229964	0.1376007268176832	0.1393393089642733	12	12	restoration	0.1376007268176832
only	0	attn	3	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1423320408542803	0.029310160765152717	0.09642472460253453	0.09642472460253453	12	12	restoration	0.09642472460253453
only	0	attn	12	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.129108956469546	0.04253324514988698	0.0811427927355488	0.0811427927355488	12	12	restoration	0.0811427927355488
only	0	attn	5	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1475011176324559	0.02414108398697723	0.08104502171555845	0.08227144629274548	12	12	restoration	0.08104502171555845
only	0	attn	4	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.15646899964261	0.015173201976822934	0.05809415578165206	0.0601896106503323	12	12	restoration	0.05809415578165206
only	0	attn	13	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1593405614341485	0.012301640185284434	0.030777225485133553	0.034293639957016606	12	12	restoration	0.030777225485133553
only	0	attn	2	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1672360951079137	0.00440610651151944	0.0189599598300781	0.019786400269477592	12	12	restoration	0.0189599598300781
only	0	attn	11	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1726240527030425	-0.0009818510836095556	0.01689609923627027	0.031225391448811094	12	12	restoration	0.01689609923627027
only	0	attn	1	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1681099602435892	0.003532241375843903	0.014750846944120587	0.016014420432421912	12	12	restoration	0.014750846944120587
only	0	attn	10	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1710643865967418	0.0005778150226912193	0.010873024578720893	0.03174205934002219	12	12	restoration	0.010873024578720893
only	0	attn	16	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.16847362984902	0.003168571770413029	0.008580712578003384	0.010248423713176559	12	12	restoration	0.008580712578003384
only	0	attn	9	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1710757333610617	0.0005664682583713573	0.003798976250946532	0.027363860952924198	12	12	restoration	0.003798976250946532
only	0	attn	15	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1708436834694391	0.0007985181499938765	0.0032210046617119586	0.005849638285341671	12	12	restoration	0.0032210046617119586
only	0	attn	0	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1709492759075166	0.0006929257119164626	0.003198721125259213	0.005257694969911683	12	12	restoration	0.003198721125259213
only	0	attn	28	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1716611248961941	-1.8923276761044033e-05	0.003049180949903059	0.004275779733258644	12	12	restoration	0.003049180949903059
only	0	attn	19	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1715533581619544	8.884345747871743e-05	0.0026245074976785974	0.004292132032704802	12	12	restoration	0.0026245074976785974
only	0	attn	18	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.170866253414719	0.0007759482047140775	0.002309500575407567	0.004309154513438063	12	12	restoration	0.002309500575407567
only	0	attn	21	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1714186479818012	0.00022355363763186994	0.0019153899990166756	0.0024373962272353014	12	12	restoration	0.0019153899990166756
only	0	attn	17	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1710584909357058	0.0005837106837272427	0.0018013292643693434	0.003839200168420424	12	12	restoration	0.0018013292643693434
only	0	attn	26	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1718315568370385	-0.00018935521760561624	0.0012356502213692244	0.0020756125088515257	12	12	restoration	0.0012356502213692244
only	0	attn	23	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1717694889095347	-0.00012728729010177964	0.0011708976681450106	0.0022317235490125604	12	12	restoration	0.0011708976681450106
only	0	attn	22	utterance_final	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1717138142440413	-7.161262460830357e-05	0.0009041911784894015	0.0014214676015115158	12	12	restoration	0.0009041911784894015
