particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
only	0	70	0	resid	0	utterance_final_lexical	0	prompt_without	25	24	-0.493923030401531	-1.8144401249132658	-1.8150763888108103	-0.0006362638975445645	-0.0004818293532048708	0.0
only	0	73	79	resid	0	utterance_final_lexical	0	prompt_without	50	49	-0.9637374639511108	-1.3635789632797242	-1.3746428728103637	-0.011063909530639515	-0.027670738403135442	0.0
only	0	79	187	resid	0	utterance_final_lexical	0	prompt_without	59	58	-0.439006154026304	-0.6813490305628095	-0.6820383455072131	-0.0006893149444036073	-0.002844378816720746	0.0
only	0	80	21	resid	0	utterance_final_lexical	0	prompt_without	48	47	-0.46306911536625456	-1.0951815758432661	-1.095983854361943	-0.0008022785186767578	-0.0012692021892296405	0.0
only	0	70	0	resid	1	utterance_final_lexical	0	prompt_without	25	24	-0.493923030401531	-1.8144401249132658	-1.814528465270996	-8.83403577303099e-05	-6.689830680531555e-05	0.0
only	0	73	79	resid	1	utterance_final_lexical	0	prompt_without	50	49	-0.9637374639511108	-1.3635789632797242	-1.3557611584663392	0.00781780481338501	0.01955225964916632	0.01955225964916632
only	0	79	187	resid	1	utterance_final_lexical	0	prompt_without	59	58	-0.439006154026304	-0.6813490305628095	-0.6814332817281995	-8.425116539001465e-05	-0.0003476527414137688	0.0
only	0	80	21	resid	1	utterance_final_lexical	0	prompt_without	48	47	-0.46306911536625456	-1.0951815758432661	-1.086603922503335	0.008577653339931102	0.013569821631831366	0.013569821631831366
only	0	70	0	resid	2	utterance_final_lexical	0	prompt_without	25	24	-0.493923030401531	-1.8144401249132658	-1.8139408011185496	0.0004993237947161777	0.00037812747505612884	0.00037812747505612884
only	0	73	79	resid	2	utterance_final_lexical	0	prompt_without	50	49	-0.9637374639511108	-1.3635789632797242	-1.3519694805145264	0.011609482765197798	0.029035212164549334	0.029035212164549334
only	0	79	187	resid	2	utterance_final_lexical	0	prompt_without	59	58	-0.439006154026304	-0.6813490305628095	-0.6824567488261631	-0.001107718263353652	-0.004570871977690625	0.0
only	0	80	21	resid	2	utterance_final_lexical	0	prompt_without	48	47	-0.46306911536625456	-1.0951815758432661	-1.0464999760900224	0.04868159975324371	0.07701414352203573	0.07701414352203573
only	0	70	0	resid	3	utterance_final_lexical	0	prompt_without	25	24	-0.493923030401531	-1.8144401249132658	-1.8125399162894802	0.001900208623785593	0.0014389882809417178	0.0014389882809417178
only	0	73	79	resid	3	utterance_final_lexical	0	prompt_without	50	49	-0.9637374639511108	-1.3635789632797242	-1.3331451416015625	0.030433821678161666	0.07611471477889131	0.07611471477889131
only	0	79	187	resid	3	utterance_final_lexical	0	prompt_without	59	58	-0.439006154026304	-0.6813490305628095	-0.681841275521687	-0.0004922449588775635	-0.0020311921931132717	0.0
only	0	80	21	resid	3	utterance_final_lexical	0	prompt_without	48	47	-0.46306911536625456	-1.0951815758432661	-1.0001963036400932	0.09498527220317299	0.15026641324471623	0.15026641324471623
only	0	70	0	resid	4	utterance_final_lexical	0	prompt_without	25	24	-0.493923030401531	-1.8144401249132658	-1.8136268728657772	0.0008132520474886107	0.0006158587805251496	0.0006158587805251496
only	0	73	79	resid	4	utterance_final_lexical	0	prompt_without	50	49	-0.9637374639511108	-1.3635789632797242	-1.3419854521751404	0.02159351110458374	0.05400517740365143	0.05400517740365143
only	0	79	187	resid	4	utterance_final_lexical	0	prompt_without	59	58	-0.439006154026304	-0.6813490305628095	-0.6815065230642047	-0.00015749250139518445	-0.0006498746884827887	0.0
only	0	80	21	resid	4	utterance_final_lexical	0	prompt_without	48	47	-0.46306911536625456	-1.0951815758432661	-0.989176162651607	0.10600541319165913	0.16770024294674424	0.16770024294674424
only	0	70	0	resid	5	utterance_final_lexical	0	prompt_without	25	24	-0.493923030401531	-1.8144401249132658	-1.8084976924093146	0.005942432503951212	0.0045000799525040935	0.0045000799525040935
only	0	73	79	resid	5	utterance_final_lexical	0	prompt_without	50	49	-0.9637374639511108	-1.3635789632797242	-1.3088544845581054	0.054724478721618786	0.13686542996039283	0.13686542996039283
only	0	79	187	resid	5	utterance_final_lexical	0	prompt_without	59	58	-0.439006154026304	-0.6813490305628095	-0.6775786834103721	0.0037703471524374033	0.015557903769741935	0.015557903769741935
only	0	80	21	resid	5	utterance_final_lexical	0	prompt_without	48	47	-0.46306911536625456	-1.0951815758432661	-0.93253983770098	0.1626417381422861	0.2572987376637879	0.2572987376637879
only	0	70	0	resid	6	utterance_final_lexical	0	prompt_without	25	24	-0.493923030401531	-1.8144401249132658	-1.7899451067573147	0.02449501815595112	0.0185495653617481	0.0185495653617481
only	0	73	79	resid	6	utterance_final_lexical	0	prompt_without	50	49	-0.9637374639511108	-1.3635789632797242	-1.237915575504303	0.1256633877754212	0.3142830046066419	0.3142830046066419
only	0	79	187	resid	6	utterance_final_lexical	0	prompt_without	59	58	-0.439006154026304	-0.6813490305628095	-0.6722975926739829	0.009051437888826563	0.03734971713708735	0.03734971713708735
only	0	80	21	resid	6	utterance_final_lexical	0	prompt_without	48	47	-0.46306911536625456	-1.0951815758432661	-0.811965457030705	0.28321611881256115	0.4480470430828677	0.4480470430828677
only	0	70	0	resid	7	utterance_final_lexical	0	prompt_without	25	24	-0.493923030401531	-1.8144401249132658	-1.7936911331979852	0.02074899171528055	0.015712777821291705	0.015712777821291705
only	0	73	79	resid	7	utterance_final_lexical	0	prompt_without	50	49	-0.9637374639511108	-1.3635789632797242	-1.1942063450813294	0.16937261819839478	0.42359939746823116	0.42359939746823116
only	0	79	187	resid	7	utterance_final_lexical	0	prompt_without	59	58	-0.439006154026304	-0.6813490305628095	-0.6645770796707698	0.016771950892039644	0.06920752584825075	0.06920752584825075
only	0	80	21	resid	7	utterance_final_lexical	0	prompt_without	48	47	-0.46306911536625456	-1.0951815758432661	-0.6839179056031364	0.4112636702401298	0.6506178820296905	0.6506178820296905
only	0	70	0	resid	8	utterance_final_lexical	0	prompt_without	25	24	-0.493923030401531	-1.8144401249132658	-1.796498788030524	0.017941336882741687	0.013586599489933564	0.013586599489933564
only	0	73	79	resid	8	utterance_final_lexical	0	prompt_without	50	49	-0.9637374639511108	-1.3635789632797242	-1.1816099524497985	0.18196901082992567	0.4551028623478945	0.4551028623478945
