particle	train_fold	component	layer_index	position_label	position_order	corruption_mode	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
not	0	attn	6	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-1.9891354214124033	0.08309134902981735	0.0665651224551396	0.06733317814105914	9	9	restoration	0.0665651224551396
not	0	attn	4	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0026900200924587	0.06953675034976206	0.055777786746907046	0.057110482274752364	9	9	restoration	0.055777786746907046
not	0	attn	7	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-1.9805285196158242	0.09169825082639674	0.05234265937839591	0.052762236370354355	9	9	restoration	0.05234265937839591
not	0	attn	3	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-1.9867519281742452	0.0854748422679757	0.051310582550465944	0.051866628058374095	9	9	restoration	0.051310582550465944
not	0	attn	1	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0140924016577673	0.05813436878445339	0.04805554269106975	0.05006624103886641	9	9	restoration	0.04805554269106975
not	0	attn	5	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.027940045970655	0.04428672447156565	0.03857286990525474	0.040664341188034574	9	9	restoration	0.03857286990525474
not	0	attn	8	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-1.9990564021879769	0.07317036825424385	0.03534810648732559	0.04622615476364159	9	9	restoration	0.03534810648732559
not	0	attn	2	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.028949101417699	0.04327766902452193	0.03297745130652062	0.033585691458270464	9	9	restoration	0.03297745130652062
not	0	attn	9	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0524296591396736	0.019797111302547146	0.018104037452551958	0.021559151145933167	9	9	restoration	0.018104037452551958
not	0	attn	11	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0468186240971455	0.025408146345075315	0.01585861089849105	0.01738107991922586	9	9	restoration	0.01585861089849105
not	0	attn	12	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0542735559430643	0.017953214499156274	0.012868687785086265	0.013355678371562865	9	9	restoration	0.012868687785086265
not	0	attn	0	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.061407028292505	0.010819742149715088	0.009437125354413696	0.009746017219493457	9	9	restoration	0.009437125354413696
not	0	attn	13	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0570007924626443	0.015225977979576168	0.008714537981704695	0.009301548476425734	9	9	restoration	0.008714537981704695
not	0	attn	10	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.062185756487734	0.010041013954486248	0.007578891561929773	0.009351207887440583	9	9	restoration	0.007578891561929773
not	0	attn	15	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0659770676993747	0.006249702742845901	0.0037886031238589337	0.004004687392821641	9	9	restoration	0.0037886031238589337
not	0	attn	17	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.069409816908042	0.0028169535341788293	0.0021225926151980886	0.002319863035289567	9	9	restoration	0.0021225926151980886
not	0	attn	14	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.069444287393384	0.002782483048836585	0.002060400822667635	0.0030083092757559886	9	9	restoration	0.002060400822667635
not	0	attn	16	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0689847421734573	0.0032420282687631494	0.0018544784654431236	0.0018544784654431236	9	9	restoration	0.0018544784654431236
not	0	attn	18	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.070648928901078	0.001577841541142439	0.0012803649620555771	0.0013775999517027014	9	9	restoration	0.0012803649620555771
not	0	attn	20	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0707301620209084	0.0014966084213121375	0.0010896835370199378	0.0013917702765328123	9	9	restoration	0.0010896835370199378
not	0	attn	21	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0712847959307203	0.0009419745115005022	0.0006004163173695931	0.000980895615007864	9	9	restoration	0.0006004163173695931
not	0	attn	29	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.071320388837947	0.0009063816042740561	0.00021797232586203	0.0006416856983064728	9	9	restoration	0.00021797232586203
not	0	attn	27	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.071740685915836	0.00048608452638518627	0.0002117987156325979	0.00048368663017365126	9	9	restoration	0.0002117987156325979
not	0	attn	23	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0717476501685845	0.00047912027363608247	0.00016579359341115758	0.0005043687062979217	9	9	restoration	0.00016579359341115758
not	0	attn	26	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.071849523776603	0.0003772466656177685	4.119935895150108e-05	0.00043925658461937446	9	9	restoration	4.119935895150108e-05
not	0	attn	25	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0719251207738214	0.0003016496683993693	9.706975022038849e-06	0.0005083771531746173	9	9	restoration	9.706975022038849e-06
not	0	attn	31	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.072226770442221	0.0	0.0	0.0	9	9	restoration	0.0
not	0	attn	24	utterance_final_lexical	0	prompt_without	-0.5876698419912347	-2.072226770442221	-2.0722511530199035	-2.4382577682804632e-05	-9.412176749274068e-05	0.00035330319751505977	9	9	restoration	-9.412176749274068e-05
