particle	train_fold	component	layer_index	position_label	position_order	corruption_mode	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
only	0	attn	6	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1459155830485315	0.02572661857090161	0.09363665586415575	0.09766202779450427	12	12	restoration	0.09363665586415575
only	0	attn	7	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1140827228206809	0.05755947879875212	0.09249574698792444	0.09618388786765579	12	12	restoration	0.09249574698792444
only	0	attn	5	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1483773704674594	0.023264831151973694	0.06546440468510835	0.06546440468510835	12	12	restoration	0.06546440468510835
only	0	attn	3	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.158672110492216	0.012970091127217009	0.04947661402240495	0.05519037439976623	12	12	restoration	0.04947661402240495
only	0	attn	11	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1551701502650633	0.016472051354369754	0.04099179029429722	0.04273969056381125	12	12	restoration	0.04099179029429722
only	0	attn	1	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1632948573138853	0.008347344305547844	0.03636524743119027	0.039272715665826234	12	12	restoration	0.03636524743119027
only	0	attn	2	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1598012031724896	0.011840998446943493	0.036089175938579944	0.04591560931517564	12	12	restoration	0.036089175938579944
only	0	attn	4	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1742777234844002	-0.002635521864967072	0.021283904121187833	0.034150485077227816	12	12	restoration	0.021283904121187833
only	0	attn	10	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1563987637669424	0.015243437852490674	0.018849551916392975	0.026447328312279746	12	12	restoration	0.018849551916392975
only	0	attn	13	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1662408826006507	0.00540131901878214	0.012167727819824609	0.01388578832806031	12	12	restoration	0.012167727819824609
only	0	attn	9	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1645960328130778	0.007046168806355164	0.011872050661127167	0.017570884134555192	12	12	restoration	0.011872050661127167
only	0	attn	16	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1715271118079416	0.00011508981149163655	0.004238509542310619	0.005504691260114241	12	12	restoration	0.004238509542310619
only	0	attn	17	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1714116769054141	0.0002305247140188584	0.0032795308458140244	0.004816081633931636	12	12	restoration	0.0032795308458140244
only	0	attn	0	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1713497076128765	0.00029249400655659286	0.0028653879826541534	0.005952611424502521	12	12	restoration	0.0028653879826541534
only	0	attn	14	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.171047831487195	0.0005943701322379119	0.0023645033447890246	0.006460838423844108	12	12	restoration	0.0023645033447890246
only	0	attn	15	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.171736763487117	-9.456186768391772e-05	0.00170530764463851	0.004307358107734261	12	12	restoration	0.00170530764463851
only	0	attn	24	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1719348145633457	-0.00029261294391250137	0.0013908524293251125	0.0023899793746461526	12	12	restoration	0.0013908524293251125
only	0	attn	19	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1725003043636772	-0.0008581027442441611	0.0013536615348543942	0.0035464876229054977	12	12	restoration	0.0013536615348543942
only	0	attn	28	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.171498733468033	0.0001434681514001316	0.0013149641152291256	0.002130887732721209	12	12	restoration	0.0013149641152291256
only	0	attn	27	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1716312594801825	1.0942139250379642e-05	0.0009643779468596422	0.0016636239556094574	12	12	restoration	0.0009643779468596422
only	0	attn	21	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1720898360501952	-0.0004476344307622661	0.0009636096942795464	0.0031425715964786484	12	12	restoration	0.0009636096942795464
only	0	attn	26	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1719306560850156	-0.0002884544655825753	0.0007596500019028254	0.002262379385953119	12	12	restoration	0.0007596500019028254
only	0	attn	20	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1719708764210315	-0.0003286748015983859	0.0005431158659887112	0.00325242210994997	12	12	restoration	0.0005431158659887112
only	0	attn	18	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1717140891953666	-7.18875759336222e-05	0.00018293501397738474	0.0017854297496933513	12	12	restoration	0.00018293501397738474
only	0	attn	30	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1717834807463134	-0.00014127912688039848	9.893129462162124e-05	0.0005806931645911045	12	12	restoration	9.893129462162124e-05
only	0	attn	31	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.171642201619433	0.0	0.0	0.0	12	12	restoration	0.0
only	0	attn	29	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.17161392635463	2.8275264803021005e-05	-0.00037987479581078477	0.0010806866453297588	12	12	restoration	-0.00037987479581078477
only	0	attn	23	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.172243509113197	-0.0006013074937640805	-0.0008475373102800558	0.0012041949082123558	12	12	restoration	-0.0008475373102800558
only	0	attn	22	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.172150043157764	-0.0005078415383308934	-0.001040951280212082	0.0010187863766544986	12	12	restoration	-0.001040951280212082
only	0	attn	25	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1720586249485794	-0.00041642332914636204	-0.001869295923408111	0.0006952436659948435	12	12	restoration	-0.001869295923408111
only	0	attn	12	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1774458134403025	-0.005803611820869641	-0.010656112082720643	0.008267982559939928	12	12	restoration	-0.010656112082720643
only	0	attn	8	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1721818713731067	-0.000539669753673667	-0.015047043807754984	0.017341680727313184	12	12	restoration	-0.015047043807754984
only	0	mlp	6	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1551365352875267	0.016505666331906435	0.06827065061847505	0.08214389123672054	12	12	restoration	0.06827065061847505
only	0	mlp	3	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1662081648650457	0.005434036754387278	0.03383506157076507	0.04290722608119676	12	12	restoration	0.03383506157076507
only	0	mlp	2	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1718273715812455	-0.00018516996181244805	0.011830519307668966	0.020868300467478073	12	12	restoration	0.011830519307668966
only	0	mlp	5	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1777247451609931	-0.006082543541559941	0.011065709064312876	0.04990227795081851	12	12	restoration	0.011065709064312876
only	0	mlp	9	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1709785854425092	0.0006636161769237361	0.008401993555647849	0.03929945769627643	12	12	restoration	0.008401993555647849
only	0	mlp	1	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.173150436652482	-0.0015082350330489537	0.007854384476584587	0.01736504870538745	12	12	restoration	0.007854384476584587
only	0	mlp	16	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1693861605995686	0.0022560410198644806	0.006282073042912812	0.007977632190750112	12	12	restoration	0.006282073042912812
only	0	mlp	17	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1714499118220145	0.00019228979741853688	0.0053607806416279555	0.008282860665643186	12	12	restoration	0.0053607806416279555
only	0	mlp	4	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1804425662762303	-0.008800364656797325	0.003086336174927281	0.042909489315065476	12	12	restoration	0.003086336174927281
only	0	mlp	27	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1715595785194248	8.262310000825557e-05	0.0018526478631968816	0.00250620606992237	12	12	restoration	0.0018526478631968816
only	0	mlp	0	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1716282760430985	1.392557633464464e-05	0.001677945010595036	0.004614590135024439	12	12	restoration	0.001677945010595036
only	0	mlp	24	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.171645861837261	-3.6602178279896793e-06	0.001540472103497897	0.002735852501089602	12	12	restoration	0.001540472103497897
only	0	mlp	19	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1717225878705122	-8.038625107913606e-05	0.0013702535097786554	0.0035808918911150456	12	12	restoration	0.0013702535097786554
only	0	mlp	28	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1717675812206811	-0.00012537960124821743	0.0006612011771755118	0.0014946296813175232	12	12	restoration	0.0006612011771755118
only	0	mlp	15	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1720970038815357	-0.0004548022621028251	0.0006262415916370688	0.0025446096150206483	12	12	restoration	0.0006262415916370688
only	0	mlp	26	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1718570321557498	-0.00021483053631674945	0.000530088495389339	0.002540725693994521	12	12	restoration	0.000530088495389339
only	0	mlp	11	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.170274279469899	0.0013679221495338973	0.00037778880275219615	0.025998723191836322	12	12	restoration	0.00037778880275219615
only	0	mlp	23	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1720900980770936	-0.00044789645766064406	0.00016469761417114013	0.0020397419657860326	12	12	restoration	0.00016469761417114013
only	0	mlp	25	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1719176763344186	-0.0002754747149856703	1.921116799331561e-06	0.0016706074380318367	12	12	restoration	1.921116799331561e-06
only	0	mlp	31	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.171642201619433	0.0	0.0	0.0	12	12	restoration	0.0
only	0	mlp	22	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1721671328074266	-0.0005249311879934604	-0.00021631260925338483	0.0025766566392449153	12	12	restoration	-0.00021631260925338483
only	0	mlp	29	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1716298943373005	1.2307282132547245e-05	-0.0005161247668280314	0.0019419509198547041	12	12	restoration	-0.0005161247668280314
only	0	mlp	21	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1726574679600228	-0.001015266340589673	-0.0005428308627784684	0.002744948393781072	12	12	restoration	-0.0005428308627784684
only	0	mlp	30	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.171997806569025	-0.0003556049495919607	-0.000998195494776103	0.0004326026654582547	12	12	restoration	-0.000998195494776103
only	0	mlp	14	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1712959579703826	0.0003462436490504345	-0.0011143473672230158	0.0067690847327808055	12	12	restoration	-0.0011143473672230158
only	0	mlp	20	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1719778398673268	-0.000335638247893751	-0.0011886606568685028	0.001470301538589691	12	12	restoration	-0.0011886606568685028
only	0	mlp	13	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.172593182477781	-0.0009509808583481882	-0.003069787942565185	0.005968660318042499	12	12	restoration	-0.003069787942565185
only	0	mlp	8	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.167928484474305	0.003713717145128021	-0.004788466243633635	0.03537958818533415	12	12	restoration	-0.004788466243633635
only	0	mlp	18	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.173625555432859	-0.0019833538134258802	-0.004994121716900112	0.0022200696017642993	12	12	restoration	-0.004994121716900112
only	0	mlp	7	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1699675231231943	0.0016746784962387805	-0.026126785397078855	0.02599839682772863	12	12	restoration	-0.026126785397078855
only	0	mlp	12	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1851221759340853	-0.01347997431465225	-0.03830199556796682	0.005167260060182275	12	12	restoration	-0.03830199556796682
only	0	mlp	10	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.1839226292185954	-0.012280427599162374	-0.05042894703138238	0.013465231649017034	12	12	restoration	-0.05042894703138238
only	0	resid	7	utterance_final_lexical	0	prompt_without	-0.7853885656082417	-1.171642201619433	-1.0662851612779258	0.10535704034150715	0.2686879403388586	0.2788031896646243	12	12	restoration	0.2686879403388586
