transfer_label	site_source	evaluation_target	train_fold	component	top_k	selected_layers
exclusive_just_to_only	exclusive_just	only	0	attn	1	4
exclusive_just_to_only	exclusive_just	only	0	attn	3	4,6,5
exclusive_just_to_only	exclusive_just	only	0	attn	5	4,6,5,9,12
exclusive_just_to_only	exclusive_just	only	0	attn	10	4,6,5,9,12,7,10,3,1,11
exclusive_just_to_only	exclusive_just	only	1	attn	1	4
exclusive_just_to_only	exclusive_just	only	1	attn	3	4,6,5
exclusive_just_to_only	exclusive_just	only	1	attn	5	4,6,5,7,1
exclusive_just_to_only	exclusive_just	only	1	attn	10	4,6,5,7,1,12,11,10,9,8
exclusive_just_to_only	exclusive_just	only	0	mlp	1	7
exclusive_just_to_only	exclusive_just	only	0	mlp	3	7,6,4
exclusive_just_to_only	exclusive_just	only	0	mlp	5	7,6,4,8,3
exclusive_just_to_only	exclusive_just	only	0	mlp	10	7,6,4,8,3,9,1,5,10,12
exclusive_just_to_only	exclusive_just	only	1	mlp	1	6
exclusive_just_to_only	exclusive_just	only	1	mlp	3	6,9,4
exclusive_just_to_only	exclusive_just	only	1	mlp	5	6,9,4,3,1
exclusive_just_to_only	exclusive_just	only	1	mlp	10	6,9,4,3,1,5,23,11,26,21
exclusive_just_to_only	exclusive_just	only	0	resid	1	7
exclusive_just_to_only	exclusive_just	only	0	resid	3	7,6,8
exclusive_just_to_only	exclusive_just	only	0	resid	5	7,6,8,9,10
exclusive_just_to_only	exclusive_just	only	0	resid	10	7,6,8,9,10,11,12,5,4,13
exclusive_just_to_only	exclusive_just	only	1	resid	1	8
exclusive_just_to_only	exclusive_just	only	1	resid	3	8,9,6
exclusive_just_to_only	exclusive_just	only	1	resid	5	8,9,6,7,10
exclusive_just_to_only	exclusive_just	only	1	resid	10	8,9,6,7,10,11,12,5,4,13
