particle	train_fold	component	layer_index	position_label	position_order	corruption_mode	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
only	0	attn	12	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.1887172560904873	0.0404193351461675	0.1029607476908523	0.1029607476908523	16	16	restoration	0.1029607476908523
only	0	attn	6	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.177151546352908	0.0519850448837467	0.0836272224059121	0.0836272224059121	16	16	restoration	0.0836272224059121
only	0	attn	7	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.1893128075814643	0.0398237836551902	0.0628741595396555	0.0628741595396555	16	16	restoration	0.0628741595396555
only	0	attn	13	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2071270930602185	0.0220094981764361	0.043017019440192	0.043017019440192	16	16	restoration	0.043017019440192
only	0	attn	3	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.20699773600672	0.0221388552299349	0.0412929258754502	0.0414129346208102	16	16	restoration	0.0412929258754502
only	0	attn	5	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2131932570186348	0.0159433342180199	0.0308335966284924	0.031203489989504	16	16	restoration	0.0308335966284924
only	0	attn	4	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2119173323093009	0.0172192589273539	0.0277632184196694	0.0280810192479708	16	16	restoration	0.0277632184196694
only	0	attn	11	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2201092170949708	0.0090273741416839	0.0230280549141697	0.028326357819519	16	16	restoration	0.0230280549141697
only	0	attn	9	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2235368029499352	0.0055997882867195	0.0092497273931811	0.0229831493236147	16	16	restoration	0.0092497273931811
only	0	attn	1	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2273834675875832	0.0017531236490715	0.0056025030166236	0.0075082334289534	16	16	restoration	0.0056025030166236
only	0	attn	10	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.224655536650942	0.0044810545857128	0.0047466195456221	0.0127824217884462	16	16	restoration	0.0047466195456221
only	0	attn	16	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2270822537070631	0.0020543375295916	0.0045750888065394	0.0049851888585153	16	16	restoration	0.0045750888065394
only	0	attn	15	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2265515877798472	0.0025850034568076	0.0044928876717076	0.006063580210675	16	16	restoration	0.0044928876717076
only	0	attn	14	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2260971324202394	0.0030394588164152	0.003815090598386	0.0061585015693234	16	16	restoration	0.003815090598386
only	0	attn	8	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2205552527569357	0.0085813384797191	0.0028874126874423	0.0133070671613212	16	16	restoration	0.0028874126874423
only	0	attn	2	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.227883370238221	0.0012532209984336	0.0021742574874086	0.004793705666886	16	16	restoration	0.0021742574874086
only	0	attn	18	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2285654351764286	0.0005711560602261	0.0014106481027529	0.0018422413037757	16	16	restoration	0.0014106481027529
only	0	attn	27	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2288936802038668	0.0002429110327879	0.0012023929908965	0.0017770403084955	16	16	restoration	0.0012023929908965
only	0	attn	25	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2290348206713209	0.0001017705653338	0.0010237490996978	0.0017544733993257	16	16	restoration	0.0010237490996978
only	0	attn	17	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.228905476346836	0.0002311148898188	0.0007687451186411	0.0016006061616407	16	16	restoration	0.0007687451186411
only	0	attn	23	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.229076956665259	5.963457139561423e-05	0.0006099867700971	0.001691516563496	16	16	restoration	0.0006099867700971
only	0	attn	0	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.229528429374973	-0.0003918381383183	0.0003486047128731	0.0015594651404275	16	16	restoration	0.0003486047128731
only	0	attn	22	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2291135817814638	2.3009455190806105e-05	0.0002821839120224	0.0009606650344951	16	16	restoration	0.0002821839120224
only	0	attn	31	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.2291365912366548	0.0	0.0	0.0	16	16	restoration	0.0
only	0	attn	29	utterance_final	0	prompt_without	-0.701183110808089	-1.2291365912366548	-1.229283595621829	-0.0001470043851744	-2.3906839893281837e-05	0.0007599347393447	16	16	restoration	-2.3906839893281837e-05
