source_row_index	id	particle	fold_id
1	just_j_5467	just	0
7	just_e_5138	just	0
22	just_e_1001	just	0
25	just_j_12662	just	0
26	just_j_1461	just	0
29	just_j_8011	just	0
30	just_e_3966	just	0
31	just_j_2438	just	0
33	just_e_2717	just	0
38	just_e_1043	just	0
39	just_e_1246	just	0
40	just_j_7614	just	0
43	just_e_2762	just	0
44	just_e_472	just	0
45	just_e_1267	just	0
46	just_e_9397	just	0
48	just_e_976	just	0
52	just_e_11908	just	0
56	just_e_7244	just	0
57	just_j_11362	just	0
3	just_e_2798	just	1
5	just_e_4508	just	1
6	just_j_638	just	1
8	just_j_498	just	1
10	just_j_12718	just	1
18	just_e_5758	just	1
19	just_j_7873	just	1
24	just_j_6768	just	1
35	just_j_8362	just	1
36	just_j_8556	just	1
37	just_e_569	just	1
41	just_e_2612	just	1
42	just_e_4966	just	1
47	just_e_6664	just	1
49	just_e_9416	just	1
50	just_e_12686	just	1
51	just_j_2401	just	1
54	just_j_2522	just	1
59	just_e_5473	just	1
