source_row_index	id	particle	fold_id
1	just_j_5467	just	0
9	just_j_7769	just	0
10	just_j_12718	just	0
12	just_j_8890	just	0
15	just_j_4012	just	0
19	just_j_7873	just	0
28	just_j_2164	just	0
29	just_j_8011	just	0
31	just_j_2438	just	0
35	just_j_8362	just	0
40	just_j_7614	just	0
51	just_j_2401	just	0
54	just_j_2522	just	0
58	just_j_8648	just	0
2	just_j_2485	just	1
4	just_j_1627	just	1
6	just_j_638	just	1
8	just_j_498	just	1
13	just_j_10613	just	1
17	just_j_788	just	1
20	just_j_2141	just	1
21	just_j_5388	just	1
24	just_j_6768	just	1
25	just_j_12662	just	1
26	just_j_1461	just	1
27	just_j_10555	just	1
36	just_j_8556	just	1
57	just_j_11362	just	1
