particle	target_type	mask_percent	ablation_condition	context_advantage_per_token_change_from_none_mean	context_advantage_per_token_change_from_none_ci_low	context_advantage_per_token_change_from_none_ci_high	run_label	run_label_pretty	run_dir
just	generated	0.5	localized	-0.0005324745783738			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	generated	0.5	random_mean	0.0003071029753351			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	generated	1.0	localized	-1.976766117032982e-05			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	generated	1.0	random_mean	0.0010683715474242			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	generated	5.0	localized	-0.0047074389304299			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	generated	5.0	random_mean	0.0006552094805567			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	gold	0.5	localized	-0.0011778419386034			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	gold	0.5	random_mean	0.0019363251270569			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	gold	1.0	localized	-0.0005321421445021			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	gold	1.0	random_mean	0.001308822679001			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	gold	5.0	localized	0.0141312222026927			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
just	gold	5.0	random_mean	0.0152871567005254			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/just
only	generated	0.5	localized	-0.0012112465290293			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	generated	0.5	random_mean	-0.001613243540722			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	generated	1.0	localized	-0.0018562191257957			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	generated	1.0	random_mean	-0.0014146832619918			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	generated	5.0	localized	-0.0081274246932676			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	generated	5.0	random_mean	-0.0010496674955833			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	gold	0.5	localized	-0.0004437270920657			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	gold	0.5	random_mean	-0.0007845694661902			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	gold	1.0	localized	-0.0029103438435445			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	gold	1.0	random_mean	0.0030752069444374			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	gold	5.0	localized	-0.0051205416478559			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
only	gold	5.0	random_mean	0.0069301684621382			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_105220_just_only/only
not	generated	0.5	localized	-0.0014522727259374			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
not	generated	0.5	random_mean	-0.000816601348766			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
not	generated	1.0	localized	-0.0043051929968811			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
