particle	component	position_label	corruption_mode	target_type	eval_mode	top_k	site_set_type	effect_score_mean	effect_score_ci_low	effect_score_ci_high	run_label	run_label_pretty	run_dir
not	attn	prompt_boundary	prompt_without	generated	necessity	1	localized	0.0063143879709702			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	necessity	1	random_mean	0.0016253465659754			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	necessity	3	localized	0.0165890052983736			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	necessity	3	random_mean	0.0022134510715019			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	necessity	5	localized	0.0205553735647966			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	necessity	5	random_mean	0.0031648118108695			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	necessity	10	localized	0.0249689307358963			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	necessity	10	random_mean	0.005589693159644			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	necessity	1	localized	-0.0002633194315408			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	necessity	1	random_mean	0.0007551277118209			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	necessity	3	localized	0.0036467250589243			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	necessity	3	random_mean	0.0006489687780157			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
